"gene_id","FGSG_id","product","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction"
"FGSG_10965","FGSG_10965","uncharacterized protein",85.7578107378566,0.449821412375976,0.195846741807521,0.0184551263797152,0.0352260997703242,FALSE,"ns"
"FGSG_02846","FGSG_02846","uncharacterized protein",125.707808832725,0.418261115650986,0.181773128791412,0.0184893481014519,0.035285554969083,FALSE,"ns"
"FGSG_08385","FGSG_08385","uncharacterized protein",338.879567904281,-0.295484175178435,0.126796522942708,0.0184940759154301,0.0352887128176942,FALSE,"ns"
"FGSG_08808","FGSG_08808","uncharacterized protein",337.024474082884,0.258351217680337,0.110612821345264,0.0185049968226802,0.0352978203513018,FALSE,"ns"
"FGSG_08126","FGSG_08126","uncharacterized protein",867.665073579466,0.287530799351915,0.123418058382245,0.0185027048819709,0.0352978203513018,FALSE,"ns"
"FGSG_09350","FGSG_09350","uncharacterized protein",21.0838141912184,-0.76222428808657,0.357329340635958,0.0185165989264587,0.0353140849481025,FALSE,"ns"
"FGSG_09629","FGSG_09629","uncharacterized protein",184.360129297574,-0.321255772546828,0.138492322514135,0.0185819403720693,0.0354328165547114,FALSE,"ns"
"FGSG_05911","FGSG_05911","uncharacterized protein",206.366886610076,-0.30628984608867,0.132086520717069,0.0186376526500894,0.0355331504866307,FALSE,"ns"
"FGSG_07240","FGSG_07240","uncharacterized protein",653.781279447914,-0.299151279404198,0.131561400742443,0.0187131487326486,0.0356711631635132,FALSE,"ns"
"FGSG_08070","FGSG_08070","uncharacterized protein",7.12722323717031,1.21271927656022,0.656734033854416,0.0187180356026297,0.0356745564854766,TRUE,"up_in_low_light"
"FGSG_10430","FGSG_10430","uncharacterized protein",133.512869459626,0.369413341400724,0.159834525530998,0.0187631481951773,0.0357486694417158,FALSE,"ns"
"FGSG_06127","FGSG_06127","formate dehydrogenase",1530.4749352801,0.218646898325562,0.0934408819257321,0.0187602897127042,0.0357486694417158,FALSE,"ns"
"FGSG_05591","FGSG_05591","uncharacterized protein",206.697462650927,0.346312508121714,0.149851429758349,0.0187851067624978,0.0357845688377176,FALSE,"ns"
"FGSG_00587","FGSG_00587","phosphatase methylesterase 1",190.170406510471,-0.330213678188313,0.142439298514072,0.0187946078466186,0.0357967294580728,FALSE,"ns"
"FGSG_06329","FGSG_06329","uncharacterized protein",39.5110291026829,0.624063856552157,0.280599508121072,0.0188123221783191,0.0358245266291275,FALSE,"ns"
"FGSG_10243","FGSG_10243","uncharacterized protein",317.202908449354,-0.313790647919028,0.135361328034222,0.0188161309548845,0.0358258384604441,FALSE,"ns"
"FGSG_09735","FGSG_09735","uncharacterized protein",679.580723376547,0.202234885512181,0.0868950728118063,0.0188691641830933,0.0359208574791878,FALSE,"ns"
"FGSG_00619","FGSG_00619","uncharacterized protein",35.9710531348862,0.634691636356694,0.286472885801623,0.0188816248872456,0.0359386206829506,FALSE,"ns"
"FGSG_09323","FGSG_09323","uncharacterized protein",180.512735488618,-0.316843673152992,0.136994854510441,0.0189030164326164,0.0359733738309138,FALSE,"ns"
"FGSG_07351","FGSG_07351","uncharacterized protein",9.54248268972407,1.11476445768654,0.580152816475174,0.0189512526431534,0.0360591937201873,TRUE,"up_in_low_light"
"FGSG_04165","FGSG_04165","uncharacterized protein",328.922291022128,0.295850971914509,0.127299666312194,0.0189568922665833,0.0360639486244492,FALSE,"ns"
"FGSG_01556","FGSG_01556","uncharacterized protein",61.3244375956454,-0.504630085637919,0.223147764038834,0.0189871592489403,0.0361155457438432,FALSE,"ns"
"FGSG_09305","FGSG_09305","uncharacterized protein",248.401202310546,0.308825448133938,0.133652114470195,0.0190041577784096,0.0361418919790455,FALSE,"ns"
"FGSG_03147","FGSG_03147","uncharacterized protein",170.996357101209,0.37736291708513,0.162990288318902,0.0190206610529908,0.0361672877747133,FALSE,"ns"
"FGSG_00306","FGSG_00306","26S proteasome non-ATPase regulatory subunit 11",827.893800814228,-0.211183118697738,0.0906884521114377,0.0190293836693709,0.0361778828932759,FALSE,"ns"
"FGSG_04411","FGSG_04411","uncharacterized protein",407.080516928344,-0.228763501136633,0.0981499309996775,0.0190750197325535,0.0362526401173307,FALSE,"ns"
"FGSG_03746","FGSG_03746","uncharacterized protein",12.3083286886576,-1.01947574705884,0.519298017540513,0.0190748425996405,0.0362526401173307,TRUE,"up_in_black_light"
"FGSG_05491","FGSG_05491","uncharacterized protein",3513.30719962338,-0.287939133598085,0.126125571669072,0.019115871057836,0.0363242673104635,FALSE,"ns"
"FGSG_06501","FGSG_06501","uncharacterized protein",98.4334366957062,-0.416787104579574,0.183111918817008,0.0191848862270717,0.0364493793093092,FALSE,"ns"
"FGSG_06174","FGSG_06174","uncharacterized protein",649.011972672963,-0.211975324190027,0.0911132975401468,0.019195690783243,0.0364638738236525,FALSE,"ns"
"FGSG_00395","FGSG_00395","40S ribosomal protein S15",3497.1209817728,0.281748644753844,0.123088414437406,0.0192273681273626,0.0365180066501,FALSE,"ns"
"FGSG_10584","FGSG_10584","uncharacterized protein",200.235561831028,0.350149394279014,0.152260527310973,0.0192389674146135,0.036533994182571,FALSE,"ns"
"FGSG_12596","FGSG_12596","uncharacterized protein",47.5143990228781,0.606369785508052,0.273455956707928,0.0192431257670767,0.0365358487406319,FALSE,"ns"
"FGSG_01029","FGSG_01029","uncharacterized protein",502.489551403672,-0.260401047685938,0.112145632725629,0.0193010866731521,0.03663983770339,FALSE,"ns"
"FGSG_02128","FGSG_02128","uncharacterized protein",3.78256432387716,1.87478126732955,1.17089662743641,0.01930621091545,0.0366435074284483,TRUE,"up_in_low_light"
"FGSG_06052","FGSG_06052","uncharacterized protein",596.566348143849,-0.216627867146678,0.0932449830348061,0.0193440921583144,0.0367093389942033,FALSE,"ns"
"FGSG_09360","FGSG_09360","uncharacterized protein",299.163693513913,0.26542191583875,0.114485089303338,0.0193758117799112,0.0367634578104297,FALSE,"ns"
"FGSG_01104","FGSG_01104","phenylalanyl-tRNA synthetase alpha chain",623.598880822077,-0.23997859208448,0.103399795595828,0.0194003660699881,0.0368039655677636,FALSE,"ns"
"FGSG_12652","FGSG_12652","uncharacterized protein",16.6381877189326,-0.839629950510121,0.405048893828269,0.0194532245960815,0.0368981463556002,FALSE,"ns"
"FGSG_10230","FGSG_10230","uncharacterized protein",24.356697138664,0.75524558697227,0.353406581048251,0.0194732347044107,0.0369300006789013,FALSE,"ns"
"FGSG_09446","FGSG_09446","uncharacterized protein",91.9680405726162,-0.386179135737365,0.16969065077308,0.0194836488617938,0.0369436492536291,FALSE,"ns"
"FGSG_03343","FGSG_03343","uncharacterized protein",8.56838756433202,1.28055798015592,0.702519695129908,0.0195505699081852,0.0370644203823164,TRUE,"up_in_low_light"
"FGSG_06576","FGSG_06576","arginyl-tRNA synthetase",879.27210962695,-0.191619648072285,0.0824699775464892,0.019566400405227,0.0370883089886467,FALSE,"ns"
"FGSG_01141","FGSG_01141","delta-1-pyrroline-5-carboxylate dehydrogenase",238.88164157162,-0.332547253282137,0.144566492189355,0.0195976348531407,0.0371352542935008,FALSE,"ns"
"FGSG_06909","FGSG_06909","lactobacillus shifted protein",788.16583895496,-0.242636164161352,0.104814353576605,0.0195966241609169,0.0371352542935008,FALSE,"ns"
"FGSG_00607","FGSG_00607","uncharacterized protein",260.213311061011,0.280270728337358,0.121306487196027,0.0196491139542703,0.0372266582308012,FALSE,"ns"
"FGSG_06314","FGSG_06314","uncharacterized protein",260.089398236379,-0.342980693756107,0.149497306092459,0.019682205274814,0.0372832007869828,FALSE,"ns"
"FGSG_12496","FGSG_12496","uncharacterized protein",26.2006392754907,0.729342849709031,0.340638033464928,0.0197140949998633,0.0373374489334374,FALSE,"ns"
"FGSG_05165","FGSG_05165","RNA-binding protein rsd1",776.449871937166,-0.282532527223911,0.122507457541711,0.0197613877888597,0.0374208469623146,FALSE,"ns"
"FGSG_06023","FGSG_06023","uncharacterized protein",129.183527181127,-0.417962207091746,0.183930590317675,0.0197717905117898,0.0374343727035254,FALSE,"ns"
