gene_id,B10_S1,B11_S2,B12_S3,D10_S4,D11_S5,D12_S6,H13_S7,H14_S8,H15_S9,L13_S10,L14_S11,L15_S12
FGRAM000v1_001028,8.255325,8.274505,7.350563,8.831034,12.972532,9.8519,7.630438,10.146324,8.860632,13.683158,13.715217,13.118861
FGRAM000v1_001029,137.427432,132.032739,127.990358,159.641171,165.145082,173.262893,115.216097,131.203595,116.35052,148.411066,154.248109,148.06996
FGRAM000v1_001030,111.976166,131.303719,106.424459,115.41744,109.966095,105.89233,106.469334,96.890723,97.82653,103.652416,126.836171,121.808433
FGRAM000v1_001031,55.652289,57.294099,53.559188,60.027844,52.76346,57.290408,62.829703,52.305246,57.599818,62.633285,66.912297,53.347057
FGRAM000v1_001032,13.832033,14.947117,10.320638,24.955651,23.970311,22.502838,12.887274,17.127521,13.238633,28.670023,31.402076,22.880025
FGRAM000v1_001033,13.440927,17.460677,14.257828,14.361753,15.158906,16.960583,17.267358,20.442053,17.200625,17.253987,17.891039,18.490066
FGRAM000v1_001034,52.481615,52.45199,52.039465,56.343674,56.660766,50.853119,54.479763,60.923723,57.495091,60.880951,60.32334,55.446371
FGRAM000v1_001035,59.357355,62.723158,58.992597,43.230241,41.007315,43.091156,48.140253,54.915825,48.294812,48.965107,47.482757,49.541489
FGRAM000v1_001036,68.675208,68.487145,57.240238,101.086012,110.685542,102.391906,82.786267,106.890862,101.782982,153.983133,162.753832,141.54358
FGRAM000v1_001037,38.630667,40.694349,39.194283,50.343726,48.620008,47.596489,44.780597,53.058582,53.127737,59.720355,59.81969,57.81181
FGRAM000v1_001038,14.011537,15.126889,10.116314,20.036172,21.611531,20.696179,14.632525,14.517327,15.11272,27.65309,25.621112,22.44766
FGRAM000v1_001039,21.638941,22.373546,23.498804,33.343686,34.806731,33.510235,23.670573,24.88175,23.13453,41.73294,33.30549,36.056562
FGRAM000v1_001040,19.283246,21.307493,19.882416,28.044494,27.968648,21.644669,27.802793,27.842822,21.528672,24.683585,29.001445,25.802955
FGRAM000v1_001041,8.444818,7.531164,7.021065,13.451689,10.47933,11.553325,4.352748,6.971552,6.843003,14.182178,8.132932,10.464284
FGRAM000v1_001042,30.021989,30.317991,29.868799,34.945371,33.919773,38.2994,36.320525,31.90264,34.680604,35.118509,30.929617,31.386201
FGRAM000v1_001043,5.732557,7.476176,6.242115,6.614205,4.135997,6.056905,4.847973,8.143963,6.611004,6.778498,7.949921,7.26462
FGRAM000v1_001044,52.463068,53.45779,47.25686,38.459564,34.110002,39.772729,38.274473,42.29155,36.986598,36.965375,37.886795,38.649248
FGRAM000v1_001045,1771.210876,1906.804812,1489.682336,711.55745,788.863928,756.737287,1805.550434,2187.201095,1897.405289,1600.715123,1666.179807,1751.630133
FGRAM000v1_001046,13.816013,15.747828,7.191552,8.736093,10.848378,7.851688,8.624614,21.054444,11.981788,9.916752,13.073048,9.320957
FGRAM000v1_001047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_001048,0.951009,1.033618,0.660666,0.843042,0.862276,1.987439,0.644955,0.916344,1.062142,1.015451,1.098223,1.749964
FGRAM000v1_001049,238.293906,258.535154,174.376628,260.511651,316.185251,261.709947,176.012058,264.879544,196.870938,335.318366,323.725487,313.392371
FGRAM000v1_001050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_001051,1.028927,1.100761,0.268714,0.2744,0.282204,0.487469,0.672304,0.515709,0.072628,0.412437,0.415651,0.39306
FGRAM000v1_001052,22.802807,23.143996,23.025736,18.625853,18.112001,19.634112,16.62765,21.139077,19.414612,27.156389,26.077346,24.831451
FGRAM000v1_001053,16.654007,18.53165,9.647867,16.440208,19.236467,16.134096,12.329173,23.950641,10.478975,20.89363,19.346888,21.404008
FGRAM000v1_001054,69.172219,72.6792,65.352707,98.882387,102.483675,98.637914,63.799484,78.303402,66.069769,133.766331,143.922,150.687077
