gene_id,product,lists,subcategory,biotype,contrast,method,log2FC,padj,significant,GO_IDs
FGSG_00038,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,limma-TPM,1.139,0.0454491277876751,True,
FGSG_00038,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,limma-FPKM,1.022,0.0738828746009354,False,
FGSG_00038,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,DESeq2,0.136,0.652192618592769,False,
FGSG_00038,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,limma-TPM,0.299,0.629537394683424,False,
FGSG_00038,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,limma-FPKM,0.279,0.673963827275133,False,
FGSG_00038,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,DESeq2,-0.64,0.106614937002068,False,
FGSG_00038,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,limma-TPM,-0.839,0.10141205680143,False,
FGSG_00038,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,limma-FPKM,-0.743,0.142828973139844,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,DESeq2,0.257,0.443655269455076,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,limma-TPM,0.479,0.0519535687746404,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,limma-FPKM,0.459,0.0683594020118766,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,DESeq2,0.433,0.123192199359844,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,limma-TPM,0.608,0.0271495510156932,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,limma-FPKM,0.569,0.044354823130581,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,DESeq2,0.371,0.248027564101098,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,limma-TPM,0.637,0.0101584220746558,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,limma-FPKM,0.622,0.0114002742920275,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,DESeq2,0.229,0.460247535787192,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,limma-TPM,0.129,0.658140239528647,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,limma-FPKM,0.11,0.747707183437889,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,DESeq2,0.069,0.830094281530457,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,limma-TPM,0.158,0.59555766237702,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,limma-FPKM,0.163,0.628672878652908,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,DESeq2,-0.15,0.627992399656403,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,limma-TPM,0.029,0.914197091771334,False,
FGSG_00039,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,limma-FPKM,0.053,0.852369384785749,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,DESeq2,-0.055,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,limma-TPM,,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,limma-FPKM,,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,DESeq2,-0.017,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,limma-TPM,,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,limma-FPKM,,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,DESeq2,0.007,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,limma-TPM,,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,limma-FPKM,,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,DESeq2,-0.005,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,limma-TPM,,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,limma-FPKM,,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,DESeq2,0.016,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,limma-TPM,,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,limma-FPKM,,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,DESeq2,0.044,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,limma-TPM,,,False,
FGSG_00040,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,limma-FPKM,,,False,
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,DESeq2,-1.242,1.74394225105048e-107,True,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,limma-TPM,-0.907,1.16175783749331e-06,False,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,limma-FPKM,-0.874,3.42958495607058e-05,False,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,DESeq2,0.383,2.8489246334024796e-11,False,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,limma-TPM,0.633,0.0001122584528371,False,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,limma-FPKM,0.652,0.0019320067784656,False,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,DESeq2,-0.927,1.0515107102152701e-60,False,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,limma-TPM,-0.434,0.0009788715996088,False,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,limma-FPKM,-0.381,0.0274728556568287,False,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,DESeq2,1.636,5.6940670117932905e-186,True,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,limma-TPM,1.54,6.050170294161221e-09,True,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,limma-FPKM,1.526,2.3163050399471e-08,True,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,DESeq2,0.309,2.75115570636203e-07,False,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,limma-TPM,0.473,0.0021165290852945,False,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,limma-FPKM,0.493,0.0232707976692053,False,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,DESeq2,-1.319,3.75297383754282e-122,True,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,limma-TPM,-1.067,2.73220603507685e-07,True,F:GO:0016491; P:GO:0055114
FGSG_00043,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,limma-FPKM,-1.033,5.66451523955153e-06,True,F:GO:0016491; P:GO:0055114
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,DESeq2,-1.383,1.99357465002399e-166,True,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,limma-TPM,-1.04,1.05918028055027e-06,True,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,limma-FPKM,-1.007,1.28340389250865e-05,True,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,DESeq2,0.503,2.08883428480355e-22,False,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,limma-TPM,0.737,9.04527903778555e-05,False,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,limma-FPKM,0.755,0.0008898593580408,False,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,DESeq2,-0.914,1.38581837962196e-74,False,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,limma-TPM,-0.432,0.002615162614468,False,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,limma-FPKM,-0.379,0.0382623676593016,False,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,DESeq2,1.883,2.72910957646213e-309,True,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,limma-TPM,1.776,5.1184516795958e-09,True,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,limma-FPKM,1.762,6.29925520228864e-09,True,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,DESeq2,0.459,5.23623150868363e-19,False,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,limma-TPM,0.607,0.0007719804856767,False,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,limma-FPKM,0.628,0.0063943362163276,False,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,DESeq2,-1.413,1.72887363069115e-177,True,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,limma-TPM,-1.169,4.18248459456427e-07,True,
FGSG_00044,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,limma-FPKM,-1.134,3.721557384126e-06,True,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,DESeq2,-0.132,0.0635595747002546,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,limma-TPM,0.225,0.0771449980420875,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,limma-FPKM,0.257,0.173021295611772,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,DESeq2,0.358,3.99483061055458e-08,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,limma-TPM,0.592,0.0003992540738625,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,limma-FPKM,0.61,0.0049737537342288,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,DESeq2,0.065,0.380149449379884,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,limma-TPM,0.552,0.000242527250733,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,limma-FPKM,0.605,0.001731840077034,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,DESeq2,0.492,8.88899356781426e-15,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,limma-TPM,0.367,0.0113274392642058,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,limma-FPKM,0.353,0.0940907782844505,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,DESeq2,0.194,0.006712557237755,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,limma-TPM,0.327,0.0343903117939094,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,limma-FPKM,0.348,0.136023652068795,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,DESeq2,-0.296,5.67592461256889e-06,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,limma-TPM,-0.04,0.771003160890204,False,
FGSG_00045,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,limma-FPKM,-0.006,0.981364511364568,False,
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,DESeq2,-0.25,0.0072958344058067,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,limma-TPM,0.083,0.663655675911778,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Dark v Black,limma-FPKM,0.115,0.621434782329043,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,DESeq2,0.564,3.34332281707722e-10,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,limma-TPM,0.811,0.0007374920921391,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Black,limma-FPKM,0.829,0.0016629529155966,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,DESeq2,0.39,2.01753960367818e-05,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,limma-TPM,0.884,0.0001173401728273,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Black,limma-FPKM,0.936,0.0001435897356962,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,DESeq2,0.826,6.53386437190752e-21,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,limma-TPM,0.728,0.0014177845969666,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Half v Dark,limma-FPKM,0.714,0.0045199985474395,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,DESeq2,0.635,1.18986671784857e-12,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,limma-TPM,0.801,0.0012329173069668,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Dark,limma-FPKM,0.821,0.002566383486078,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,DESeq2,-0.182,0.0619915226087189,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,limma-TPM,0.073,0.709213426940515,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
FGSG_00046,uncharacterized protein,v2:Pathogenicity,Gramilin,protein_coding,Low v Half,limma-FPKM,0.107,0.656858643304173,False,C:GO:0016021; F:GO:0005524; F:GO:0042626; P:GO:0055085
