contrast,GO,go_term_name,namespace,n_study,n_bg,study_size,bg_size,expected,fold_enrichment,pvalue,padj,study_genes
low_light_vs_black_light,GO:0007623,circadian rhythm,BP,3,3,1307,6170,0.64,4.72,0.009488225044669,0.1535367325410077,"FGSG_06054,FGSG_08068,FGSG_08069"
low_light_vs_black_light,GO:0009116,nucleoside metabolic process,BP,7,14,1307,6170,2.97,2.36,0.0158227029291899,0.2315582968380336,"FGSG_03603,FGSG_04526,FGSG_04822,FGSG_08155,FGSG_08959,FGSG_11425,FGSG_13788"
low_light_vs_black_light,GO:0006508,proteolysis,BP,52,187,1307,6170,39.61,1.31,0.0174845635249812,0.2315582968380336,"FGSG_00806,FGSG_01808,FGSG_01818,FGSG_02019,FGSG_02079,FGSG_02314,FGSG_02748,FGSG_03072,FGSG_03114,FGSG_03275,FGSG_03432,FGSG_03443,FGSG_03467,FGSG_03481,FGSG_03664,FGSG_03769,FGSG_03975,FGSG_04097,FGSG_04375,FGSG_04527,FGSG_04958,FGSG_04970,FGSG_05815,FGSG_05829,FGSG_06511,FGSG_06560,FGSG_06572,FGSG_06792,FGSG_07202,FGSG_07916,FGSG_08101,FGSG_08102,FGSG_09115,FGSG_10320,FGSG_10432,FGSG_10433,FGSG_10728,FGSG_11073,FGSG_11249,FGSG_11257,FGSG_11472,FGSG_11824,FGSG_12067,FGSG_12142,FGSG_12224,FGSG_12225,FGSG_12226,FGSG_12609,FGSG_12723,FGSG_13015,FGSG_13441,FGSG_13480"
low_light_vs_black_light,GO:0006633,fatty acid biosynthetic process,BP,9,21,1307,6170,4.45,2.02,0.0205990344576924,0.2315582968380336,"FGSG_02502,FGSG_02522,FGSG_03964,FGSG_05164,FGSG_05322,FGSG_07539,FGSG_09610,FGSG_09830,FGSG_10666"
low_light_vs_black_light,GO:0006665,sphingolipid metabolic process,BP,4,6,1307,6170,1.27,3.15,0.0208142289292614,0.2315582968380336,"FGSG_02522,FGSG_03951,FGSG_04413,FGSG_05593"
low_light_vs_black_light,GO:0007166,cell surface receptor signaling pathway,BP,4,6,1307,6170,1.27,3.15,0.0208142289292614,0.2315582968380336,"FGSG_00527,FGSG_01861,FGSG_03023,FGSG_09693"
low_light_vs_black_light,GO:0016998,cell wall macromolecule catabolic process,BP,3,4,1307,6170,0.85,3.54,0.031934100701662,0.295648083707742,"FGSG_02131,FGSG_02133,FGSG_12548"
low_light_vs_black_light,GO:0019752,carboxylic acid metabolic process,BP,4,7,1307,6170,1.48,2.7,0.0404960024155512,0.295648083707742,"FGSG_04413,FGSG_07023,FGSG_08083,FGSG_10444"
low_light_vs_black_light,GO:0042744,hydrogen peroxide catabolic process,BP,4,7,1307,6170,1.48,2.7,0.0404960024155512,0.295648083707742,"FGSG_05695,FGSG_06554,FGSG_06733,FGSG_12369"
low_light_vs_black_light,GO:0006044,N-acetylglucosamine metabolic process,BP,2,2,1307,6170,0.42,4.72,0.0448454958433091,0.295648083707742,"FGSG_08396,FGSG_08398"
low_light_vs_black_light,GO:0018298,obsolete protein-chromophore linkage,BP,2,2,1307,6170,0.42,4.72,0.0448454958433091,0.295648083707742,"FGSG_08608,FGSG_08852"
low_light_vs_black_light,GO:0015969,guanosine tetraphosphate metabolic process,BP,2,2,1307,6170,0.42,4.72,0.0448454958433091,0.295648083707742,"FGSG_04622,FGSG_04859"
low_light_vs_black_light,GO:0042819,vitamin B6 biosynthetic process,BP,2,2,1307,6170,0.42,4.72,0.0448454958433091,0.295648083707742,"FGSG_05035,FGSG_05036"
low_light_vs_black_light,GO:0009448,obsolete GABA metabolic process,BP,2,2,1307,6170,0.42,4.72,0.0448454958433091,0.295648083707742,"FGSG_05554,FGSG_06751"
low_light_vs_black_light,GO:0015793,glycerol transmembrane transport,BP,2,2,1307,6170,0.42,4.72,0.0448454958433091,0.295648083707742,"FGSG_03248,FGSG_05839"
low_light_vs_black_light,GO:0018958,phenol-containing compound metabolic process,BP,2,2,1307,6170,0.42,4.72,0.0448454958433091,0.295648083707742,"FGSG_07721,FGSG_12251"
low_light_vs_black_light,GO:0043335,protein unfolding,BP,2,2,1307,6170,0.42,4.72,0.0448454958433091,0.295648083707742,"FGSG_01015,FGSG_12745"
low_light_vs_black_light,GO:0006979,response to oxidative stress,BP,7,17,1307,6170,3.6,1.94,0.0496717618517384,0.3157704860574803,"FGSG_02550,FGSG_02551,FGSG_02668,FGSG_06554,FGSG_06733,FGSG_10960,FGSG_12369"
low_light_vs_black_light,GO:0006631,fatty acid metabolic process,BP,5,11,1307,6170,2.33,2.15,0.0625619972571226,0.3169198256874762,"FGSG_03546,FGSG_06813,FGSG_12048,FGSG_12049,FGSG_13963"
low_light_vs_black_light,GO:0042823,pyridoxal 5'-phosphate biosynthetic process,BP,3,5,1307,6170,1.06,2.83,0.067332040190569,0.3169198256874762,"FGSG_05035,FGSG_05036,FGSG_09477"
low_light_vs_black_light,GO:0009088,L-threonine biosynthetic process,BP,3,5,1307,6170,1.06,2.83,0.067332040190569,0.3169198256874762,"FGSG_08498,FGSG_09284,FGSG_10211"
low_light_vs_black_light,GO:0009450,GABA catabolic process,BP,3,5,1307,6170,1.06,2.83,0.067332040190569,0.3169198256874762,"FGSG_00855,FGSG_04196,FGSG_06752"
low_light_vs_black_light,GO:0009298,GDP-mannose biosynthetic process,BP,3,5,1307,6170,1.06,2.83,0.067332040190569,0.3169198256874762,"FGSG_03767,FGSG_05330,FGSG_08773"
low_light_vs_black_light,GO:0000271,polysaccharide biosynthetic process,BP,3,5,1307,6170,1.06,2.83,0.067332040190569,0.3169198256874762,"FGSG_04143,FGSG_06548,FGSG_11489"
low_light_vs_black_light,GO:0035434,copper ion transmembrane transport,BP,3,5,1307,6170,1.06,2.83,0.067332040190569,0.3169198256874762,"FGSG_00773,FGSG_03693,FGSG_08697"
low_light_vs_black_light,GO:0009097,obsolete isoleucine biosynthetic process,BP,3,5,1307,6170,1.06,2.83,0.067332040190569,0.3169198256874762,"FGSG_00296,FGSG_08498,FGSG_09284"
low_light_vs_black_light,GO:0007186,G protein-coupled receptor signaling pathway,BP,4,8,1307,6170,1.69,2.36,0.0676570414388994,0.3169198256874762,"FGSG_00527,FGSG_01861,FGSG_03023,FGSG_09693"
low_light_vs_black_light,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",BP,4,8,1307,6170,1.69,2.36,0.0676570414388994,0.3169198256874762,"FGSG_00561,FGSG_00644,FGSG_05251,FGSG_10293"
low_light_vs_black_light,GO:0098869,cellular oxidant detoxification,BP,12,37,1307,6170,7.84,1.53,0.0744312855540629,0.339712021246749,"FGSG_02341,FGSG_02550,FGSG_02551,FGSG_02668,FGSG_03180,FGSG_03708,FGSG_05695,FGSG_06554,FGSG_06733,FGSG_08911,FGSG_10960,FGSG_12369"
low_light_vs_black_light,GO:0006099,tricarboxylic acid cycle,BP,8,23,1307,6170,4.87,1.64,0.0940410967712831,0.3673158332933025,"FGSG_01981,FGSG_04309,FGSG_05610,FGSG_08700,FGSG_08712,FGSG_09896,FGSG_10347,FGSG_13136"
low_light_vs_black_light,GO:0042026,protein refolding,BP,4,9,1307,6170,1.91,2.1,0.101925263084975,0.3673158332933025,"FGSG_01015,FGSG_06246,FGSG_08137,FGSG_10352"
low_light_vs_black_light,GO:0006094,gluconeogenesis,BP,4,9,1307,6170,1.91,2.1,0.101925263084975,0.3673158332933025,"FGSG_03992,FGSG_07075,FGSG_08601,FGSG_09280"
low_light_vs_black_light,GO:0009228,thiamine biosynthetic process,BP,3,6,1307,6170,1.27,2.36,0.1138498514518767,0.3673158332933025,"FGSG_01672,FGSG_02469,FGSG_07263"
low_light_vs_black_light,GO:0009410,response to xenobiotic stimulus,BP,2,3,1307,6170,0.64,3.15,0.1155600374405895,0.3673158332933025,"FGSG_00713,FGSG_09333"
low_light_vs_black_light,GO:0070084,obsolete protein initiator methionine removal,BP,2,3,1307,6170,0.64,3.15,0.1155600374405895,0.3673158332933025,"FGSG_06560,FGSG_10320"
low_light_vs_black_light,GO:2001247,positive regulation of phosphatidylcholine biosynthetic process,BP,2,3,1307,6170,0.64,3.15,0.1155600374405895,0.3673158332933025,"FGSG_10309,FGSG_11305"
low_light_vs_black_light,GO:0009090,L-homoserine biosynthetic process,BP,2,3,1307,6170,0.64,3.15,0.1155600374405895,0.3673158332933025,"FGSG_08498,FGSG_09284"
low_light_vs_black_light,GO:0006563,L-serine metabolic process,BP,2,3,1307,6170,0.64,3.15,0.1155600374405895,0.3673158332933025,"FGSG_06290,FGSG_08350"
low_light_vs_black_light,GO:0006097,glyoxylate cycle,BP,2,3,1307,6170,0.64,3.15,0.1155600374405895,0.3673158332933025,"FGSG_08700,FGSG_09896"
low_light_vs_black_light,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",BP,2,3,1307,6170,0.64,3.15,0.1155600374405895,0.3673158332933025,"FGSG_12181,FGSG_13133"
low_light_vs_black_light,GO:0045732,positive regulation of protein catabolic process,BP,2,3,1307,6170,0.64,3.15,0.1155600374405895,0.3673158332933025,"FGSG_00660,FGSG_10728"
low_light_vs_black_light,GO:0019439,obsolete aromatic compound catabolic process,BP,2,3,1307,6170,0.64,3.15,0.1155600374405895,0.3673158332933025,"FGSG_02908,FGSG_12438"
low_light_vs_black_light,GO:0006090,pyruvate metabolic process,BP,2,3,1307,6170,0.64,3.15,0.1155600374405895,0.3673158332933025,"FGSG_00805,FGSG_07075"
low_light_vs_black_light,GO:0046654,tetrahydrofolate biosynthetic process,BP,2,3,1307,6170,0.64,3.15,0.1155600374405895,0.3673158332933025,"FGSG_05854,FGSG_09710"
low_light_vs_black_light,GO:0006544,glycine metabolic process,BP,2,3,1307,6170,0.64,3.15,0.1155600374405895,0.3673158332933025,"FGSG_06290,FGSG_08350"
low_light_vs_black_light,GO:0009063,amino acid catabolic process,BP,2,3,1307,6170,0.64,3.15,0.1155600374405895,0.3673158332933025,"FGSG_03952,FGSG_03955"
low_light_vs_black_light,GO:0006807,obsolete nitrogen compound metabolic process,BP,5,13,1307,6170,2.75,1.82,0.120540846491983,0.3742676022840103,"FGSG_05805,FGSG_06480,FGSG_07204,FGSG_07205,FGSG_07837"
low_light_vs_black_light,GO:0009058,biosynthetic process,BP,12,40,1307,6170,8.47,1.42,0.1219523647891719,0.3742676022840103,"FGSG_01389,FGSG_02324,FGSG_02325,FGSG_03066,FGSG_03633,FGSG_03981,FGSG_07515,FGSG_11456,FGSG_11988,FGSG_12518,FGSG_12519,FGSG_13586"
low_light_vs_black_light,GO:0006520,amino acid metabolic process,BP,5,14,1307,6170,2.97,1.69,0.156325478936861,0.4561628729632992,"FGSG_00805,FGSG_03391,FGSG_03981,FGSG_07174,FGSG_12518"
low_light_vs_black_light,GO:0009086,obsolete methionine biosynthetic process,BP,5,14,1307,6170,2.97,1.69,0.156325478936861,0.4561628729632992,"FGSG_05567,FGSG_07880,FGSG_08498,FGSG_09041,FGSG_09284"
