"contrast","tested","sig","up_in_b","down_in_b"
"dark_light_vs_black_light",9693,2020,1195,825
"high_light_vs_black_light",9693,857,518,339
"low_light_vs_black_light",9693,2590,1475,1115
"high_light_vs_dark_light",9693,1308,585,723
"low_light_vs_dark_light",9693,698,298,400
"low_light_vs_high_light",9693,1703,910,793
