gene_id,FGSG_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FGRAM000v1_001557,,6863.28913963825,-3.61413296662914,0.0791302171657186,-45.6732345250644,0.0,0.0
FGRAM000v1_003211,,1330.28213140266,3.58962237842809,0.0918739898614445,39.071149340979,0.0,0.0
FGRAM000v1_003481,,3726.80234941412,-2.99233426359971,0.0752613709611632,-39.7592314009777,0.0,0.0
FGRAM000v1_004532,,4731.96191166481,4.81811261731299,0.0788774510772995,61.0835232567449,0.0,0.0
FGRAM000v1_005002,,5280.67986317523,2.89225635417126,0.0696213643617139,41.5426554863921,0.0,0.0
FGRAM000v1_007172,,2105.29297530915,-3.78257410657059,0.0895726384355779,-42.2291245701229,0.0,0.0
FGRAM000v1_009111,,1397.71980078035,4.92163861425668,0.118901999204258,41.3923958149933,0.0,0.0
FGRAM000v1_010552,,14994.091913299,6.82789986047359,0.110851364328004,61.5950908846749,0.0,0.0
FGRAM000v1_012454,,2242.57360002972,5.29758024782096,0.109611434589527,48.3305438676116,0.0,0.0
FGRAM000v1_005347,,1138.88698036949,-3.92788164950923,0.102903491472099,-38.170538174346,8.68083e-319,8.4143307e-316
FGRAM000v1_006277,,1447.69460258662,-2.83301036497688,0.0742569977950953,-38.1514261160178,1.801037e-318,1.58704129e-315
FGRAM000v1_006624,,1219.99377707527,2.61598503043617,0.06949528951407,37.6426236760483,4.3197060614631e-310,3.4892425711468197e-307
FGRAM000v1_000067,FGSG_00044,16821.4305974307,1.88160491023772,0.0505751669624485,37.2041265159794,5.852307727210911e-303,4.36357067691195e-300
FGRAM000v1_007272,,5742.0180532082,2.28406762280662,0.0637075618357178,35.8523785401885,1.68861709591949e-281,1.16912610791054e-278
FGRAM000v1_011741,,1649.0638960414,-5.90459619700585,0.165368213464694,-35.7057506596724,3.2189007071163503e-279,2.08005363693859e-276
FGRAM000v1_009960,,1207.28447496809,3.79021582941209,0.106979546102503,35.4293504459298,6.0335589537915e-275,3.65520543369381e-272
FGRAM000v1_002709,,812.798786536181,4.78660158718835,0.138439198012851,34.5754790254131,5.90410934692806e-262,3.36638422939845e-259
FGRAM000v1_009988,,10980.7315824698,1.89229416811327,0.0563234512424309,33.596914364646,1.86093862182163e-247,1.00211544785095e-244
FGRAM000v1_013224,,1987.89860523977,-2.45224765267784,0.0733030950742793,-33.4535349454608,2.28646565010763e-245,1.16645850244701e-242
FGRAM000v1_012103,FGSG_07815,1010.78577494833,-3.31639976072562,0.100817542584917,-32.8950664308472,2.58553703261275e-237,1.25308052285577e-234
FGRAM000v1_005907,,4528.16982755211,3.14742853922278,0.0971796930728081,32.3877184595005,4.0873473058612898e-230,1.88660273503398e-227
