gene_id,FGSG_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FGRAM000v1_000175,,5076.55962570446,-4.72649328344022,0.103093088543433,-45.8468491944437,0.0,0.0
FGRAM000v1_000324,,58161.3703072293,-5.87555428262144,0.111151787185504,-52.860637074738,0.0,0.0
FGRAM000v1_000568,FGSG_00483,772.217004888391,-5.20900147666299,0.13092597969249,-39.7858506684275,0.0,0.0
FGRAM000v1_000758,,2065.84826982144,-2.90618958591328,0.074423161506613,-39.0495314507036,0.0,0.0
FGRAM000v1_001253,,1080.20077551393,4.41714398927596,0.114193222360539,38.681314862364,0.0,0.0
FGRAM000v1_001309,,5232.38988707279,-4.25075672516431,0.0877097911884391,-48.463879203997,0.0,0.0
FGRAM000v1_001557,,6863.28913963825,8.69273720800108,0.163786662123617,53.0735353861738,0.0,0.0
FGRAM000v1_002528,,2652.01715477612,-5.92062020009292,0.112369710104241,-52.6887556673465,0.0,0.0
FGRAM000v1_002588,,6054.05438199054,-3.89964077451192,0.0862702033783763,-45.2026380117398,0.0,0.0
FGRAM000v1_002589,,2696.61770106032,-2.83483588459016,0.0686962824869271,-41.2662196841529,0.0,0.0
FGRAM000v1_003211,,1330.28213140266,-4.12866586009237,0.0839015350413637,-49.2084663058539,0.0,0.0
FGRAM000v1_003481,,3726.80234941412,3.08540325000694,0.075830437032336,40.6881902670724,0.0,0.0
FGRAM000v1_003545,FGSG_10206,1365.52473810441,3.20477643777117,0.0778306881357104,41.1762572647838,0.0,0.0
FGRAM000v1_003995,,737.673650051593,4.80417475379741,0.113671909170436,42.2635177754795,0.0,0.0
FGRAM000v1_004072,,6243.53800529631,3.02924556036149,0.0722873145428947,41.9056314308642,0.0,0.0
FGRAM000v1_004425,,1396.61661807464,-5.74190561735404,0.122266695005416,-46.9621397478658,0.0,0.0
FGRAM000v1_004532,,4731.96191166481,-5.08131876897888,0.0773461906568324,-65.6957857371871,0.0,0.0
FGRAM000v1_004702,,6158.7620754169,-4.08601231486071,0.0743541089139906,-54.9534164895611,0.0,0.0
FGRAM000v1_005830,,1270.68740199506,-3.20036771281985,0.0796083690550969,-40.2013978028476,0.0,0.0
FGRAM000v1_006082,,856.650640963315,-4.46065034584081,0.107621291771097,-41.4476566154614,0.0,0.0
FGRAM000v1_007177,,1047.40107261217,-3.24556440264835,0.0814053579078864,-39.8691742909704,0.0,0.0
FGRAM000v1_007272,,5742.0180532082,-3.10278571060576,0.0651333544047345,-47.6374315274053,0.0,0.0
FGRAM000v1_007287,,2395.49720716238,-5.21187755250673,0.113514648317724,-45.9137003879784,0.0,0.0
FGRAM000v1_007444,,2285.17892182439,3.30834185177758,0.0727219762172816,45.493013582205,0.0,0.0
FGRAM000v1_007635,,1541.84164362603,-4.39253629617836,0.113066898334075,-38.849003208701,0.0,0.0
FGRAM000v1_009111,,1397.71980078035,-5.57370862236563,0.119411461249362,-46.676496242905,0.0,0.0
FGRAM000v1_009196,FGSG_06124,8704.07398498287,-2.82352179265008,0.0612666108942074,-46.085816588184,0.0,0.0
FGRAM000v1_009960,,1207.28447496809,-4.68357707352745,0.100454271720717,-46.6239712189517,0.0,0.0
FGRAM000v1_009988,,10980.7315824698,-2.23357078067024,0.0567996034788324,-39.3237037561825,0.0,0.0
FGRAM000v1_010552,,14994.091913299,-6.43109335767546,0.111993778445899,-57.423666268945,0.0,0.0
FGRAM000v1_010863,,2759.7571386295,-3.86138372251361,0.086733193948642,-44.5202528203917,0.0,0.0
FGRAM000v1_010949,FGSG_06830,2781.50347341069,-4.42407664566861,0.0815422445448386,-54.255026586077,0.0,0.0
FGRAM000v1_011291,FGSG_07130,6672.54862969916,-3.40383436360628,0.0813674813101901,-41.8328588865881,0.0,0.0
FGRAM000v1_011373,,5607.72759565512,2.36647493360494,0.0590824646220495,40.0537612766035,0.0,0.0
FGRAM000v1_011376,,1438.93510440939,3.77042329196558,0.0851257061883406,44.2924171885695,0.0,0.0
FGRAM000v1_012454,,2242.57360002972,-7.12215593175936,0.132378291141919,-53.8015400434798,0.0,0.0
FGRAM000v1_012818,,1937.16838265129,-3.90767959478375,0.0911589627021168,-42.8666527015342,0.0,0.0
FGRAM000v1_008265,,1350.61021600716,-2.49538968019645,0.0652426634047929,-38.2478205206615,4.5217e-320,1.153388e-317
FGRAM000v1_005298,,689.921810454724,4.41891021705697,0.116161409561062,38.0411208313904,1.2071998e-316,3.000355814e-314
