contrast,gene_id,FGSG_id,baseMean,log2FoldChange,lfcSE,padj,direction
low_light_vs_black_light,FGRAM000v1_012171,,15.3013968377125,1.77129644067477,0.46900923606411,0.0003467370513445,up_in_first
low_light_vs_black_light,FGRAM000v1_007477,,5.43087922596302,-2.61590751964153,0.692691880911043,0.0003469926595259,down_in_first
low_light_vs_black_light,FGRAM000v1_007024,,4.74031568225697,-5.1041906064866,1.35437276793921,0.0003571578781935,down_in_first
low_light_vs_black_light,FGRAM000v1_007358,,10.6846845387346,1.93158228863276,0.513418251233847,0.0003661933428273,up_in_first
low_light_vs_black_light,FGRAM000v1_000246,,16.8079320905155,-1.51424209787589,0.403002236094321,0.0003728762126616,down_in_first
low_light_vs_black_light,FGRAM000v1_001405,,20.5719470482655,1.4454890120669,0.385571761296852,0.0003848956046944,up_in_first
low_light_vs_black_light,FGRAM000v1_002350,,5.04835503180054,5.04258739560905,1.34626680549559,0.0003895330063382,up_in_first
low_light_vs_black_light,FGRAM000v1_011216,FGSG_07065,27.00110855867,1.22900115522882,0.328179296751341,0.0003904464842972,up_in_first
low_light_vs_black_light,FGRAM000v1_010455,,8.89659468539128,2.25079409360635,0.601397219561398,0.0003936865977524,up_in_first
low_light_vs_black_light,FGRAM000v1_001832,,11.1072288824048,1.91026632711085,0.510700903586395,0.00039694711257,up_in_first
low_light_vs_black_light,FGRAM000v1_006077,,20.3815073439853,-1.35111890785978,0.361663968079441,0.0004038876959324,down_in_first
low_light_vs_black_light,FGRAM000v1_002529,,18.0565258060954,-1.44518897226381,0.387282825352114,0.0004105475463834,down_in_first
low_light_vs_black_light,FGRAM000v1_004313,,17.3236242512646,1.8357332045659,0.492136737473329,0.000412695896549,up_in_first
low_light_vs_black_light,FGRAM000v1_011840,FGSG_07613,7.86326428260196,2.58528027555273,0.693218394896858,0.0004137264144708,up_in_first
low_light_vs_black_light,FGRAM000v1_003435,,215.932523561006,-1.14779601732367,0.308156762391237,0.0004211843060652,down_in_first
low_light_vs_black_light,FGRAM000v1_005513,,8.9933030777258,-2.1664099138428,0.582116016414026,0.0004261111707423,down_in_first
low_light_vs_black_light,FGRAM000v1_010419,,16.6485240351972,1.52447261025377,0.40974686365999,0.0004278578709763,up_in_first
low_light_vs_black_light,FGRAM000v1_001987,,21.3274438662395,-1.27518853803083,0.34283616682149,0.0004292617092253,down_in_first
low_light_vs_black_light,FGRAM000v1_011541,,10.068663622482,2.13344530739296,0.573691433887684,0.0004303039473009,up_in_first
low_light_vs_black_light,FGRAM000v1_004800,,5.54638485460771,-2.64032880337345,0.71000504544016,0.0004303043473571,down_in_first
low_light_vs_black_light,FGRAM000v1_005483,,4.2037715595594,3.67920147772031,0.991341820591464,0.0004421233246869,up_in_first
low_light_vs_black_light,FGRAM000v1_002607,,31.8752176051376,-1.07429421318726,0.289861021432391,0.0004509106185539,down_in_first
low_light_vs_black_light,FGRAM000v1_002029,,7.3274202365888,4.68548027619171,1.2643181004226,0.0004513526075759,up_in_first
low_light_vs_black_light,FGRAM000v1_000102,FGSG_00072,13.5661664380192,1.78035386502929,0.480996131263122,0.0004592124535841,up_in_first
low_light_vs_black_light,FGRAM000v1_007898,,32.665363532028,1.13404015810298,0.306659787400566,0.0004650043132221,up_in_first
low_light_vs_black_light,FGRAM000v1_005295,,19.3760844828533,1.424706967406,0.385272423353003,0.000465119678895,up_in_first
low_light_vs_black_light,FGRAM000v1_011581,FGSG_07384,15.3460193420517,1.73981403952911,0.471039931778286,0.0004728607892307,up_in_first
low_light_vs_black_light,FGRAM000v1_010830,,129.566346742584,-1.17058211960224,0.317122678135339,0.0004765271659979,down_in_first
low_light_vs_black_light,FGRAM000v1_004234,FGSG_08861,14.6959611197977,1.61516579715098,0.437701018540979,0.0004784711284055,up_in_first
low_light_vs_black_light,FGRAM000v1_008715,,11.1264714964352,-1.99912692188949,0.542180773190909,0.00048387848638,down_in_first
low_light_vs_black_light,FGRAM000v1_013292,,19.4761946357147,-1.35607173189342,0.368244958770995,0.0004925069139068,down_in_first
low_light_vs_black_light,FGRAM000v1_003128,,9.0894435474216,-2.14004510294502,0.581597758055318,0.0004978707505501,down_in_first
low_light_vs_black_light,FGRAM000v1_011812,,20.6305005154691,1.45643705444379,0.395835978302591,0.0004981541627512,up_in_first
low_light_vs_black_light,FGRAM000v1_001893,,14.2444712144207,-1.52006307709958,0.413938737559161,0.0005113974714705,down_in_first
low_light_vs_black_light,FGRAM000v1_001903,,9.09984326249621,2.27668435537379,0.620630372677762,0.000518706492016,up_in_first
low_light_vs_black_light,FGRAM000v1_011134,,12.8691118993805,1.89345457646242,0.519441847782906,0.0005654009448921,up_in_first
low_light_vs_black_light,FGRAM000v1_007514,,17.3845313381725,-1.37202814189495,0.376742961842561,0.000572498590934,down_in_first
low_light_vs_black_light,FGRAM000v1_003815,,15.2236583552574,1.77766796026565,0.488874027453086,0.0005843181876074,up_in_first
low_light_vs_black_light,FGRAM000v1_003956,,6.90465189516168,4.03705273577045,1.11091363633166,0.0005890694627463,up_in_first
low_light_vs_black_light,FGRAM000v1_007282,,8.88750087080843,-2.14377170997448,0.590482762278576,0.0005968762482574,down_in_first
low_light_vs_black_light,FGRAM000v1_004123,,11.570964319491,-2.084117453296,0.57489400247997,0.0006089024913762,down_in_first
low_light_vs_black_light,FGRAM000v1_007581,FGSG_12583,9.27765454658545,-2.187295010698,0.60419888261062,0.0006201328287148,down_in_first
low_light_vs_black_light,FGRAM000v1_007538,,8.85735420887738,2.59426283086604,0.716844577838431,0.0006226224470355,up_in_first
low_light_vs_black_light,FGRAM000v1_007244,,28.4618325056889,-1.1218564419019,0.310285034150285,0.000630540552355,down_in_first
low_light_vs_black_light,FGRAM000v1_012853,,4.01899367481071,-3.30939573864067,0.916320141630002,0.0006395359708466,down_in_first
low_light_vs_black_light,FGRAM000v1_000029,,6.52659308838696,2.84253376961206,0.787426976879917,0.0006433576692725,up_in_first
low_light_vs_black_light,FGRAM000v1_003947,,7.73206892364234,3.36291491666433,0.933573226670494,0.0006611581002379,up_in_first
low_light_vs_black_light,FGRAM000v1_013137,,18.5064759665811,1.40856693677097,0.391180427170743,0.0006642618762154,up_in_first
low_light_vs_black_light,FGRAM000v1_008928,,5.385248228926,4.7453360771604,1.31822368398214,0.0006667175685521,up_in_first
low_light_vs_black_light,FGRAM000v1_000009,,11.3798449239409,1.79786091454775,0.499657124669577,0.0006702694259504,up_in_first
low_light_vs_black_light,FGRAM000v1_007742,,12.5231902336808,1.79803137822391,0.499829031427795,0.0006724379150037,up_in_first
low_light_vs_black_light,FGRAM000v1_011155,,16.2086777866326,-1.42644991693025,0.396631349398809,0.0006745711663632,down_in_first
low_light_vs_black_light,FGRAM000v1_007690,,15.8401580030603,-1.67011197655956,0.464595045618748,0.0006784039255618,down_in_first
low_light_vs_black_light,FGRAM000v1_007571,,4.5697817047718,4.75199190994695,1.32195910714774,0.0006785455229087,up_in_first
low_light_vs_black_light,FGRAM000v1_006946,,42.3801241456425,1.01098055760952,0.28126336050439,0.0006790040362041,up_in_first
low_light_vs_black_light,FGRAM000v1_000293,,7.91466749509767,-2.04348895553002,0.568839474470868,0.0006840599434445,down_in_first
low_light_vs_black_light,FGRAM000v1_004314,,6.44399588529852,3.17913642117052,0.885957463117193,0.0006940946796861,up_in_first
low_light_vs_black_light,FGRAM000v1_008818,,35.3568225992666,1.00632587425039,0.280821781974123,0.0007063806136715,up_in_first
low_light_vs_black_light,FGRAM000v1_006769,,15.6113237825775,1.64611647908957,0.459774737380429,0.0007142663913869,up_in_first
low_light_vs_black_light,FGRAM000v1_009663,,3.98987771853777,4.15344760966297,1.16092728414601,0.0007208572001198,up_in_first
low_light_vs_black_light,FGRAM000v1_006456,,24.5222184698162,1.41275010065211,0.395054597372222,0.000724842635736,up_in_first
low_light_vs_black_light,FGRAM000v1_000331,FGSG_00267,18.2259398637342,1.29267969212195,0.36153106675996,0.0007261240197638,up_in_first
low_light_vs_black_light,FGRAM000v1_013003,,5.73221062921605,-4.11619595814679,1.15216164977207,0.0007339811899644,down_in_first
low_light_vs_black_light,FGRAM000v1_007083,,6.51822433842673,3.06879279964082,0.859347449345045,0.0007377580038409,up_in_first
low_light_vs_black_light,FGRAM000v1_007123,,20.1012171147341,1.40004779957315,0.392173025699273,0.0007402407748867,up_in_first
low_light_vs_black_light,FGRAM000v1_007105,,18.5078205972953,1.43764270758872,0.402943339224125,0.0007459236181981,up_in_first
low_light_vs_black_light,FGRAM000v1_007461,,24.9410909852607,1.3045160791424,0.365939168482058,0.0007540502662257,up_in_first
low_light_vs_black_light,FGRAM000v1_002055,,3.59231402646583,4.75249544921791,1.33529129299529,0.000768958617396,up_in_first
low_light_vs_black_light,FGRAM000v1_009787,,6.8576909626552,2.29540303404504,0.646138261861034,0.000787483650149,up_in_first
low_light_vs_black_light,FGRAM000v1_010462,,3.81488773498529,4.68003721408747,1.3178031265735,0.0007906197332251,up_in_first
low_light_vs_black_light,FGRAM000v1_011606,FGSG_13145,14.3341821113134,-1.48633127439772,0.418676223510394,0.0007944256790564,down_in_first
low_light_vs_black_light,FGRAM000v1_005769,,7.18353634261596,2.59396631662604,0.73136736109346,0.0008037040526866,up_in_first
low_light_vs_black_light,FGRAM000v1_006199,,12.0393936869367,1.8364121248753,0.51863579777325,0.0008213177737171,up_in_first
low_light_vs_black_light,FGRAM000v1_007441,,24.4585609649324,1.21702808084183,0.344621168927323,0.0008494830336345,up_in_first
low_light_vs_black_light,FGRAM000v1_006154,,27.6823135817369,1.17873560242363,0.333881883461969,0.0008528371000653,up_in_first
low_light_vs_black_light,FGRAM000v1_010171,,21.5092419023726,1.60582875824214,0.455345329959524,0.0008643702616501,up_in_first
low_light_vs_black_light,FGRAM000v1_006374,,5.34190420101665,3.05198201906457,0.867517402249323,0.0008919591046807,up_in_first
