"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGRAM000v1_002809",556.439875042259,-3.8732011492066,0.100612239961468,-38.4963216273682,0,0
"FGRAM000v1_001309",5232.38988707279,-2.84510465954299,0.0852077036529576,-33.3902280846672,1.90055765711104e-244,9.21105268518865e-241
"FGRAM000v1_005002",5280.67986317523,2.1766007898151,0.0687818553604716,31.644985125917,8.88897275294143e-220,2.87202709647538e-216
"FGRAM000v1_006078",1364.90836045089,2.50649481518389,0.0802506528008324,31.2333261812158,3.76059889622257e-214,9.11287127527133e-211
"FGRAM000v1_007417",500.868391350442,3.9366925893768,0.127055719229416,30.9839857131389,8.85930653280604e-211,1.71746516444978e-207
"FGRAM000v1_008265",1350.61021600716,-1.86463544448024,0.0632012737233972,-29.5031307856372,2.62467315482901e-191,4.24015948162626e-188
"FGRAM000v1_001557",6863.28913963825,4.7362878645187,0.165941472035053,28.5419178607636,3.53886165547234e-179,4.90031228949906e-176
"FGRAM000v1_009058",1847.34416770862,1.6661846404498,0.0584353380178236,28.5133054238787,8.0128789859683e-179,9.70860450137385e-176
"FGRAM000v1_001155",550.172444001179,-2.60304260987153,0.0942014482489269,-27.6327238939363,4.50182680377754e-168,4.84846746766842e-165
"FGRAM000v1_001116",10737.2816446947,1.51548617985038,0.0569599478614099,26.6061721744853,5.75882431692997e-156,5.58202841040022e-153
"FGRAM000v1_000175",5076.55962570446,-2.46810301203944,0.099217237209254,-24.8757482213912,1.36186297844074e-136,1.20004889545692e-133
"FGRAM000v1_001253",1080.20077551393,2.90245350699326,0.117457736576591,24.7106201054764,8.22319685845519e-135,6.64228726241718e-132
"FGRAM000v1_000324",58161.3703072293,-2.69625994768449,0.110382255528268,-24.426570509732,8.93009430444987e-132,6.65841569946405e-129
"FGRAM000v1_012048",11985.8720435005,2.52468960581451,0.103681625444304,24.3504053393793,5.74027882620217e-131,3.97432304731269e-128
"FGRAM000v1_002528",2652.01715477612,-2.22454612691339,0.091538267848921,-24.3018158327497,1.87555971936902e-130,1.21198669065626e-127
"FGRAM000v1_002343",395.722141733027,2.77814545789223,0.118781603261091,23.3886846247196,5.57141214436542e-121,3.37523111970838e-118
"FGRAM000v1_012565",707.353213497257,2.20761284991307,0.0946574835620241,23.3221164015684,2.64489361415976e-120,1.50805610600298e-117
"FGRAM000v1_004425",1396.61661807464,-2.064293257667,0.0888971136441006,-23.2211505306167,2.78433538202243e-119,1.49936460321908e-116
"FGRAM000v1_003545",1365.52473810441,1.85006236578274,0.0803097214495492,23.0365929851339,2.00450436866981e-117,1.02261372871139e-114
"FGRAM000v1_006544",1184.44655198178,1.99311546999399,0.0865831894107499,23.0196587069422,2.96267965575221e-117,1.43586269516031e-114
"FGRAM000v1_002293",432.074442399529,-2.54872786067411,0.110737842969564,-23.0158705671611,3.23313617104634e-117,1.49232328123582e-114
"FGRAM000v1_011316",2829.49914473403,-2.52189129765814,0.110110304176935,-22.9033178730097,4.30559569850468e-116,1.89700632298208e-113
"FGRAM000v1_007172",2105.29297530915,-2.08856622634837,0.0912891155176864,-22.8785897913944,7.59158994155033e-116,3.19936005667163e-113
"FGRAM000v1_008876",271.55662795219,2.93066483550323,0.128303564363382,22.8416478532349,1.76926273205113e-115,7.1456098590715e-113
"FGRAM000v1_004072",6243.53800529631,1.6362271866953,0.0729048090002578,22.4433368543563,1.48661256101266e-111,5.7638942215583e-109
"FGRAM000v1_010585",1190.31745097096,1.70261348939354,0.0768616667498678,22.1516597465207,1.00545870522098e-108,3.74842739604114e-106
"FGRAM000v1_007816",400.897742566223,-2.02028202005055,0.0914015521814006,-22.1033666478769,2.93358054124975e-108,1.05315541430866e-105
"FGRAM000v1_005300",2162.11489406344,1.54173610625214,0.0701794345409016,21.9684885798501,5.76553439025605e-107,1.99590445874114e-104
"FGRAM000v1_011834",442.017984227701,2.28970092925258,0.104344137287427,21.9437429718293,9.93772081636748e-107,3.32159751286379e-104
"FGRAM000v1_003342",9729.26274560352,1.1343429781345,0.0518396229009285,21.881775264885,3.8746382921218e-106,1.25189563218455e-103
"FGRAM000v1_007947",14116.9726379582,1.51684368428355,0.0705183295314267,21.5099208158009,1.25718782175517e-102,3.93094243750739e-100
"FGRAM000v1_002342",1040.28293697415,1.39840855472289,0.0653020801895747,21.4144564868876,9.79801388322654e-102,2.96787964281609e-99
"FGRAM000v1_005301",719.283407439807,1.73786358610013,0.081891999718825,21.2214085877382,6.05817076923406e-100,1.7794499777632e-97
"FGRAM000v1_006413",3671.10732105275,1.52403220609828,0.072067693792872,21.1472315248281,2.92618500174179e-99,8.34220918290681e-97
"FGRAM000v1_002065",1746.54513233659,1.42441925328551,0.0680960419996821,20.9177980313769,3.68751405196584e-97,1.02123067730585e-94
"FGRAM000v1_005410",1255.67261032207,1.28033026264468,0.0613838282756463,20.8577779948052,1.29552195671825e-96,3.4881928684639e-94
"FGRAM000v1_011373",5607.72759565512,1.24318917790009,0.0598233787022447,20.7809923957611,6.43153986231877e-96,1.68488961852583e-93
"FGRAM000v1_007007",1125.06333747268,1.70240357266119,0.0821291800521591,20.7283644081192,1.92212229041324e-95,4.90292930551987e-93
"FGRAM000v1_004623",725.785471732147,-1.5559572844598,0.0757979885343344,-20.5276856885852,1.21841243693232e-93,3.02822352594486e-91
