gene_id,FGSG_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FGRAM000v1_003995,,737.673650051593,3.16464611962782,0.0816450403462914,38.7610332018357,0.0,0.0
FGRAM000v1_004702,,6158.7620754169,-3.15927558382941,0.0746619820481828,-42.3143813914634,0.0,0.0
FGRAM000v1_007172,,2105.29297530915,-8.61873549831265,0.212111721835438,-40.6329995519969,0.0,0.0
FGRAM000v1_007646,,1579.57782446725,2.49186225877935,0.0633575260839352,39.3301697966895,0.0,0.0
FGRAM000v1_007171,,541.875093311561,-5.40727512928322,0.15834486284622,-34.1487247018214,1.39672056674728e-255,2.70768249069627e-252
FGRAM000v1_000669,,704.195972871502,-4.30304051750188,0.133430250552557,-32.2493624922555,3.5911115477236897e-228,5.80144070534762e-225
FGRAM000v1_002411,,1160.04933622415,-3.31799207856197,0.108716470725119,-30.5196816676587,1.4285223195050899e-204,1.9780952632804102e-201
FGRAM000v1_000179,,455.609092958844,2.83760379459451,0.0945417644109808,30.0142885239503,6.38862278563035e-198,7.740615082639369e-195
FGRAM000v1_009541,,1303.89749258172,-3.52126331033268,0.118006576833529,-29.8395513607695,1.1995354760740199e-195,1.2918997077317199e-192
FGRAM000v1_012565,,707.353213497257,-2.80992544192517,0.0988995863168275,-28.4119028862618,1.44139896229223e-177,1.39714801414986e-174
FGRAM000v1_006175,,403.791815220243,3.0966422263122,0.10944259970711,28.2946698506745,4.0192502805331795e-176,3.5416902699280106e-173
FGRAM000v1_002164,,823.954513666508,1.99210123835891,0.0712204507065852,27.9709159180415,3.6705320956466703e-172,2.9648723002586e-169
FGRAM000v1_011908,,425.747824285272,3.07039645099025,0.11253762804392,27.283287415583,6.697032674507159e-164,4.9934105933844506e-161
FGRAM000v1_007645,,341.346723445005,3.07038525761204,0.114547292188457,26.8045206390435,2.86203362379652e-158,1.9815494225328302e-155
FGRAM000v1_001300,,1093.61081310501,-1.94215825197976,0.0730039738892565,-26.6034593531295,6.19045838093899e-156,4.00027420576277e-153
FGRAM000v1_007355,FGSG_12555,6396.91249234723,-2.60031533390018,0.102442563379905,-25.3831537215346,3.8706158461050504e-142,2.34486746226851e-139
FGRAM000v1_003004,,10719.0709085378,-1.50962435262934,0.0595570254760224,-25.3475444846909,9.56445741394716e-142,5.45342857137587e-139
FGRAM000v1_001116,,10737.2816446947,-1.37944175324362,0.0563889599757548,-24.4629756221205,3.6620676061139304e-132,1.97202340589235e-129
FGRAM000v1_003545,FGSG_10206,1365.52473810441,1.62108412240425,0.0664220254250536,24.405821894627,1.48333225616551e-131,7.56733661000649e-129
FGRAM000v1_006948,,1111.53859780697,1.91161397292171,0.0784410076622741,24.3700843460874,3.5513124185078e-131,1.72114356362981e-128
FGRAM000v1_007151,,397.987794927567,-2.49661633416251,0.102910323822636,-24.2601154230684,5.17140794225248e-130,2.38697415163111e-127
FGRAM000v1_011376,,1438.93510440939,1.66817189815067,0.0701061081526766,23.794957987366,3.76632725352778e-125,1.65940954856567e-122
FGRAM000v1_010863,,2759.7571386295,-2.08931960195461,0.0883103203807568,-23.6588384341304,9.57280970411944e-124,4.03431497660999e-121
FGRAM000v1_004072,,6243.53800529631,1.64623473729308,0.0700882748519372,23.4880190840876,5.407434684385769e-122,2.1839276831563e-119
FGRAM000v1_002477,,605.440620520953,1.95108479478718,0.0845242108895074,23.0831471155371,6.83761107509662e-118,2.65107856603646e-115
FGRAM000v1_005728,,878.768442892605,-2.18223353689595,0.0946828682928143,-23.0478182193132,1.54690681981243e-117,5.76698761709304e-115
FGRAM000v1_010626,,378.745787794184,-4.0114328603397,0.179208364074868,-22.3841832441695,5.6124293798626105e-111,2.01486214737068e-108
