"gene_id","B10_S1","B11_S2","B12_S3","D10_S4","D11_S5","D12_S6","H13_S7","H14_S8","H15_S9","L13_S10","L14_S11","L15_S12"
"FGSG_11579",3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,4.15406096732719,3.84248136451223,3.84248136451223
"FGSG_11580",6.08584601609353,6.00701300863491,6.40823790880804,6.81734279967027,6.78741740053402,7.0409505360434,6.7425951808822,6.80889797990622,6.66592529888026,6.5280619182501,6.77507165873683,6.81136176079974
"FGSG_11581",6.27585173564205,6.0520525683433,5.80436541343979,6.14073497627107,6.10710729760908,5.96404157723485,5.79293210932134,6.1612175964087,5.7848261553107,6.28105291438883,6.33323567902035,6.21549023977446
"FGSG_14022",5.0204274394225,4.81670367625054,5.5176407640044,4.96547823795224,5.13062485921841,5.17200537003227,5.40214634762402,5.09136505222126,4.95376228253712,4.65756289172424,4.88257914718189,4.84478507966044
"FGSG_14023",4.46991766258026,4.74679371072335,3.84248136451223,4.78888763908996,4.92468862311853,4.87223858091428,4.65025523227562,4.77746487801529,4.63773999034667,4.76332660856135,4.58572622240364,4.60652157161353
"FGSG_11584",3.84248136451223,3.84248136451223,3.84248136451223,4.20567796027815,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223
"FGSG_11585",9.47193091594638,9.41680100352912,9.40912839766763,7.69231657233884,7.32958929248409,7.34409613642528,9.03352368511035,9.02560802346477,9.00371305828786,6.42762806930892,6.20110985193721,6.60913332129379
"FGSG_14029",4.35611099712921,4.37022839642762,4.7728419096489,5.11391908543684,4.86532918954671,5.31706478231044,4.47139383563867,5.1434768298026,4.8850456571011,4.98081307511044,5.2846617942412,5.13744490884187
"FGSG_14030",4.35611099712921,3.84248136451223,5.05836463612712,4.96547823795224,5.08303698773392,4.52464501648303,4.91552968084548,4.22973826964584,4.40832686636021,4.81138676004533,4.88257914718189,4.84478507966044
"FGSG_11641",3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,4.15406096732719,3.84248136451223,3.84248136451223
"FGSG_11605",4.96828461865947,4.81670367625054,4.7728419096489,4.91040192086162,5.17610680237726,5.11888863919558,5.023095398798,5.32946412393854,5.81581107156508,4.94132755253735,4.88257914718189,4.84478507966044
"FGSG_11642",6.42656151141248,6.53077373482042,6.80424063564624,6.6401602360484,6.64283865048138,6.91469537231316,6.97537026533674,6.96328850680895,7.11860303757445,6.75571709119733,6.72190322094571,6.62459754229747
"FGSG_11600",6.12607851513243,6.3834792873874,6.51215944422342,6.73157097047338,6.92972647118974,6.79044944643723,6.44726035169007,6.57221593975747,6.78984567221879,6.80062831929089,6.83880196847249,6.39047261353858
"FGSG_11644",4.8543089668264,4.99801387310782,5.34355218717038,5.49678094457316,4.73276924277772,5.22255885335917,4.72512687240544,4.91615134761841,5.01776041320778,5.18918772334358,5.2846617942412,4.60652157161353
"FGSG_00003",3.84248136451223,3.84248136451223,3.84248136451223,4.35478052049292,3.84248136451223,3.84248136451223,4.35732562297807,3.84248136451223,4.40832686636021,3.84248136451223,4.21717313463798,4.38585764326567
"FGSG_00004",3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,4.21717313463798,4.22783491459525
"FGSG_00005",3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,4.21717313463798,3.84248136451223
"FGSG_00006",3.84248136451223,3.84248136451223,3.84248136451223,4.20567796027815,4.57315326451491,4.79862363436095,4.91552968084548,4.69840777700352,5.01776041320778,5.09038657484515,4.88257914718189,4.60652157161353
"FGSG_00007",10.6509831014813,10.7948315293543,10.7172778030671,12.6058403525745,12.7165594942458,12.6631568643732,11.8053899783203,11.780220875402,11.8440854479256,12.5402373950206,12.5721955109648,12.512646446755
"FGSG_11645",4.20662611463689,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,4.52464501648303,4.20749174187888,3.84248136451223,3.84248136451223,3.84248136451223,4.21717313463798,4.69429495103378
"FGSG_00010",3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,4.22973826964584,3.84248136451223,4.15406096732719,3.84248136451223,3.84248136451223
"FGSG_00011",6.53324542372758,6.75909460673684,6.74208699853818,7.44078557683163,7.46714580474296,7.3538097235564,7.1372735077879,7.26878589706077,7.29479505300087,7.69847092519256,7.79686667909643,7.82328399491035
"FGSG_00012",4.20662611463689,4.48707173083471,4.50594248605485,5.20198991744225,5.13062485921841,4.94018550299606,4.56681889422497,4.38852586679627,4.63773999034667,5.30803830779293,5.05287597574611,5.48140198605572
"FGSG_00013",4.20662611463689,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,4.23876100939447,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,4.21717313463798,3.84248136451223
"FGSG_11648",3.84248136451223,4.48707173083471,3.84248136451223,4.46830063248116,3.84248136451223,3.84248136451223,4.20749174187888,3.84248136451223,4.40832686636021,4.38008661103492,3.84248136451223,3.84248136451223
"FGSG_11649",3.84248136451223,4.21668912843583,3.84248136451223,3.84248136451223,3.84248136451223,4.23876100939447,3.84248136451223,3.84248136451223,3.84248136451223,4.15406096732719,4.21717313463798,3.84248136451223
"FGSG_00014",4.35611099712921,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,4.56681889422497,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223
"FGSG_00015",4.20662611463689,4.5847815220642,4.3136671858609,4.64632155796998,4.36187457502961,4.23876100939447,5.71321759278458,5.78426591975275,5.96035851521465,4.46207958730702,4.48789643201739,4.38585764326567
"FGSG_00017",4.79128568268518,4.48707173083471,5.05836463612712,4.46830063248116,4.47692185450094,4.627802845022,4.65025523227562,4.61023100131296,4.81058245020372,4.38008661103492,4.67123235199252,4.69429495103378
"FGSG_00018",8.80473748644899,8.56418903652176,8.82267929000057,8.21731830892669,8.1854035412862,8.03381364797199,8.88354860477602,8.76070288457796,8.94271410821902,8.31692879855123,8.10381351215207,8.15663624771831
"FGSG_00019",4.20662611463689,4.21668912843583,3.84248136451223,3.84248136451223,4.21073392483589,4.52464501648303,3.84248136451223,4.50929423648186,4.24386824981101,4.38008661103492,4.3709072550164,4.38585764326567
"FGSG_00021",5.36265875600408,5.2405030923262,5.05836463612712,5.64904841028028,5.8588439910359,5.4850871336417,5.65708725413208,5.28587090298332,5.13442519191641,5.7480466657611,5.40310685905003,5.48140198605572
"FGSG_11651",5.36265875600408,5.668107895864,5.46246677574013,6.96388846420265,6.84848125062639,7.17888915382436,5.84340297499089,5.56092891353635,5.18810550852358,7.31334076395914,7.39714862351262,7.45759666867479
"FGSG_11652",3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,4.47139383563867,3.84248136451223,3.84248136451223,4.15406096732719,4.3709072550164,4.22783491459525
"FGSG_00023",3.84248136451223,3.84248136451223,3.84248136451223,4.20567796027815,4.36187457502961,3.84248136451223,4.20749174187888,3.84248136451223,3.84248136451223,4.38008661103492,4.48789643201739,4.22783491459525
"FGSG_00024",6.44232066714794,6.67781940658816,6.84418982346644,7.18163918652012,7.21460409328648,7.3538097235564,7.1656660974757,7.19837727781616,6.91724490340094,7.54521516796848,7.47865820914382,7.5641030199005
"FGSG_00025",6.04434802427991,5.78235269575259,5.96454377813321,6.03948978264993,6.10710729760908,6.01613395103157,5.40214634762402,5.78426591975275,5.81581107156508,5.68839911333088,5.47573915196361,5.51789985415367
"FGSG_00026",5.11705473645483,4.99801387310782,5.46246677574013,5.06687838679463,4.86532918954671,4.52464501648303,4.91552968084548,4.77746487801529,4.63773999034667,4.81138676004533,4.99944119973995,4.91107345157562
"FGSG_00027",4.20662611463689,4.37022839642762,4.50594248605485,3.84248136451223,3.84248136451223,4.23876100939447,4.20749174187888,4.38852586679627,4.24386824981101,3.84248136451223,3.84248136451223,3.84248136451223
"FGSG_00028",3.84248136451223,3.84248136451223,3.84248136451223,3.84248136451223,4.36187457502961,3.84248136451223,4.20749174187888,4.38852586679627,4.24386824981101,4.15406096732719,4.48789643201739,3.84248136451223
"FGSG_00029",4.20662611463689,4.37022839642762,3.84248136451223,4.64632155796998,4.57315326451491,4.40117131932448,3.84248136451223,4.50929423648186,4.63773999034667,4.65756289172424,4.58572622240364,4.50605441537759
"FGSG_00030",4.79128568268518,4.67018442312819,4.3136671858609,4.46830063248116,4.86532918954671,4.40117131932448,4.970845948595,4.61023100131296,4.72889842723126,4.90008276561346,5.05287597574611,4.97284593833088
"FGSG_00032",4.46991766258026,4.48707173083471,4.65158585994839,4.78888763908996,4.92468862311853,4.40117131932448,4.72512687240544,4.22973826964584,4.40832686636021,4.90008276561346,5.1035685498462,4.97284593833088
"FGSG_00033",5.16211768085138,5.43810559050924,5.21049826127949,6.16008696949095,6.00008449516373,6.22797714655305,5.65708725413208,5.81313192906827,5.68699587223421,5.60409722087209,5.811579731274,5.65367490346646
"FGSG_11653",5.59452755064865,5.78235269575259,6.20473470613807,5.24341322424201,4.98043266990011,5.11888863919558,6.00586533724475,5.72446592812648,5.7848261553107,5.09038657484515,4.88257914718189,5.08554663957966
"FGSG_11654",4.64837802967028,4.74679371072335,4.3136671858609,4.46830063248116,4.73276924277772,4.52464501648303,4.91552968084548,4.77746487801529,4.63773999034667,4.81138676004533,4.9428519010881,4.84478507966044
