GO	go_name	go_namespace
GO:0000275	obsolete mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)	CC
GO:0000276	obsolete mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	CC
GO:0000278	mitotic cell cycle	BP
GO:0000280	nuclear division	BP
GO:0000281	mitotic cytokinesis	BP
GO:0000282	cellular bud site selection	BP
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	MF
GO:0000287	magnesium ion binding	MF
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	BP
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	BP
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	BP
GO:0000291	obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic	BP
GO:0000293	ferric-chelate reductase activity	MF
GO:0000294	nuclear-transcribed mRNA catabolic process, RNase MRP-dependent	BP
GO:0000295	adenine nucleotide transmembrane transporter activity	MF
GO:0000296	spermine transport	BP
GO:0000297	spermine transmembrane transporter activity	MF
GO:0000298	endopolyphosphatase activity	MF
GO:0000301	retrograde transport, vesicle recycling within Golgi	BP
GO:0000302	response to reactive oxygen species	BP
GO:0000304	response to singlet oxygen	BP
GO:0000306	obsolete extrinsic component of vacuolar membrane	CC
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	CC
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	MF
GO:0000320	re-entry into mitotic cell cycle	BP
GO:0000321	re-entry into mitotic cell cycle after pheromone arrest	BP
GO:0000324	fungal-type vacuole	CC
GO:0000328	fungal-type vacuole lumen	CC
GO:0000329	fungal-type vacuole membrane	CC
GO:0000333	telomerase catalytic core complex	CC
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	MF
GO:0000339	RNA cap binding	MF
GO:0000340	RNA 7-methylguanosine cap binding	MF
GO:0000346	transcription export complex	CC
GO:0000348	mRNA branch site recognition	BP
GO:0000349	generation of catalytic spliceosome for first transesterification step	BP
GO:0000350	generation of catalytic spliceosome for second transesterification step	BP
GO:0000354	cis assembly of pre-catalytic spliceosome	BP
GO:0000372	Group I intron splicing	BP
GO:0000379	tRNA-type intron splice site recognition and cleavage	BP
GO:0000384	first spliceosomal transesterification activity	MF
GO:0000386	second spliceosomal transesterification activity	MF
GO:0000387	spliceosomal snRNP assembly	BP
GO:0000388	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	BP
GO:0000389	mRNA 3'-splice site recognition	BP
GO:0000390	spliceosomal complex disassembly	BP
GO:0000395	mRNA 5'-splice site recognition	BP
GO:0000398	mRNA splicing, via spliceosome	BP
GO:0000400	four-way junction DNA binding	MF
GO:0000403	Y-form DNA binding	MF
GO:0000404	heteroduplex DNA loop binding	MF
GO:0000406	double-strand/single-strand DNA junction binding	MF
GO:0000407	phagophore assembly site	CC
GO:0000408	EKC/KEOPS complex	CC
GO:0000411	positive regulation of transcription by galactose	BP
GO:0000412	obsolete histone peptidyl-prolyl isomerization	BP
GO:0000413	protein peptidyl-prolyl isomerization	BP
GO:0000414	obsolete regulation of histone H3-K36 methylation	BP
GO:0000417	HIR complex	CC
GO:0000421	autophagosome membrane	CC
GO:0000422	autophagy of mitochondrion	BP
GO:0000432	positive regulation of transcription from RNA polymerase II promoter by glucose	BP
GO:0000433	obsolete carbon catabolite repression of transcription from RNA polymerase II promoter by glucose	BP
GO:0000435	positive regulation of transcription from RNA polymerase II promoter by galactose	BP
GO:0000436	carbon catabolite activation of transcription from RNA polymerase II promoter	BP
GO:0000439	transcription factor TFIIH core complex	CC
GO:0000444	MIS12/MIND type complex	CC
GO:0000445	THO complex part of transcription export complex	CC
GO:0000446	nucleoplasmic THO complex	CC
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	BP
GO:0000448	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	BP
GO:0000453	obsolete enzyme-directed rRNA 2'-O-methylation	BP
GO:0000455	enzyme-directed rRNA pseudouridine synthesis	BP
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	BP
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	BP
GO:0000464	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	BP
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	BP
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	BP
GO:0000469	obsolete cleavage involved in rRNA processing	BP
GO:0000470	maturation of LSU-rRNA	BP
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	BP
GO:0000478	obsolete endonucleolytic cleavage involved in rRNA processing	BP
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	BP
GO:0000492	box C/D snoRNP assembly	BP
GO:0000493	box H/ACA snoRNP assembly	BP
GO:0000494	box C/D sno(s)RNA 3'-end processing	BP
GO:0000502	proteasome complex	CC
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	CC
GO:0000703	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	MF
GO:0000706	meiotic DNA double-strand break processing	BP
GO:0000707	meiotic DNA recombinase assembly	BP
GO:0000709	meiotic joint molecule formation	BP
GO:0000710	meiotic mismatch repair	BP
GO:0000711	meiotic DNA repair synthesis	BP
GO:0000712	resolution of meiotic recombination intermediates	BP
GO:0000713	meiotic heteroduplex formation	BP
GO:0000715	nucleotide-excision repair, DNA damage recognition	BP
GO:0000717	obsolete nucleotide-excision repair, DNA duplex unwinding	BP
GO:0000722	telomere maintenance via recombination	BP
GO:0000723	telomere maintenance	BP
GO:0000724	double-strand break repair via homologous recombination	BP
GO:0000725	recombinational repair	BP
GO:0000727	double-strand break repair via break-induced replication	BP
GO:0000729	DNA double-strand break processing	BP
GO:0000730	DNA recombinase assembly	BP
GO:0000731	DNA synthesis involved in DNA repair	BP
GO:0000733	obsolete DNA strand renaturation	BP
GO:0000734		
GO:0000735	removal of nonhomologous ends	BP
GO:0000736	double-strand break repair via single-strand annealing, removal of nonhomologous ends	BP
GO:0000737	obsolete DNA catabolic process, endonucleolytic	BP
GO:0000738	obsolete DNA catabolic process, exonucleolytic	BP
GO:0000742	karyogamy involved in conjugation with cellular fusion	BP
GO:0000743	nuclear migration involved in conjugation with cellular fusion	BP
GO:0000747	conjugation with cellular fusion	BP
GO:0000749	response to pheromone triggering conjugation with cellular fusion	BP
GO:0000750	obsolete pheromone-dependent signal transduction involved in conjugation with cellular fusion	BP
GO:0000751	mitotic cell cycle G1 arrest in response to pheromone	BP
GO:0000753	cell morphogenesis involved in conjugation with cellular fusion	BP
GO:0000754	obsolete adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion	BP
GO:0000755	cytogamy	BP
GO:0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity	MF
GO:0000774	adenyl-nucleotide exchange factor activity	MF
GO:0000775	chromosome, centromeric region	CC
GO:0000776	kinetochore	CC
GO:0000777		
GO:0000778		
GO:0000780		
GO:0000781	chromosome, telomeric region	CC
GO:0000783	nuclear telomere cap complex	CC
GO:0000784		
GO:0000785	chromatin	CC
GO:0000786	nucleosome	CC
GO:0000788		
GO:0000790		
