GO	go_name	go_namespace
GO:0006295	obsolete nucleotide-excision repair, DNA incision, 3'-to lesion	BP
GO:0006296	obsolete nucleotide-excision repair, DNA incision, 5'-to lesion	BP
GO:0006297	nucleotide-excision repair, DNA gap filling	BP
GO:0006298	mismatch repair	BP
GO:0006301	DNA damage tolerance	BP
GO:0006302	double-strand break repair	BP
GO:0006303	double-strand break repair via nonhomologous end joining	BP
GO:0006307	DNA alkylation repair	BP
GO:0006308	DNA catabolic process	BP
GO:0006309	apoptotic DNA fragmentation	BP
GO:0006310	DNA recombination	BP
GO:0006311	meiotic gene conversion	BP
GO:0006312	mitotic recombination	BP
GO:0006313	DNA transposition	BP
GO:0006325	chromatin organization	BP
GO:0006333		
GO:0006334	nucleosome assembly	BP
GO:0006335	DNA replication-dependent chromatin assembly	BP
GO:0006336		
GO:0006337	nucleosome disassembly	BP
GO:0006338	chromatin remodeling	BP
GO:0006342		
GO:0006343		
GO:0006348		
GO:0006351	DNA-templated transcription	BP
GO:0006352	DNA-templated transcription initiation	BP
GO:0006353	DNA-templated transcription termination	BP
GO:0006354	DNA-templated transcription elongation	BP
GO:0006355	regulation of DNA-templated transcription	BP
GO:0006356	regulation of transcription by RNA polymerase I	BP
GO:0006357	regulation of transcription by RNA polymerase II	BP
GO:0006359	regulation of transcription by RNA polymerase III	BP
GO:0006360	transcription by RNA polymerase I	BP
GO:0006362	transcription elongation by RNA polymerase I	BP
GO:0006363	termination of RNA polymerase I transcription	BP
GO:0006364	rRNA processing	BP
GO:0006366	transcription by RNA polymerase II	BP
GO:0006367	transcription initiation at RNA polymerase II promoter	BP
GO:0006368	transcription elongation by RNA polymerase II	BP
GO:0006369	termination of RNA polymerase II transcription	BP
GO:0006370	7-methylguanosine mRNA capping	BP
GO:0006376	mRNA splice site recognition	BP
GO:0006378	obsolete mRNA polyadenylation	BP
GO:0006379	obsolete mRNA cleavage	BP
GO:0006382	adenosine to inosine editing	BP
GO:0006383	transcription by RNA polymerase III	BP
GO:0006386	termination of RNA polymerase III transcription	BP
GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation	BP
GO:0006390	mitochondrial transcription	BP
GO:0006396	RNA processing	BP
GO:0006397	mRNA processing	BP
GO:0006399	tRNA metabolic process	BP
GO:0006400	tRNA modification	BP
GO:0006401	RNA catabolic process	BP
GO:0006402	mRNA catabolic process	BP
GO:0006404	RNA import into nucleus	BP
GO:0006405	RNA export from nucleus	BP
GO:0006406	mRNA export from nucleus	BP
GO:0006407	obsolete rRNA export from nucleus	BP
GO:0006409	tRNA export from nucleus	BP
GO:0006412	translation	BP
GO:0006413	translational initiation	BP
GO:0006414	translational elongation	BP
GO:0006415	translational termination	BP
GO:0006417	regulation of translation	BP
GO:0006418	tRNA aminoacylation for protein translation	BP
GO:0006419	alanyl-tRNA aminoacylation	BP
GO:0006420	arginyl-tRNA aminoacylation	BP
GO:0006421	asparaginyl-tRNA aminoacylation	BP
GO:0006422	aspartyl-tRNA aminoacylation	BP
GO:0006423	cysteinyl-tRNA aminoacylation	BP
GO:0006424	glutamyl-tRNA aminoacylation	BP
GO:0006425	glutaminyl-tRNA aminoacylation	BP
GO:0006426	glycyl-tRNA aminoacylation	BP
GO:0006427	histidyl-tRNA aminoacylation	BP
GO:0006428	isoleucyl-tRNA aminoacylation	BP
GO:0006429	leucyl-tRNA aminoacylation	BP
GO:0006430	lysyl-tRNA aminoacylation	BP
GO:0006431	methionyl-tRNA aminoacylation	BP
GO:0006432	phenylalanyl-tRNA aminoacylation	BP
GO:0006433	prolyl-tRNA aminoacylation	BP
GO:0006434	seryl-tRNA aminoacylation	BP
GO:0006435	threonyl-tRNA aminoacylation	BP
GO:0006436	tryptophanyl-tRNA aminoacylation	BP
GO:0006437	tyrosyl-tRNA aminoacylation	BP
GO:0006438	valyl-tRNA aminoacylation	BP
GO:0006446	regulation of translational initiation	BP
GO:0006448	regulation of translational elongation	BP
GO:0006449	regulation of translational termination	BP
GO:0006450	regulation of translational fidelity	BP
GO:0006451	translational readthrough	BP
GO:0006452	translational frameshifting	BP
GO:0006457	protein folding	BP
GO:0006458	'de novo' protein folding	BP
GO:0006461		
GO:0006464		
GO:0006465	obsolete signal peptide processing	BP
GO:0006468	protein phosphorylation	BP
GO:0006469	negative regulation of protein kinase activity	BP
GO:0006470	protein dephosphorylation	BP
GO:0006471	obsolete protein ADP-ribosylation	BP
GO:0006473	protein acetylation	BP
GO:0006474	N-terminal protein amino acid acetylation	BP
GO:0006479	protein methylation	BP
GO:0006480	N-terminal protein amino acid methylation	BP
GO:0006481	C-terminal protein methylation	BP
GO:0006482	protein demethylation	BP
GO:0006486	obsolete protein glycosylation	BP
GO:0006487	protein N-linked glycosylation	BP
GO:0006488	dolichol-linked oligosaccharide biosynthetic process	BP
GO:0006490	obsolete oligosaccharide-lipid intermediate biosynthetic process	BP
GO:0006491	N-glycan processing	BP
GO:0006493	protein O-linked glycosylation	BP
GO:0006499	N-terminal protein myristoylation	BP
GO:0006501	C-terminal protein lipidation	BP
GO:0006506	GPI anchor biosynthetic process	BP
GO:0006508	proteolysis	BP
GO:0006511	ubiquitin-dependent protein catabolic process	BP
GO:0006513	protein monoubiquitination	BP
GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	BP
GO:0006517	protein deglycosylation	BP
GO:0006520	amino acid metabolic process	BP
GO:0006521	regulation of amino acid metabolic process	BP
GO:0006525	arginine metabolic process	BP
GO:0006526	L-arginine biosynthetic process	BP
GO:0006527	L-arginine catabolic process	BP
GO:0006528	obsolete asparagine metabolic process	BP
GO:0006529	obsolete asparagine biosynthetic process	BP
GO:0006531	aspartate metabolic process	BP
GO:0006532	L-aspartate biosynthetic process	BP
GO:0006535	obsolete L-cysteine biosynthetic process from L-serine	BP
GO:0006537	obsolete glutamate biosynthetic process	BP
GO:0006538	L-glutamate catabolic process	BP
GO:0006541	L-glutamine metabolic process	BP
GO:0006542	obsolete glutamine biosynthetic process	BP
GO:0006544	glycine metabolic process	BP
GO:0006545	glycine biosynthetic process	BP
GO:0006546	glycine catabolic process	BP
GO:0006550	L-isoleucine catabolic process	BP
GO:0006552	L-leucine catabolic process	BP
GO:0006555	L-methionine metabolic process	BP
GO:0006556	S-adenosylmethionine biosynthetic process	BP
GO:0006559	L-phenylalanine catabolic process	BP
GO:0006561	obsolete proline biosynthetic process	BP
GO:0006562	L-proline catabolic process	BP
GO:0006563	L-serine metabolic process	BP
GO:0006564	L-serine biosynthetic process	BP
GO:0006565	L-serine catabolic process	BP
GO:0006567	L-threonine catabolic process	BP
GO:0006568	obsolete L-tryptophan metabolic process	BP
GO:0006569	L-tryptophan catabolic process	BP
GO:0006570	obsolete tyrosine metabolic process	BP
GO:0006571	L-tyrosine biosynthetic process	BP
GO:0006574	L-valine catabolic process	BP
GO:0006591	ornithine metabolic process	BP
GO:0006592	L-ornithine biosynthetic process	BP
GO:0006595	polyamine metabolic process	BP
GO:0006597	spermine biosynthetic process	BP
GO:0006598	polyamine catabolic process	BP
GO:0006606	protein import into nucleus	BP
GO:0006607	NLS-bearing protein import into nucleus	BP
GO:0006609	obsolete mRNA-binding (hnRNP) protein import into nucleus	BP
GO:0006610	ribosomal protein import into nucleus	BP
GO:0006611	protein export from nucleus	BP
GO:0006612	protein targeting to membrane	BP
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	BP
GO:0006616	SRP-dependent cotranslational protein targeting to membrane, translocation	BP
GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	BP
GO:0006620	post-translational protein targeting to endoplasmic reticulum membrane	BP
GO:0006621	protein retention in ER lumen	BP
GO:0006623	protein targeting to vacuole	BP
GO:0006624	vacuolar protein processing	BP
GO:0006626	obsolete protein targeting to mitochondrion	BP
GO:0006627	obsolete protein processing involved in protein targeting to mitochondrion	BP
GO:0006629	lipid metabolic process	BP
GO:0006631	fatty acid metabolic process	BP
GO:0006633	fatty acid biosynthetic process	BP
GO:0006635	fatty acid beta-oxidation	BP
GO:0006636	unsaturated fatty acid biosynthetic process	BP
GO:0006637	acyl-CoA metabolic process	BP
GO:0006641	triglyceride metabolic process	BP
GO:0006644	phospholipid metabolic process	BP
GO:0006646	phosphatidylethanolamine biosynthetic process	BP
GO:0006650	glycerophospholipid metabolic process	BP
GO:0006654	phosphatidic acid biosynthetic process	BP
GO:0006656	phosphatidylcholine biosynthetic process	BP
GO:0006657	CDP-choline pathway	BP
GO:0006658	phosphatidylserine metabolic process	BP
GO:0006659	phosphatidylserine biosynthetic process	BP
GO:0006661	phosphatidylinositol biosynthetic process	BP
GO:0006662	obsolete glycerol ether metabolic process	BP
GO:0006665	sphingolipid metabolic process	BP
GO:0006666	3-keto-sphinganine metabolic process	BP
GO:0006672	ceramide metabolic process	BP
GO:0006673	inositol phosphoceramide metabolic process	BP
GO:0006675	mannosyl-inositol phosphorylceramide metabolic process	BP
GO:0006685	sphingomyelin catabolic process	BP
GO:0006694	steroid biosynthetic process	BP
GO:0006695	cholesterol biosynthetic process	BP
GO:0006696	ergosterol biosynthetic process	BP
GO:0006725	obsolete cellular aromatic compound metabolic process	BP
GO:0006729	tetrahydrobiopterin biosynthetic process	BP
GO:0006730	one-carbon metabolic process	BP
GO:0006734	obsolete NADH metabolic process	BP
GO:0006740	NADPH regeneration	BP
GO:0006741	NADP+ biosynthetic process	BP
GO:0006744	ubiquinone biosynthetic process	BP
GO:0006747	FAD biosynthetic process	BP
GO:0006749	glutathione metabolic process	BP
GO:0006750	glutathione biosynthetic process	BP
GO:0006751	glutathione catabolic process	BP
GO:0006754	ATP biosynthetic process	BP
GO:0006760	folic acid-containing compound metabolic process	BP
GO:0006769	nicotinamide metabolic process	BP
GO:0006772	thiamine metabolic process	BP
GO:0006777	Mo-molybdopterin cofactor biosynthetic process	BP
GO:0006779	porphyrin-containing compound biosynthetic process	BP
GO:0006782	obsolete protoporphyrinogen IX biosynthetic process	BP
GO:0006783	heme biosynthetic process	BP
GO:0006784	heme A biosynthetic process	BP
GO:0006788	heme oxidation	BP
GO:0006790	sulfur compound metabolic process	BP
GO:0006796	phosphate-containing compound metabolic process	BP
GO:0006797	polyphosphate metabolic process	BP
GO:0006798	polyphosphate catabolic process	BP
GO:0006801	superoxide metabolic process	BP
GO:0006807	obsolete nitrogen compound metabolic process	BP
GO:0006808	regulation of nitrogen utilization	BP
GO:0006809	nitric oxide biosynthetic process	BP
GO:0006810	transport	BP
GO:0006811	monoatomic ion transport	BP
GO:0006812	monoatomic cation transport	BP
GO:0006813	potassium ion transport	BP
GO:0006814	sodium ion transport	BP
GO:0006817	phosphate ion transport	BP
GO:0006818		
GO:0006820	monoatomic anion transport	BP
GO:0006821	chloride transport	BP
GO:0006825	copper ion transport	BP
GO:0006826	iron ion transport	BP
GO:0006827		
GO:0006828	manganese ion transport	BP
GO:0006831		
GO:0006835	dicarboxylic acid transport	BP
GO:0006836	neurotransmitter transport	BP
GO:0006839	mitochondrial transport	BP
GO:0006843	mitochondrial citrate transmembrane transport	BP
GO:0006846	acetate transport	BP
GO:0006849	plasma membrane pyruvate transport	BP
GO:0006850	pyruvate import into mitochondria	BP
GO:0006855	xenobiotic transmembrane transport	BP
GO:0006857	oligopeptide transport	BP
GO:0006864	pyrimidine nucleotide transport	BP
GO:0006868	L-glutamine transport	BP
GO:0006869	lipid transport	BP
GO:0006873	intracellular monoatomic ion homeostasis	BP
GO:0006874	intracellular calcium ion homeostasis	BP
GO:0006875	obsolete intracellular metal ion homeostasis	BP
GO:0006878	intracellular copper ion homeostasis	BP
GO:0006879	intracellular iron ion homeostasis	BP
GO:0006880	obsolete intracellular sequestering of iron ion	BP
GO:0006882	intracellular zinc ion homeostasis	BP
GO:0006884	cell volume homeostasis	BP
GO:0006886	intracellular protein transport	BP
GO:0006887	exocytosis	BP
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	BP
GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	BP
GO:0006891	intra-Golgi vesicle-mediated transport	BP
GO:0006892	post-Golgi vesicle-mediated transport	BP
GO:0006893	Golgi to plasma membrane transport	BP
GO:0006895	Golgi to endosome transport	BP
GO:0006896	Golgi to vacuole transport	BP
GO:0006897	endocytosis	BP
GO:0006898	receptor-mediated endocytosis	BP
GO:0006903	obsolete vesicle targeting	BP
GO:0006904	obsolete vesicle docking involved in exocytosis	BP
GO:0006906	vesicle fusion	BP
GO:0006913	nucleocytoplasmic transport	BP
GO:0006914	autophagy	BP
GO:0006915	apoptotic process	BP
GO:0006950	response to stress	BP
GO:0006952	defense response	BP
GO:0006970	response to osmotic stress	BP
GO:0006972	hyperosmotic response	BP
GO:0006974	DNA damage response	BP
GO:0006975		
GO:0006979	response to oxidative stress	BP
GO:0006986	response to unfolded protein	BP
GO:0006990	obsolete positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response	BP
GO:0006995	cellular response to nitrogen starvation	BP
GO:0006997	nucleus organization	BP
GO:0006998	nuclear envelope organization	BP
GO:0006999	nuclear pore organization	BP
GO:0007004	telomere maintenance via telomerase	BP
GO:0007005	mitochondrion organization	BP
GO:0007006	mitochondrial membrane organization	BP
GO:0007007	inner mitochondrial membrane organization	BP
GO:0007009	plasma membrane organization	BP
GO:0007010	cytoskeleton organization	BP
GO:0007015	actin filament organization	BP
GO:0007017	microtubule-based process	BP
GO:0007018	microtubule-based movement	BP
GO:0007019	microtubule depolymerization	BP
GO:0007020	microtubule nucleation	BP
GO:0007021	tubulin complex assembly	BP
GO:0007023	post-chaperonin tubulin folding pathway	BP
GO:0007026	negative regulation of microtubule depolymerization	BP
GO:0007029	endoplasmic reticulum organization	BP
GO:0007030	Golgi organization	BP
GO:0007031	peroxisome organization	BP
GO:0007033	vacuole organization	BP
GO:0007034	vacuolar transport	BP
GO:0007035	vacuolar acidification	BP
GO:0007039	protein catabolic process in the vacuole	BP
GO:0007040	lysosome organization	BP
GO:0007049	cell cycle	BP
GO:0007050		
GO:0007052	mitotic spindle organization	BP
GO:0007059	chromosome segregation	BP
GO:0007062	sister chromatid cohesion	BP
GO:0007064	mitotic sister chromatid cohesion	BP
GO:0007067		
GO:0007070	obsolete negative regulation of transcription from RNA polymerase II promoter during mitotic cell cycle	BP
GO:0007076	mitotic chromosome condensation	BP
GO:0007088	regulation of mitotic nuclear division	BP
GO:0007089	traversing start control point of mitotic cell cycle	BP
GO:0007091	metaphase/anaphase transition of mitotic cell cycle	BP
GO:0007093	mitotic cell cycle checkpoint signaling	BP
GO:0007094	mitotic spindle assembly checkpoint signaling	BP
GO:0007095	mitotic G2 DNA damage checkpoint signaling	BP
GO:0007096	regulation of exit from mitosis	BP
GO:0007097	nuclear migration	BP
GO:0007107	membrane addition at site of cytokinesis	BP
GO:0007114	cell budding	BP
GO:0007116	regulation of cell budding	BP
GO:0007117	budding cell bud growth	BP
GO:0007118	budding cell apical bud growth	BP
GO:0007119	budding cell isotropic bud growth	BP
GO:0007120	axial cellular bud site selection	BP
GO:0007121	bipolar cellular bud site selection	BP
GO:0007124	pseudohyphal growth	BP
GO:0007126		
GO:0007129	homologous chromosome pairing at meiosis	BP
GO:0007130	synaptonemal complex assembly	BP
GO:0007131	reciprocal meiotic recombination	BP
GO:0007155	cell adhesion	BP
GO:0007163	establishment or maintenance of cell polarity	BP
GO:0007165	signal transduction	BP
GO:0007166	cell surface receptor signaling pathway	BP
GO:0007186	G protein-coupled receptor signaling pathway	BP
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	BP
GO:0007190	activation of adenylate cyclase activity	BP
GO:0007229	integrin-mediated signaling pathway	BP
GO:0007231	osmosensory signaling pathway	BP
GO:0007232	osmosensory signaling pathway via Sho1 osmosensor	BP
GO:0007234	osmosensory signaling via phosphorelay pathway	BP
GO:0007264	small GTPase-mediated signal transduction	BP
GO:0007265	Ras protein signal transduction	BP
GO:0007266	Rho protein signal transduction	BP
GO:0007323	peptide pheromone maturation	BP
GO:0007329	obsolete positive regulation of transcription from RNA polymerase II promoter by pheromones	BP
GO:0007346	regulation of mitotic cell cycle	BP
GO:0007533	mating type switching	BP
GO:0007534	gene conversion at mating-type locus	BP
GO:0007535	donor selection	BP
GO:0007584	response to nutrient	BP
GO:0007623	circadian rhythm	BP
GO:0007624	ultradian rhythm	BP
GO:0008017	microtubule binding	MF
GO:0008022	obsolete protein C-terminus binding	MF
GO:0008023	transcription elongation factor complex	CC
GO:0008026		
GO:0008033	tRNA processing	BP
GO:0008047	enzyme activator activity	MF
GO:0008053	mitochondrial fusion	BP
GO:0008061	chitin binding	MF
GO:0008073	ornithine decarboxylase inhibitor activity	MF
GO:0008080	N-acetyltransferase activity	MF
GO:0008081	phosphoric diester hydrolase activity	MF
GO:0008092	cytoskeletal protein binding	MF
GO:0008094	ATP-dependent activity, acting on DNA	MF
GO:0008097	5S rRNA binding	MF
GO:0008104	intracellular protein localization	BP
GO:0008105		
GO:0008106	alcohol dehydrogenase (NADP+) activity	MF
GO:0008108	UDP-glucose:hexose-1-phosphate uridylyltransferase activity	MF
GO:0008113	peptide-methionine (S)-S-oxide reductase activity	MF
GO:0008117	sphinganine-1-phosphate aldolase activity	MF
GO:0008120	ceramide glucosyltransferase activity	MF
GO:0008121	quinol-cytochrome-c reductase activity	MF
GO:0008124	4-alpha-hydroxytetrahydrobiopterin dehydratase activity	MF
GO:0008131	primary methylamine oxidase activity	MF
GO:0008134	transcription factor binding	MF
GO:0008137	NADH dehydrogenase (ubiquinone) activity	MF
GO:0008138	protein tyrosine/serine/threonine phosphatase activity	MF
GO:0008139	obsolete nuclear localization sequence binding	MF
GO:0008143	poly(A) binding	MF
GO:0008144	obsolete drug binding	MF
GO:0008146	sulfotransferase activity	MF
GO:0008152	metabolic process	BP
GO:0008153	4-aminobenzoate biosynthetic process	BP
GO:0008168	methyltransferase activity	MF
GO:0008171	O-methyltransferase activity	MF
GO:0008173	RNA methyltransferase activity	MF
GO:0008175	tRNA methyltransferase activity	MF
GO:0008176	tRNA (guanine(46)-N7)-methyltransferase activity	MF
GO:0008177	succinate dehydrogenase (quinone) activity	MF
GO:0008180	COP9 signalosome	CC
GO:0008184	glycogen phosphorylase activity	MF
GO:0008186	ATP-dependent activity, acting on RNA	MF
GO:0008193	tRNA guanylyltransferase activity	MF
GO:0008195	phosphatidate phosphatase activity	MF
GO:0008198	ferrous iron binding	MF
GO:0008199	ferric iron binding	MF
GO:0008202	steroid metabolic process	BP
GO:0008203	cholesterol metabolic process	BP
GO:0008233	peptidase activity	MF
GO:0008234	cysteine-type peptidase activity	MF
GO:0008236	serine-type peptidase activity	MF
GO:0008237	metallopeptidase activity	MF
GO:0008239	dipeptidyl-peptidase activity	MF
GO:0008242	omega peptidase activity	MF
GO:0008250	oligosaccharyltransferase complex	CC
GO:0008251	tRNA-specific adenosine deaminase activity	MF
GO:0008260	succinyl-CoA:3-oxo-acid CoA-transferase activity	MF
GO:0008265	molybdenum cofactor sulfurtransferase activity	MF
GO:0008266	poly(U) RNA binding	MF
GO:0008270	zinc ion binding	MF
GO:0008271	secondary active sulfate transmembrane transporter activity	MF
GO:0008274		
GO:0008276	protein methyltransferase activity	MF
GO:0008289	lipid binding	MF
GO:0008290	F-actin capping protein complex	CC
GO:0008295	spermidine biosynthetic process	BP
GO:0008296	3'-5'-DNA exonuclease activity	MF
GO:0008298	intracellular mRNA localization	BP
GO:0008299	isoprenoid biosynthetic process	BP
GO:0008301	DNA binding, bending	MF
GO:0008308	voltage-gated monoatomic anion channel activity	MF
GO:0008310	single-stranded DNA 3'-5' DNA exonuclease activity	MF
GO:0008311	double-stranded DNA 3'-5' DNA exonuclease activity	MF
GO:0008312	7S RNA binding	MF
GO:0008320	transmembrane protein transporter activity	MF
GO:0008324	monoatomic cation transmembrane transporter activity	MF
GO:0008349	MAP kinase kinase kinase kinase activity	MF
GO:0008353	RNA polymerase II CTD heptapeptide repeat kinase activity	MF
GO:0008360	regulation of cell shape	BP
GO:0008361	regulation of cell size	BP
GO:0008374	obsolete O-acyltransferase activity	MF
GO:0008375	acetylglucosaminyltransferase activity	MF
GO:0008379	thioredoxin peroxidase activity	MF
GO:0008380	RNA splicing	BP
GO:0008408	3'-5' exonuclease activity	MF
GO:0008409	5'-3' exonuclease activity	MF
GO:0008410	CoA-transferase activity	MF
GO:0008412	4-hydroxybenzoate polyprenyltransferase activity	MF
GO:0008413	8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity	MF
GO:0008418	protein-N-terminal asparagine amidohydrolase activity	MF
GO:0008419	RNA lariat debranching enzyme activity	MF
GO:0008420	RNA polymerase II CTD heptapeptide repeat phosphatase activity	MF
GO:0008422	beta-glucosidase activity	MF
GO:0008425	2-methoxy-6-polyprenyl-1,4-benzoquinol methyltransferase activity	MF
GO:0008428	ribonuclease inhibitor activity	MF
GO:0008440	inositol-1,4,5-trisphosphate 3-kinase activity	MF
GO:0008441	3'(2'),5'-bisphosphate nucleotidase activity	MF
GO:0008442	3-hydroxyisobutyrate dehydrogenase activity	MF
GO:0008444	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity	MF
GO:0008448	N-acetylglucosamine-6-phosphate deacetylase activity	MF
GO:0008453	L-alanine:glyoxylate transaminase activity	MF
GO:0008460	dTDP-glucose 4,6-dehydratase activity	MF
GO:0008474	palmitoyl-(protein) hydrolase activity	MF
GO:0008478	pyridoxal kinase activity	MF
GO:0008479	tRNA-guanosine(34) queuine transglycosylase activity	MF
GO:0008483	transaminase activity	MF
GO:0008484	sulfuric ester hydrolase activity	MF
GO:0008486	diphosphoinositol-polyphosphate diphosphatase activity	MF
GO:0008495	protoheme IX farnesyltransferase activity	MF
GO:0008496	mannan endo-1,6-alpha-mannosidase activity	MF
GO:0008519	ammonium channel activity	MF
GO:0008521	acetyl-CoA transmembrane transporter activity	MF
GO:0008525	phosphatidylcholine intramembrane carrier activity	MF
GO:0008526	phosphatidylinositol transfer activity	MF
GO:0008531	riboflavin kinase activity	MF
GO:0008534	oxidized purine nucleobase lesion DNA N-glycosylase activity	MF
GO:0008535	respiratory chain complex IV assembly	BP
GO:0008536		
GO:0008540	proteasome regulatory particle, base subcomplex	CC
GO:0008541	proteasome regulatory particle, lid subcomplex	CC
GO:0008551	P-type cadmium transporter activity	MF
GO:0008553	P-type proton-exporting transporter activity	MF
GO:0008559	ABC-type xenobiotic transporter activity	MF
GO:0008565	obsolete protein transporter activity	MF
GO:0008569	minus-end-directed microtubule motor activity	MF
GO:0008574	plus-end-directed microtubule motor activity	MF
GO:0008597	calcium-dependent protein serine/threonine phosphatase regulator activity	MF
GO:0008603	cAMP-dependent protein kinase regulator activity	MF
GO:0008608	attachment of spindle microtubules to kinetochore	BP
GO:0008610	lipid biosynthetic process	BP
GO:0008612	peptidyl-hypusine biosynthetic process	BP
GO:0008615	pyridoxine biosynthetic process	BP
GO:0008616	tRNA queuosine(34) biosynthetic process	BP
GO:0008622	epsilon DNA polymerase complex	CC
GO:0008623	CHRAC	CC
GO:0008641	ubiquitin-like modifier activating enzyme activity	MF
GO:0008643	carbohydrate transport	BP
GO:0008649	rRNA methyltransferase activity	MF
GO:0008650	rRNA (uridine-2'-O-ribose)-methyltransferase activity	MF
GO:0008652	amino acid biosynthetic process	BP
GO:0008654	phospholipid biosynthetic process	BP
GO:0008655	pyrimidine-containing compound salvage	BP
GO:0008660	1-aminocyclopropane-1-carboxylate deaminase activity	MF
GO:0008677	2-dehydropantoate 2-reductase activity	MF
GO:0008682	3-demethoxyubiquinol 3-hydroxylase activity	MF
GO:0008686	3,4-dihydroxy-2-butanone-4-phosphate synthase activity	MF
GO:0008696	4-amino-4-deoxychorismate lyase activity	MF
GO:0008703	5-amino-6-(5-phosphoribosylamino)uracil reductase activity	MF
GO:0008732	L-allo-threonine aldolase activity	MF
GO:0008750	proton-translocating NAD(P)+ transhydrogenase activity	MF
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	MF
GO:0008775	acetate CoA-transferase activity	MF
GO:0008776	acetate kinase activity	MF
GO:0008793	aromatic-amino-acid:2-oxoglutarate transaminase activity	MF
GO:0008808	cardiolipin synthase activity	MF
GO:0008810	cellulase activity	MF
GO:0008812	choline dehydrogenase activity	MF
GO:0008821	crossover junction DNA endonuclease activity	MF
GO:0008824	cyanate hydratase activity	MF
GO:0008828	dATP diphosphatase activity	MF
GO:0008843	endochitinase activity	MF
GO:0008859	exoribonuclease II activity	MF
GO:0008863	formate dehydrogenase (NAD+) activity	MF
GO:0008864	formyltetrahydrofolate deformylase activity	MF
GO:0008887	glycerate kinase activity	MF
GO:0008889	glycerophosphodiester phosphodiesterase activity	MF
GO:0008892	guanine deaminase activity	MF
GO:0008897	holo-[acyl-carrier-protein] synthase activity	MF
GO:0008926	mannitol-1-phosphate 5-dehydrogenase activity	MF
GO:0008936	nicotinamidase activity	MF
GO:0008942	nitrite reductase [NAD(P)H] activity	MF
GO:0008962	phosphatidylglycerophosphatase activity	MF
GO:0008963	phospho-N-acetylmuramoyl-pentapeptide-transferase activity	MF
GO:0008972	phosphomethylpyrimidine kinase activity	MF
GO:0008976	polyphosphate kinase activity	MF
GO:0008977	prephenate dehydrogenase (NAD+) activity	MF
GO:0008986	pyruvate, water dikinase activity	MF
GO:0008989	rRNA (guanine-N1-)-methyltransferase activity	MF
GO:0008998	ribonucleoside-triphosphate reductase (thioredoxin) activity	MF
GO:0009013	succinate-semialdehyde dehydrogenase [NAD(P)+] activity	MF
GO:0009039	urease activity	MF
GO:0009041	obsolete UMP/dUMP kinase activity	MF
GO:0009051	pentose-phosphate shunt, oxidative branch	BP
GO:0009052	pentose-phosphate shunt, non-oxidative branch	BP
GO:0009055	electron transfer activity	MF
GO:0009058	biosynthetic process	BP
GO:0009060	aerobic respiration	BP
GO:0009063	amino acid catabolic process	BP
GO:0009072	aromatic amino acid metabolic process	BP
GO:0009073	aromatic amino acid biosynthetic process	BP
GO:0009074	aromatic amino acid catabolic process	BP
GO:0009081	branched-chain amino acid metabolic process	BP
GO:0009082	branched-chain amino acid biosynthetic process	BP
GO:0009085	L-lysine biosynthetic process	BP
GO:0009086	obsolete methionine biosynthetic process	BP
GO:0009088	L-threonine biosynthetic process	BP
GO:0009089	obsolete L-lysine biosynthetic process via diaminopimelate	BP
GO:0009090	L-homoserine biosynthetic process	BP
GO:0009092	L-homoserine metabolic process	BP
GO:0009094	L-phenylalanine biosynthetic process	BP
GO:0009097	obsolete isoleucine biosynthetic process	BP
GO:0009098	L-leucine biosynthetic process	BP
GO:0009099	L-valine biosynthetic process	BP
GO:0009102	biotin biosynthetic process	BP
GO:0009107	lipoate biosynthetic process	BP
GO:0009113	purine nucleobase biosynthetic process	BP
GO:0009116	nucleoside metabolic process	BP
GO:0009117	nucleotide metabolic process	BP
GO:0009150	purine ribonucleotide metabolic process	BP
GO:0009156	ribonucleoside monophosphate biosynthetic process	BP
GO:0009159	deoxyribonucleoside monophosphate catabolic process	BP
GO:0009165	nucleotide biosynthetic process	BP
GO:0009166	nucleotide catabolic process	BP
GO:0009168	purine ribonucleoside monophosphate biosynthetic process	BP
GO:0009186	obsolete deoxyribonucleoside diphosphate metabolic process	BP
GO:0009190	cyclic nucleotide biosynthetic process	BP
GO:0009213	pyrimidine deoxyribonucleoside triphosphate catabolic process	BP
GO:0009217	purine deoxyribonucleoside triphosphate catabolic process	BP
GO:0009225	nucleotide-sugar metabolic process	BP
GO:0009228	thiamine biosynthetic process	BP
GO:0009229	thiamine diphosphate biosynthetic process	BP
GO:0009231	riboflavin biosynthetic process	BP
GO:0009249	protein lipoylation	BP
GO:0009267	cellular response to starvation	BP
GO:0009268	response to pH	BP
GO:0009272	fungal-type cell wall biogenesis	BP
