"gene_id","FGSG_id","product","AveExpr","log2FoldChange","t","pvalue","padj","significant","direction"
"FGSG_01379","FGSG_01379","uncharacterized protein",8.63044934445386,8.48997501030681,76.4516916697985,1.15398878456864e-20,1.17614536923236e-16,TRUE,"up_in_dark_light"
"FGSG_06480","FGSG_06480","uncharacterized protein",8.98627518840454,-5.72810654074224,-58.0277000693387,6.78697863008519e-19,3.45864430989141e-15,TRUE,"up_in_black_light"
"FGSG_04972","FGSG_04972","uncharacterized protein",5.68018042683821,6.67276171420158,47.1681346429109,1.44132386850979e-17,4.12001770211864e-14,TRUE,"up_in_dark_light"
"FGSG_07530","FGSG_07530","alcohol oxidase",4.74057937521939,7.40789929091441,46.6746578330755,1.68283496753191e-17,4.12001770211864e-14,TRUE,"up_in_dark_light"
"FGSG_00260","FGSG_00260","uncharacterized protein",12.3396993097409,-4.68009669840455,-46.097626375116,2.02120177694203e-17,4.12001770211864e-14,TRUE,"up_in_black_light"
"FGSG_05348","FGSG_05348","uncharacterized protein",6.48057385210804,4.57718317744913,44.4996766843607,3.39776720168225e-17,4.39887195604558e-14,TRUE,"up_in_dark_light"
"FGSG_06482","FGSG_06482","uncharacterized protein",4.37985268685404,-7.23988787787584,-44.1852521308776,3.77155705443068e-17,4.39887195604558e-14,TRUE,"up_in_black_light"
"FGSG_11900","FGSG_11900","uncharacterized protein",7.67081118964956,4.74681314104582,43.8723456455327,4.18741194693453e-17,4.39887195604558e-14,TRUE,"up_in_dark_light"
"FGSG_02267","FGSG_02267","uncharacterized protein",6.57267386758272,4.11291783665226,43.7993672100119,4.29127132015869e-17,4.39887195604558e-14,TRUE,"up_in_dark_light"
"FGSG_12214","FGSG_12214","uncharacterized protein",7.71198747765107,4.4838834680946,43.7822657197951,4.31600466644974e-17,4.39887195604558e-14,TRUE,"up_in_dark_light"
"FGSG_13952","FGSG_13952","uncharacterized protein",6.02322093099105,4.74898697168674,42.4560229330302,6.78625541233011e-17,6.28777410567896e-14,TRUE,"up_in_dark_light"
