candidate,n_goi_partners,max_TOM,sum_TOM,goi_partners,module,product,GO,gba_weight,n_deg_goi_partners,own_l2fc,own_padj,own_sig,score
FGSG_11285,22,0.46883003902711956,9.529365687335112,FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02840;FGSG_02903;FGSG_03599;FGSG_03600;FGSG_03842;FGSG_05919;FGSG_08082;FGSG_08083;FGSG_08795;FGSG_09187;FGSG_10670;FGSG_11184;FGSG_11326;FGSG_13952,2,uncharacterized protein,GO:0016021,8.261013412866816,19,2.23154059404156,1.01555171144633e-80,1,0.8987256874580819
FGSG_09039,26,0.47279536987420784,11.114457305117961,FGSG_00043;FGSG_00044;FGSG_00048;FGSG_00330;FGSG_01422;FGSG_01947;FGSG_02272;FGSG_03061;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04589;FGSG_04591;FGSG_05610;FGSG_05926;FGSG_08601;FGSG_08712;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09834;FGSG_10347;FGSG_11658,1,N amino acid transport system protein,GO:0016021,10.294963148053906,24,-1.62592138980945,1.2772728427793001e-45,1,0.8982562038900068
FGSG_04971,34,0.46347269809298797,14.99206110273155,FGSG_00007;FGSG_01866;FGSG_02255;FGSG_02320;FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02840;FGSG_02903;FGSG_03532;FGSG_03539;FGSG_03541;FGSG_03543;FGSG_03600;FGSG_03842;FGSG_03881;FGSG_07896;FGSG_08081;FGSG_08082;FGSG_08083;FGSG_08084;FGSG_08795;FGSG_09064;FGSG_09187;FGSG_10670;FGSG_11184;FGSG_11326;FGSG_12211;FGSG_13952,2,uncharacterized protein,,7.949378871153384,18,2.3471642494607,8.75945597587799e-42,1,0.8978537894030851
FGSG_02314,25,0.45663835243149686,10.690288885122193,FGSG_01866;FGSG_02077;FGSG_02255;FGSG_02320;FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02840;FGSG_02903;FGSG_03574;FGSG_03842;FGSG_03881;FGSG_05919;FGSG_08083;FGSG_08795;FGSG_09187;FGSG_10670;FGSG_11326;FGSG_12211;FGSG_13952,2,uncharacterized protein,GO:0000272;GO:0004185;GO:0005576;GO:0006508;GO:0052761,7.308589027986876,17,3.44858082529038,1.91360097126303e-64,1,0.8977867203219316
FGSG_03283,22,0.486134310850105,9.584670287901217,FGSG_00330;FGSG_00743;FGSG_01422;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_03061;FGSG_03546;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04590;FGSG_05610;FGSG_07075;FGSG_07528;FGSG_08712;FGSG_09012;FGSG_09456;FGSG_09834;FGSG_10347;FGSG_13136,1,uncharacterized protein,GO:0016020,8.263184405770119,19,-2.19422329140678,1.57112224153304e-18,1,0.897719651240778
FGSG_08760,30,0.49521922757462367,13.083553088417473,FGSG_00175;FGSG_00330;FGSG_00743;FGSG_01422;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02782;FGSG_03061;FGSG_03295;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04590;FGSG_05610;FGSG_05843;FGSG_06055;FGSG_06257;FGSG_07075;FGSG_07528;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09834;FGSG_10347;FGSG_13136,1,cytochrome c oxidase assembly protein COX15,GO:0005739;GO:0006784;GO:0016021;GO:0016627;GO:0055114,9.632714596382137,22,-1.65743646747002,2.7805960780312298e-56,1,0.896914822266935
FGSG_05128,24,0.4874127302525338,10.726183646536565,FGSG_00330;FGSG_00743;FGSG_01422;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_03061;FGSG_03295;FGSG_03546;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04590;FGSG_05610;FGSG_07075;FGSG_07528;FGSG_08601;FGSG_08712;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09834;FGSG_10347,1,uncharacterized protein,GO:0008152;GO:0016829,8.9817349373497,20,-1.75205075234544,2.77137273211699e-30,1,0.8968477531857812
FGSG_07720,18,0.47215385484816585,7.748222868603832,FGSG_00330;FGSG_00743;FGSG_01422;FGSG_02272;FGSG_03061;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04589;FGSG_04591;FGSG_05610;FGSG_08601;FGSG_08712;FGSG_09834;FGSG_10347,1,uncharacterized protein,GO:0005215;GO:0016021;GO:0055085,6.916596781609877,16,-4.20833344903238,2.24551409527709e-17,1,0.8961099932930918
FGSG_04182,52,0.4924231672463764,24.035230232477666,FGSG_00043;FGSG_00330;FGSG_00743;FGSG_01346;FGSG_01422;FGSG_01947;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02554;FGSG_03061;FGSG_03295;FGSG_03340;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04490;FGSG_04588;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_04595;FGSG_04596;FGSG_04763;FGSG_05368;FGSG_05610;FGSG_05843;FGSG_05926;FGSG_06055;FGSG_06257;FGSG_06702;FGSG_07075;FGSG_07528;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10947;FGSG_12180;FGSG_12223;FGSG_13136,1,uncharacterized protein,GO:0003333;GO:0015171;GO:0016021,19.080894277091993,41,-1.13559015933635,1.34543078679561e-37,1,0.8960429242119383
FGSG_02274,20,0.4557301690062512,8.712035300745175,FGSG_00330;FGSG_00743;FGSG_01422;FGSG_02272;FGSG_02461;FGSG_03061;FGSG_03546;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04589;FGSG_04590;FGSG_05610;FGSG_08601;FGSG_08712;FGSG_09012;FGSG_09456;FGSG_09834;FGSG_10347,1,uncharacterized protein,GO:0016021,7.429620695465734,17,-2.84310919334786,3.92175054778518e-05,1,0.8949027498323274
