candidate,n_goi_partners,max_TOM,sum_TOM,goi_partners,module,product,GO,gba_weight,n_deg_goi_partners,own_l2fc,own_padj,own_sig,score
FGSG_06268,18,0.4498830733866592,7.7010003591244205,FGSG_00330;FGSG_00743;FGSG_01422;FGSG_02272;FGSG_02461;FGSG_03061;FGSG_03546;FGSG_03548;FGSG_03894;FGSG_04458;FGSG_04589;FGSG_05610;FGSG_08601;FGSG_08774;FGSG_09012;FGSG_09456;FGSG_09834;FGSG_10347,1,cytochrome c oxidase polypeptide VIb,GO:0004129;GO:0005758;GO:1902600,4.76327749897076,11,-0.602141110472783,2.42499783090918e-08,0,0.63158953722334
FGSG_02516,6,0.44652598032720664,2.537041451306936,FGSG_00743;FGSG_03894;FGSG_04589;FGSG_05610;FGSG_10922;FGSG_12180,1,uncharacterized protein,GO:0003677;GO:0046983,1.7009288968741199,4,-1.39968450029203,2.51348731269847e-19,1,0.6315224681421865
FGSG_01003,5,0.4324614649251554,2.0872882777991824,FGSG_00743;FGSG_03894;FGSG_04589;FGSG_10922;FGSG_12180,1,uncharacterized protein,GO:0016021,1.676489208679711,4,-1.57583671996068,9.28385002595836e-08,1,0.6315224681421865
FGSG_08943,11,0.45445050956690186,4.76304963754833,FGSG_00330;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03992;FGSG_04458;FGSG_04591;FGSG_08601;FGSG_09280;FGSG_09834;FGSG_10347,1,2-deoxy-D-gluconate 3-dehydrogenase,GO:0016491;GO:0055114,4.76304963754833,11,-0.821554712390569,1.6729759045989798e-11,0,0.6313883299798793
FGSG_10108,19,0.47827702185639065,8.25164565538751,FGSG_00330;FGSG_00743;FGSG_01422;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_03061;FGSG_03546;FGSG_03548;FGSG_03894;FGSG_04458;FGSG_04590;FGSG_05610;FGSG_07075;FGSG_08712;FGSG_09012;FGSG_09456;FGSG_09834;FGSG_10347,1,uncharacterized protein,,4.7622871882712685,11,-0.672234038713731,7.2803305632885e-05,0,0.6311871227364185
FGSG_10281,13,0.45979362738325846,5.59846671251089,FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02903;FGSG_08083;FGSG_10670;FGSG_11326;FGSG_13952,2,uncharacterized protein,,4.762006307241015,11,0.426504128552635,2.29759471853211e-07,0,0.6309859154929577
FGSG_04581,14,0.46129260388857896,5.998503741294989,FGSG_01866;FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_03842;FGSG_08083;FGSG_08795;FGSG_11326;FGSG_13952,2,uncharacterized protein,GO:0000104;GO:0000981;GO:0003677;GO:0005634;GO:0006099;GO:0006351;GO:0006357;GO:0008270;GO:0009055;GO:0016020,4.761169851929206,11,0.484477787611162,1.57952503459834e-06,0,0.630784708249497
FGSG_13459,4,0.41872095806679355,1.6389190559454785,FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,uncharacterized protein,GO:0004497;GO:0005506;GO:0008168;GO:0016021;GO:0016705;GO:0020037;GO:0032259;GO:0055114,1.6389190559454785,4,2.02709226088823,1.0338384128854202e-09,1,0.6305835010060363
FGSG_02524,19,0.46626308644092807,8.227368297761664,FGSG_00330;FGSG_00743;FGSG_01422;FGSG_02272;FGSG_02461;FGSG_03061;FGSG_03546;FGSG_03548;FGSG_03894;FGSG_04458;FGSG_04590;FGSG_05610;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09456;FGSG_09834;FGSG_10347,1,uncharacterized protein,,4.757269889984736,11,-0.47971411135708,0.000797464898204,0,0.6305835010060362
FGSG_04937,19,0.48753462891854643,8.328370700844658,FGSG_00743;FGSG_01422;FGSG_02272;FGSG_02461;FGSG_03061;FGSG_03546;FGSG_03548;FGSG_03894;FGSG_04458;FGSG_04589;FGSG_04590;FGSG_05610;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09456;FGSG_09834;FGSG_10347,1,uncharacterized protein,,4.75685604392407,11,-0.446324239824244,0.0204504926908323,0,0.6303822937625755
