candidate,n_goi_partners,max_TOM,sum_TOM,goi_partners,module,product,GO,score_black,gba_black,own_l2fc_black,own_sig_black,score_dark,gba_dark,own_l2fc_dark,own_sig_dark,score_low,gba_low,own_l2fc_low,own_sig_low,score_combined,n_treatments_sig
FGSG_04971,34,0.46347269809298797,14.99206110273155,FGSG_00007;FGSG_01866;FGSG_02255;FGSG_02320;FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02840;FGSG_02903;FGSG_03532;FGSG_03539;FGSG_03541;FGSG_03543;FGSG_03600;FGSG_03842;FGSG_03881;FGSG_07896;FGSG_08081;FGSG_08082;FGSG_08083;FGSG_08084;FGSG_08795;FGSG_09064;FGSG_09187;FGSG_10670;FGSG_11184;FGSG_11326;FGSG_12211;FGSG_13952,2,uncharacterized protein,,0.9965124077800134,6.256057671425032,-2.89897160285817,1,0.923943661971831,7.989798087843094,2.05604581096387,1,0.8978537894030851,7.949378871153384,2.3471642494607,1,0.9394366197183098,3
FGSG_01379,32,0.46997141489397015,14.099096651353557,FGSG_00007;FGSG_01866;FGSG_02255;FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_03532;FGSG_03535;FGSG_03539;FGSG_03541;FGSG_03543;FGSG_03600;FGSG_03842;FGSG_03881;FGSG_07896;FGSG_08079;FGSG_08081;FGSG_08082;FGSG_08083;FGSG_08084;FGSG_08795;FGSG_09064;FGSG_09187;FGSG_10670;FGSG_11184;FGSG_11326;FGSG_13952,2,uncharacterized protein,GO:0008152;GO:0016021;GO:0016874,0.9985915492957746,6.227223254843296,-4.69133492664441,1,0.9333333333333333,6.994637512072042,3.61364929070813,1,0.8856472166331322,6.54242211436949,3.91408478299052,1,0.9391906997540801,3
FGSG_03821,31,0.4714143163815564,13.523574198715373,FGSG_00007;FGSG_01866;FGSG_02077;FGSG_02255;FGSG_02320;FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02840;FGSG_02903;FGSG_03539;FGSG_03541;FGSG_03599;FGSG_03600;FGSG_03842;FGSG_03881;FGSG_05919;FGSG_08081;FGSG_08082;FGSG_08083;FGSG_08795;FGSG_09187;FGSG_10670;FGSG_11184;FGSG_11326;FGSG_13952,2,uncharacterized protein,GO:0008168;GO:0032259,0.9621059691482227,4.942568519036982,-1.14235872219528,1,0.9320590207914151,8.887595623195008,2.03043886476585,1,0.9066398390342052,8.464581042989849,2.2683348513366,1,0.9336016096579476,3
FGSG_04696,22,0.4698362734611304,9.560183432442944,FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02840;FGSG_02903;FGSG_03599;FGSG_03600;FGSG_03842;FGSG_05919;FGSG_08082;FGSG_08083;FGSG_08795;FGSG_09187;FGSG_10670;FGSG_11184;FGSG_11326;FGSG_13952,2,uncharacterized protein,GO:0016021,0.940241448692153,4.040434035168782,-1.04961298851714,1,0.9424547283702213,8.706636280829768,2.73943525872327,1,0.9083165660630449,8.289320354597686,2.48654274265382,1,0.9303375810418064,3
FGSG_02314,25,0.45663835243149686,10.690288885122193,FGSG_01866;FGSG_02077;FGSG_02255;FGSG_02320;FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02840;FGSG_02903;FGSG_03574;FGSG_03842;FGSG_03881;FGSG_05919;FGSG_08083;FGSG_08795;FGSG_09187;FGSG_10670;FGSG_11326;FGSG_12211;FGSG_13952,2,uncharacterized protein,GO:0000272;GO:0004185;GO:0005576;GO:0006508;GO:0052761,0.9706237424547284,4.737192918886116,-1.65654386690398,1,0.9180415828303152,6.907850778539722,2.58202172408517,1,0.8977867203219316,7.308589027986876,3.44858082529038,1,0.9288173485356584,3
FGSG_04188,24,0.46997462189688743,10.291543181392587,FGSG_01866;FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02840;FGSG_02903;FGSG_03539;FGSG_03541;FGSG_03599;FGSG_03600;FGSG_03842;FGSG_08082;FGSG_08083;FGSG_08795;FGSG_09187;FGSG_10670;FGSG_11184;FGSG_11326;FGSG_13952,2,uncharacterized protein,GO:0016021;GO:0055085,0.9590207914151576,4.041864544243429,-1.58812212523302,1,0.9341381623071764,8.231785235150328,2.49600322119627,1,0.8906103286384977,7.80967646029203,2.30108087368038,1,0.9279230941202773,3
FGSG_14016,26,0.459189711841002,11.158017101625314,FGSG_00007;FGSG_01866;FGSG_02255;FGSG_02320;FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02840;FGSG_02903;FGSG_03574;FGSG_03600;FGSG_03842;FGSG_03881;FGSG_08082;FGSG_08083;FGSG_08795;FGSG_09187;FGSG_10670;FGSG_11326;FGSG_12211;FGSG_13952,2,uncharacterized protein,,0.9712944332662643,5.2186173831835285,-1.34785413083479,1,0.9123407109322603,7.379469951547784,1.88380693067832,1,0.8869885982562039,7.393022816437865,2.47644631869644,1,0.9235412474849095,3
FGSG_08695,49,0.5052055681242327,22.092276189086665,FGSG_00330;FGSG_00743;FGSG_00765;FGSG_01422;FGSG_01621;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02554;FGSG_02972;FGSG_03061;FGSG_03340;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03747;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04588;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_05368;FGSG_05610;FGSG_06055;FGSG_07075;FGSG_07528;FGSG_08493;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10444;FGSG_10922;FGSG_10947;FGSG_11206;FGSG_12180;FGSG_12222;FGSG_12223;FGSG_13136,1,uncharacterized protein,GO:0016021,0.8401073105298458,1.365791226699204,2.01896085677993,1,0.9556002682763246,11.63132794367886,-2.49173600016965,1,0.9712944332662643,16.584625761716335,-3.6749568908052,1,0.9223340040241448,3
FGSG_02824,48,0.4977125591080108,21.32526300301679,FGSG_00330;FGSG_00743;FGSG_00765;FGSG_01422;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02554;FGSG_02972;FGSG_03061;FGSG_03340;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03747;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04490;FGSG_04588;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_04596;FGSG_05368;FGSG_05610;FGSG_06055;FGSG_07075;FGSG_08493;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10444;FGSG_10922;FGSG_10947;FGSG_12180;FGSG_12222;FGSG_12223;FGSG_13136,1,uncharacterized protein,GO:0004622;GO:0009395;GO:0016021;GO:0055085,0.8211267605633803,1.2938421663531061,1.36397841246076,1,0.9723675385647216,12.588008970748293,-3.2540706274354,1,0.9723675385647217,16.890705483774177,-3.6120303664755,1,0.9219539458976079,3
FGSG_02267,30,0.46654024778858333,13.18872903202886,FGSG_00007;FGSG_01866;FGSG_02255;FGSG_02321;FGSG_02323;FGSG_02324;FGSG_02325;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_02840;FGSG_03532;FGSG_03535;FGSG_03539;FGSG_03541;FGSG_03543;FGSG_03600;FGSG_03842;FGSG_03881;FGSG_07896;FGSG_08081;FGSG_08082;FGSG_08083;FGSG_08795;FGSG_09187;FGSG_10670;FGSG_11184;FGSG_11326;FGSG_13952,2,uncharacterized protein,GO:0016491;GO:0055114,0.9830985915492958,5.360364210333382,-1.80142474199778,1,0.918242790073776,7.489573698894544,1.98641131478421,1,0.8581488933601609,7.025742130222375,1.80462665227932,1,0.9198300916610775,3
