GO,go_name,namespace,padj,gene_id,role,GOI_category
GO:0055085,transmembrane transport,BP,0.0098,FGSG_03340,GOI,Toxins
GO:0055085,transmembrane transport,BP,0.0098,FGSG_02782,GOI,Metabolism
GO:0055085,transmembrane transport,BP,0.0098,FGSG_09834,GOI,Metabolism
GO:0055085,transmembrane transport,BP,0.0098,FGSG_02255,GOI,Effectors
GO:0055085,transmembrane transport,BP,0.0098,FGSG_02325,GOI,Pigment
GO:0055085,transmembrane transport,BP,0.0098,FGSG_08774,GOI,Metabolism
GO:0055085,transmembrane transport,BP,0.0098,FGSG_05843,GOI,Metabolism
GO:0055085,transmembrane transport,BP,0.0098,FGSG_02329,GOI,Pigment
GO:0055085,transmembrane transport,BP,0.0098,FGSG_10922,GOI,Pathogenicity
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_03881,GOI,Pathogenicity
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_11326,GOI,Metabolism
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_11184,GOI,Metabolism
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_10670,GOI,Effectors
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_02326,GOI,Pigment
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_02323,GOI,Pigment
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_05919,GOI,Metabolism
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_08082,GOI,Toxins
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_03543,GOI,Toxins
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_02328,GOI,Pigment
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_03539,GOI,Toxins
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_08081,GOI,Toxins
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_08083,GOI,Toxins
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_02077,GOI,Effectors
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_09187,GOI,Pigment
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_03574,GOI,Effectors
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_00007,GOI,Toxins
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_07530,candidate_seed,
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_03600,GOI,Effectors
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_03638,candidate_seed,
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_02840,GOI,Effectors
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_03532,GOI,Toxins
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_02324,GOI,Pigment
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_02327,GOI,Pigment
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_02321,GOI,Pigment
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_02903,GOI,Effectors
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_13840,candidate_seed,
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_09064,GOI,Metabolism
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_03842,GOI,Metabolism
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_02255,GOI,Effectors
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_02325,GOI,Pigment
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_02320,GOI,Pigment
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_01866,GOI,Metabolism
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_03541,GOI,Toxins
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_02329,GOI,Pigment
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_13952,GOI,Effectors
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_03599,GOI,Toxins
GO:0050660,flavin adenine dinucleotide binding,MF,0.0362,FGSG_08795,GOI,Metabolism
GO:0016021,integral component of membrane,CC,0.0366,FGSG_03881,GOI,Pathogenicity
GO:0016021,integral component of membrane,CC,0.0366,FGSG_09280,GOI,Metabolism
GO:0016021,integral component of membrane,CC,0.0366,FGSG_11184,GOI,Metabolism
GO:0016021,integral component of membrane,CC,0.0366,FGSG_03535,GOI,Toxins
GO:0016021,integral component of membrane,CC,0.0366,FGSG_05368,GOI,Pathogenicity
GO:0016021,integral component of membrane,CC,0.0366,FGSG_02824,candidate_seed,
GO:0016021,integral component of membrane,CC,0.0366,FGSG_03061,GOI,Pigment
GO:0016021,integral component of membrane,CC,0.0366,FGSG_13136,GOI,Metabolism
GO:0016021,integral component of membrane,CC,0.0366,FGSG_02272,GOI,Metabolism
GO:0016021,integral component of membrane,CC,0.0366,FGSG_04588,GOI,Pathogenicity
GO:0016021,integral component of membrane,CC,0.0366,FGSG_04592,GOI,Pathogenicity
GO:0016021,integral component of membrane,CC,0.0366,FGSG_03992,GOI,Metabolism
GO:0016021,integral component of membrane,CC,0.0366,FGSG_08084,GOI,Toxins
GO:0016021,integral component of membrane,CC,0.0366,FGSG_11888,candidate_seed,
GO:0016021,integral component of membrane,CC,0.0366,FGSG_04490,GOI,Effectors
GO:0016021,integral component of membrane,CC,0.0366,FGSG_03574,GOI,Effectors
GO:0016021,integral component of membrane,CC,0.0366,FGSG_00007,GOI,Toxins
GO:0016021,integral component of membrane,CC,0.0366,FGSG_02840,GOI,Effectors
GO:0016021,integral component of membrane,CC,0.0366,FGSG_05348,candidate_seed,
GO:0016021,integral component of membrane,CC,0.0366,FGSG_02903,GOI,Effectors
GO:0016021,integral component of membrane,CC,0.0366,FGSG_02554,GOI,Metabolism
GO:0016021,integral component of membrane,CC,0.0366,FGSG_03547,GOI,Toxins
GO:0016021,integral component of membrane,CC,0.0366,FGSG_03842,GOI,Metabolism
GO:0016021,integral component of membrane,CC,0.0366,FGSG_02823,candidate_seed,
GO:0016021,integral component of membrane,CC,0.0366,FGSG_00330,GOI,Metabolism
GO:0016021,integral component of membrane,CC,0.0366,FGSG_10347,GOI,Metabolism
GO:0016021,integral component of membrane,CC,0.0366,FGSG_01866,GOI,Metabolism
GO:0016021,integral component of membrane,CC,0.0366,FGSG_03541,GOI,Toxins
GO:0016021,integral component of membrane,CC,0.0366,FGSG_08712,GOI,Metabolism
