gene_id,module
FGSG_00263,1
FGSG_00264,1
FGSG_00265,1
FGSG_00266,2
FGSG_00267,2
FGSG_00268,3
FGSG_11736,1
FGSG_00269,2
FGSG_00270,3
FGSG_11737,1
FGSG_11738,10
FGSG_00271,2
FGSG_00272,1
FGSG_00273,2
FGSG_11739,1
FGSG_00274,0
FGSG_00275,3
FGSG_00276,1
FGSG_00277,1
FGSG_00278,1
FGSG_00279,1
FGSG_11740,0
FGSG_20503,8
FGSG_00280,2
FGSG_00281,2
FGSG_00282,1
FGSG_00283,2
FGSG_00284,1
FGSG_20504,1
FGSG_00285,1
FGSG_11741,3
FGSG_00286,2
FGSG_00287,1
FGSG_00288,3
FGSG_00289,2
FGSG_11742,1
FGSG_11743,3
FGSG_00291,2
FGSG_00292,3
FGSG_00293,2
FGSG_00294,1
FGSG_00295,2
FGSG_00296,1
FGSG_00297,3
FGSG_00298,1
FGSG_00299,2
FGSG_00300,1
FGSG_00301,2
FGSG_00302,1
FGSG_00303,1
FGSG_00304,2
FGSG_00305,1
FGSG_00306,1
FGSG_00307,1
FGSG_00308,1
FGSG_00309,1
FGSG_00310,1
FGSG_00311,8
FGSG_00312,7
FGSG_00313,2
FGSG_11744,0
FGSG_00314,2
FGSG_00315,1
FGSG_00316,1
FGSG_00317,1
FGSG_00318,1
FGSG_00319,1
FGSG_00320,1
FGSG_00321,1
FGSG_00322,1
FGSG_00323,1
FGSG_00324,1
FGSG_00325,12
FGSG_00326,1
FGSG_00327,3
FGSG_00328,1
FGSG_00329,2
FGSG_00330,1
FGSG_11745,3
FGSG_00331,2
FGSG_00332,3
FGSG_00333,1
FGSG_00334,2
FGSG_00335,1
FGSG_00336,1
FGSG_00337,2
FGSG_00338,1
FGSG_11747,1
FGSG_00339,3
FGSG_00340,2
FGSG_11748,10
FGSG_11749,1
FGSG_11750,1
FGSG_11751,8
FGSG_11752,1
FGSG_00342,2
FGSG_00343,2
FGSG_00344,7
FGSG_00345,2
FGSG_11753,2
FGSG_00346,1
FGSG_00347,1
FGSG_00348,0
FGSG_00349,3
FGSG_00350,2
FGSG_00351,4
FGSG_00352,2
FGSG_00353,1
FGSG_00354,0
FGSG_00355,2
FGSG_11754,4
FGSG_11755,1
FGSG_00357,1
FGSG_00358,12
FGSG_00359,2
FGSG_00360,1
FGSG_00361,1
FGSG_11756,1
FGSG_00362,1
FGSG_00363,1
FGSG_00364,1
FGSG_00365,1
FGSG_11757,1
FGSG_00366,1
FGSG_00367,2
FGSG_00368,3
FGSG_11758,5
FGSG_11759,1
FGSG_00369,1
FGSG_00370,3
FGSG_00371,1
FGSG_20505,0
FGSG_00372,3
FGSG_00373,1
FGSG_00374,2
FGSG_00375,1
FGSG_00376,1
FGSG_00377,2
FGSG_00378,2
FGSG_00379,2
FGSG_00380,1
FGSG_00381,0
FGSG_00382,3
FGSG_00383,2
FGSG_00384,14
FGSG_00385,2
FGSG_00386,2
FGSG_00387,2
FGSG_00388,1
FGSG_00389,2
FGSG_00390,2
FGSG_00391,2
FGSG_00392,2
FGSG_00393,4
FGSG_00394,2
FGSG_00395,2
FGSG_00396,1
FGSG_00397,2
FGSG_00398,3
FGSG_00399,3
FGSG_11760,3
FGSG_00401,1
FGSG_00402,2
FGSG_00403,6
FGSG_00404,2
FGSG_11761,9
FGSG_00405,3
FGSG_00406,4
FGSG_00407,1
FGSG_11762,1
FGSG_11763,2
FGSG_11764,2
FGSG_00408,1
FGSG_00409,2
FGSG_00410,1
FGSG_00411,3
FGSG_00412,1
FGSG_00413,4
FGSG_00414,2
FGSG_00415,2
FGSG_00416,1
FGSG_00417,1
FGSG_00418,2
FGSG_00419,2
FGSG_00420,2
FGSG_00421,4
FGSG_00422,1
FGSG_00423,2
FGSG_11765,1
FGSG_00424,2
FGSG_00425,1
FGSG_00426,1
FGSG_00427,5
FGSG_00428,1
FGSG_00429,1
FGSG_00430,2
FGSG_00431,1
FGSG_00432,1
FGSG_00433,1
FGSG_00434,1
FGSG_11766,3
FGSG_00435,1
FGSG_00436,3
FGSG_00437,3
FGSG_11767,1
FGSG_00438,2
FGSG_00439,2
FGSG_00440,2
FGSG_00441,4
FGSG_00442,2
FGSG_00443,1
FGSG_00444,1
FGSG_00445,1
FGSG_00446,2
FGSG_00447,1
FGSG_00448,11
FGSG_00449,2
FGSG_00450,1
FGSG_00451,1
FGSG_00452,1
FGSG_00453,1
FGSG_00454,1
FGSG_00455,1
FGSG_00457,2
FGSG_00458,1
FGSG_00459,1
FGSG_00460,1
FGSG_00461,3
FGSG_00462,1
FGSG_00463,3
FGSG_11768,5
FGSG_00464,1
FGSG_00465,4
FGSG_00466,2
FGSG_00467,3
FGSG_00468,3
FGSG_00469,1
FGSG_11769,4
FGSG_00470,2
FGSG_00471,1
FGSG_00472,1
FGSG_11770,1
FGSG_00473,0
FGSG_11771,1
FGSG_00474,2
FGSG_00475,1
FGSG_00476,1
FGSG_00477,2
FGSG_00478,1
FGSG_00479,0
FGSG_20506,1
FGSG_00480,2
FGSG_00481,4
FGSG_00482,2
FGSG_00483,1
FGSG_20507,14
FGSG_00484,1
FGSG_00485,3
FGSG_00486,1
FGSG_00487,1
FGSG_00488,2
FGSG_00489,1
FGSG_00490,1
FGSG_00491,1
FGSG_00492,1
FGSG_11772,1
FGSG_00493,1
FGSG_00494,1
FGSG_00495,1
FGSG_00496,1
FGSG_11773,1
FGSG_00497,1
FGSG_00499,2
FGSG_00500,1
FGSG_00501,2
FGSG_00502,1
FGSG_00503,0
FGSG_00504,2
FGSG_00505,2
FGSG_00506,8
FGSG_00507,3
FGSG_00508,1
FGSG_00509,3
FGSG_00510,2
FGSG_00511,0
FGSG_00512,3
FGSG_00514,2
FGSG_00513,2
FGSG_00515,2
FGSG_11774,3
FGSG_11775,2
FGSG_00516,1
FGSG_00517,1
FGSG_00518,2
FGSG_00519,3
FGSG_00520,2
FGSG_00521,1
FGSG_00522,1
FGSG_00523,2
FGSG_00524,2
FGSG_00525,2
FGSG_00526,1
FGSG_00527,2
FGSG_11776,2
FGSG_11777,1
FGSG_00528,1
FGSG_00529,1
FGSG_00530,2
FGSG_00531,1
FGSG_11778,1
FGSG_00532,1
FGSG_00533,1
FGSG_00534,2
FGSG_00535,2
FGSG_00536,2
FGSG_00537,4
FGSG_00538,4
FGSG_00539,4
FGSG_00541,1
FGSG_00542,4
FGSG_00543,2
FGSG_00544,1
FGSG_00545,1
FGSG_11779,3
FGSG_00546,2
FGSG_11780,1
FGSG_11781,1
FGSG_00548,1
FGSG_00549,1
FGSG_00550,1
FGSG_00551,1
FGSG_00552,1
FGSG_00553,1
FGSG_00554,2
FGSG_00555,1
FGSG_00556,1
FGSG_00557,1
FGSG_20508,10
FGSG_00558,2
FGSG_00559,2
FGSG_00560,1
FGSG_00561,1
FGSG_00562,1
FGSG_00563,2
FGSG_00564,2
FGSG_11782,3
FGSG_00565,2
FGSG_00566,3
FGSG_00567,1
FGSG_00568,1
FGSG_00569,1
FGSG_00570,1
FGSG_11784,10
FGSG_00571,1
FGSG_00572,2
FGSG_11785,1
FGSG_00573,1
FGSG_00574,1
FGSG_11786,1
FGSG_11787,1
FGSG_00576,1
FGSG_00577,2
FGSG_00578,1
FGSG_00579,3
FGSG_00581,2
FGSG_00582,11
FGSG_00583,2
FGSG_00584,3
FGSG_00585,1
FGSG_00586,2
FGSG_11788,0
FGSG_11789,1
FGSG_00587,1
FGSG_00588,1
FGSG_00589,1
FGSG_00590,1
FGSG_00591,1
FGSG_00592,3
FGSG_00593,2
FGSG_00594,1
FGSG_00595,1
FGSG_11790,1
FGSG_00596,1
FGSG_00597,4
FGSG_00598,4
FGSG_00599,3
FGSG_00600,1
FGSG_00601,1
FGSG_00602,2
FGSG_00603,1
FGSG_00604,1
FGSG_11791,1
FGSG_11792,3
FGSG_00605,1
FGSG_00606,1
FGSG_00607,2
FGSG_00608,2
FGSG_00609,1
FGSG_00610,4
FGSG_11793,2
FGSG_00611,1
FGSG_00612,4
FGSG_00613,1
FGSG_00614,2
FGSG_00615,3
FGSG_20509,1
FGSG_00616,2
FGSG_00617,2
FGSG_00618,2
FGSG_00619,4
FGSG_00620,1
FGSG_00621,2
FGSG_00622,1
FGSG_00623,2
FGSG_00624,1
FGSG_00625,2
FGSG_00626,1
FGSG_00627,3
FGSG_00628,2
FGSG_00629,1
FGSG_00630,5
FGSG_00631,2
FGSG_11794,2
FGSG_11795,2
FGSG_00633,1
FGSG_00634,1
FGSG_00635,2
FGSG_00636,1
FGSG_00637,4
FGSG_00638,1
FGSG_00639,2
FGSG_00640,2
FGSG_00641,1
FGSG_00642,3
FGSG_00643,3
FGSG_00644,1
FGSG_00645,2
FGSG_00646,1
FGSG_00647,2
FGSG_00648,7
FGSG_00649,1
FGSG_11796,3
FGSG_11797,2
FGSG_00652,2
FGSG_00653,2
FGSG_00654,1
FGSG_11798,1
FGSG_00655,2
FGSG_00656,1
FGSG_00657,2
FGSG_00658,1
FGSG_00659,2
FGSG_00660,2
FGSG_00661,0
FGSG_11799,3
FGSG_11800,3
FGSG_11801,9
FGSG_00663,1
FGSG_00664,1
FGSG_00665,1
FGSG_00666,1
FGSG_00667,3
FGSG_00668,13
FGSG_11802,1
FGSG_00669,2
FGSG_20510,7
FGSG_00670,1
FGSG_00671,2
FGSG_00672,2
FGSG_00674,5
FGSG_00675,2
FGSG_11803,2
FGSG_00677,4
FGSG_00678,2
FGSG_11805,1
FGSG_11806,1
FGSG_00680,2
FGSG_00681,2
FGSG_00682,3
FGSG_00683,1
FGSG_00684,2
FGSG_00685,2
FGSG_00686,1
FGSG_00687,1
FGSG_11808,1
FGSG_00688,1
FGSG_00689,1
FGSG_00690,2
FGSG_00691,3
FGSG_00692,2
FGSG_11809,8
FGSG_00693,1
FGSG_00694,2
FGSG_00695,3
FGSG_00696,1
FGSG_00697,2
FGSG_11810,1
FGSG_00698,1
FGSG_11811,11
FGSG_11812,3
FGSG_00700,1
FGSG_00701,1
FGSG_00702,2
FGSG_00703,2
FGSG_00704,1
FGSG_00705,2
FGSG_00706,1
FGSG_00707,2
FGSG_00708,2
FGSG_00709,2
FGSG_00710,1
FGSG_11814,3
FGSG_11815,1
FGSG_00712,1
FGSG_00713,1
FGSG_11816,1
FGSG_00714,1
FGSG_00715,2
FGSG_00716,2
FGSG_00717,1
FGSG_00718,1
FGSG_00719,3
FGSG_11817,8
FGSG_00720,1
FGSG_00721,0
FGSG_00722,1
FGSG_00723,1
FGSG_00724,2
FGSG_00725,12
FGSG_00726,1
FGSG_00727,1
FGSG_00728,2
FGSG_11818,1
FGSG_00729,2
FGSG_00730,2
FGSG_00731,1
FGSG_00732,1
FGSG_00733,4
FGSG_00734,1
FGSG_00735,1
FGSG_00736,1
FGSG_11819,1
FGSG_00737,1
FGSG_00738,1
FGSG_00739,4
FGSG_00740,2
FGSG_00741,1
FGSG_00742,2
FGSG_00743,1
FGSG_00744,1
FGSG_00745,2
FGSG_00746,1
FGSG_00747,2
FGSG_00748,2
FGSG_00749,2
FGSG_00750,2
FGSG_00751,2
FGSG_00752,2
FGSG_00753,4
FGSG_11820,12
FGSG_11821,1
FGSG_11822,3
FGSG_00756,2
FGSG_00757,12
FGSG_00758,2
FGSG_00759,2
FGSG_00760,2
FGSG_00761,2
FGSG_00762,4
FGSG_00763,2
FGSG_00764,2
FGSG_00765,1
FGSG_00766,1
FGSG_00767,2
FGSG_00768,3
FGSG_00769,1
FGSG_00770,2
FGSG_00771,1
FGSG_00772,0
FGSG_00773,1
FGSG_00774,2
FGSG_00775,1
FGSG_00776,2
FGSG_00777,2
FGSG_00778,1
FGSG_00779,2
FGSG_00780,2
FGSG_00781,12
FGSG_00782,5
FGSG_00783,14
FGSG_00784,3
FGSG_00785,1
FGSG_00786,1
FGSG_00787,1
FGSG_00788,1
FGSG_00789,1
FGSG_00790,1
FGSG_11824,2
FGSG_11825,1
FGSG_00792,1
FGSG_00793,1
FGSG_00794,2
FGSG_11826,3
FGSG_11827,3
FGSG_00796,1
FGSG_00797,2
FGSG_00798,1
FGSG_00799,1
FGSG_00800,1
FGSG_00801,1
FGSG_20511,7
FGSG_00802,1
FGSG_00803,1
FGSG_00804,2
FGSG_00805,1
FGSG_00806,4
FGSG_20512,1
FGSG_00807,2
FGSG_00808,1
FGSG_00809,1
FGSG_00810,1
FGSG_00811,0
FGSG_00812,2
FGSG_00813,1
FGSG_00814,1
FGSG_00815,4
FGSG_11828,1
FGSG_11829,1
FGSG_00817,3
FGSG_00818,9
FGSG_00819,1
FGSG_00820,3
FGSG_00821,1
FGSG_11830,1
FGSG_00822,2
FGSG_00823,12
FGSG_00824,2
FGSG_00825,1
FGSG_00826,1
FGSG_00827,1
FGSG_00828,1
FGSG_00829,5
FGSG_11831,3
FGSG_11832,1
FGSG_00831,1
FGSG_00832,2
FGSG_00833,1
FGSG_00834,2
FGSG_11833,2
FGSG_11834,2
FGSG_00836,1
FGSG_00837,9
FGSG_00838,1
FGSG_11835,1
FGSG_11836,1
FGSG_11837,9
FGSG_00840,1
FGSG_00841,1
FGSG_00842,3
FGSG_11838,1
FGSG_00843,2
FGSG_00844,1
FGSG_00845,1
FGSG_11839,1
FGSG_00846,1
FGSG_11840,2
FGSG_00847,9
FGSG_00848,1
FGSG_00849,1
FGSG_11841,0
FGSG_00850,1
FGSG_00851,0
FGSG_00852,1
FGSG_11842,2
FGSG_00853,1
FGSG_20513,0
FGSG_11843,1
FGSG_00855,2
FGSG_00856,3
FGSG_00857,1
FGSG_11844,2
FGSG_00858,3
FGSG_11845,3
FGSG_00859,1
FGSG_11846,2
FGSG_00860,1
FGSG_00861,2
FGSG_00862,1
FGSG_00863,1
FGSG_00864,3
FGSG_00865,3
FGSG_00866,1
FGSG_00867,0
FGSG_00868,1
FGSG_00869,1
FGSG_00870,2
FGSG_00871,1
FGSG_00872,4
FGSG_00873,1
FGSG_00874,1
FGSG_00875,3
FGSG_00876,3
FGSG_00877,1
FGSG_00878,1
FGSG_00879,2
FGSG_20514,1
FGSG_00880,2
FGSG_11847,0
FGSG_11848,1
FGSG_00882,1
FGSG_00883,1
FGSG_11849,9
FGSG_00884,4
FGSG_00885,4
FGSG_11850,1
FGSG_11851,1
FGSG_11852,3
FGSG_00886,2
FGSG_00887,1
FGSG_11853,1
FGSG_11854,1
FGSG_00889,1
FGSG_00890,2
FGSG_00891,0
FGSG_11855,0
FGSG_00892,3
FGSG_00893,1
FGSG_00894,2
FGSG_00895,4
FGSG_00896,2
FGSG_00897,4
FGSG_00898,1
FGSG_00899,2
FGSG_00900,1
FGSG_00901,1
FGSG_11856,1
FGSG_00902,1
FGSG_00903,2
FGSG_00904,2
FGSG_00905,1
FGSG_00906,1
FGSG_00907,1
FGSG_00908,2
FGSG_00909,4
FGSG_00910,2
FGSG_00911,2
FGSG_00912,8
FGSG_00913,2
FGSG_00914,1
FGSG_00915,1
FGSG_00916,1
FGSG_00917,1
FGSG_00918,0
FGSG_00919,6
FGSG_11858,4
FGSG_00920,5
FGSG_00921,1
FGSG_11859,4
FGSG_11860,5
FGSG_11861,2
FGSG_00922,1
FGSG_00923,1
FGSG_11862,1
FGSG_00924,2
FGSG_00925,1
FGSG_00926,1
FGSG_00927,1
FGSG_00928,2
FGSG_00929,1
FGSG_00930,2
FGSG_00931,2
FGSG_00932,2
FGSG_00933,1
FGSG_00934,1
FGSG_00935,1
FGSG_20515,14
FGSG_00936,14
FGSG_00937,8
FGSG_00938,2
FGSG_00939,1
FGSG_00940,2
FGSG_00941,3
FGSG_11863,1
FGSG_00942,1
FGSG_00944,14
FGSG_00945,3
FGSG_00946,3
FGSG_00947,3
FGSG_00948,2
FGSG_00949,2
FGSG_00950,2
FGSG_00951,2
FGSG_00952,5
FGSG_11864,4
FGSG_11865,1
FGSG_00955,1
FGSG_00956,0
FGSG_00957,1
FGSG_00958,2
FGSG_00959,1
FGSG_00960,2
FGSG_00961,1
FGSG_11866,2
FGSG_00963,7
FGSG_00964,2
FGSG_00965,2
FGSG_00966,1
FGSG_00967,2
FGSG_00968,1
FGSG_20516,1
FGSG_00969,1
FGSG_00970,2
FGSG_00971,1
FGSG_00972,1
FGSG_00973,2
FGSG_11867,1
FGSG_00974,3
FGSG_00975,3
FGSG_00976,3
FGSG_00977,8
FGSG_11868,1
FGSG_11869,1
FGSG_11870,1
FGSG_11871,4
FGSG_00979,2
FGSG_00980,1
FGSG_11872,4
FGSG_11873,4
FGSG_00982,1
FGSG_00983,2
FGSG_00984,2
FGSG_00985,3
FGSG_00986,3
FGSG_00987,2
FGSG_11874,6
FGSG_11875,2
FGSG_00989,1
FGSG_00990,13
FGSG_11876,2
FGSG_11877,1
FGSG_00992,1
FGSG_00993,1
FGSG_00994,1
FGSG_00995,1
FGSG_00996,1
FGSG_00997,1
FGSG_00998,4
FGSG_11878,3
FGSG_00999,1
FGSG_01000,4
FGSG_11879,1
FGSG_11880,1
FGSG_01002,2
FGSG_01003,1
FGSG_01004,2
FGSG_11881,1
FGSG_01005,1
FGSG_01006,1
FGSG_01007,2
FGSG_01008,0
FGSG_11882,1
FGSG_11883,1
FGSG_01010,2
FGSG_01011,4
FGSG_01012,2
FGSG_01013,2
FGSG_01014,2
FGSG_01015,1
FGSG_01016,1
FGSG_01017,4
FGSG_01018,2
FGSG_11884,4
FGSG_01019,1
FGSG_01020,1
FGSG_01021,2
FGSG_01022,2
FGSG_01023,1
FGSG_01024,1
FGSG_01025,2
FGSG_01026,1
FGSG_01027,1
FGSG_01028,1
FGSG_01029,1
FGSG_01030,2
FGSG_01031,1
FGSG_01032,3
FGSG_01033,1
FGSG_01034,1
FGSG_01035,3
FGSG_01036,3
FGSG_01037,2
FGSG_01038,2
FGSG_01039,1
FGSG_01040,1
FGSG_01041,1
FGSG_01042,2
FGSG_11885,14
FGSG_11886,3
FGSG_01043,2
FGSG_01044,1
FGSG_01045,2
FGSG_01046,2
FGSG_11887,0
FGSG_01047,1
FGSG_01048,2
FGSG_01049,1
FGSG_01050,2
FGSG_01051,3
FGSG_01052,2
FGSG_01053,1
FGSG_01054,2
FGSG_01055,1
FGSG_01056,1
FGSG_01057,1
FGSG_01058,1
FGSG_01059,3
FGSG_01060,1
FGSG_01061,1
FGSG_01062,7
FGSG_01063,2
FGSG_01064,1
FGSG_01065,3
FGSG_01066,1
FGSG_01067,3
FGSG_11888,2
FGSG_01068,4
FGSG_01069,1
FGSG_01070,1
FGSG_11889,2
FGSG_11890,1
FGSG_11891,1
FGSG_01072,1
FGSG_11892,1
FGSG_11893,4
FGSG_01074,7
FGSG_01076,1
FGSG_11894,1
FGSG_01081,1
FGSG_01082,1
FGSG_01083,1
FGSG_01084,1
FGSG_01085,4
FGSG_01086,1
FGSG_11895,3
FGSG_01087,1
FGSG_01088,1
FGSG_01089,0
FGSG_11896,5
FGSG_11897,1
FGSG_01091,3
FGSG_01092,1
FGSG_11898,5
FGSG_11899,1
FGSG_01094,2
FGSG_01095,2
FGSG_01096,8
FGSG_01097,3
FGSG_01098,15
FGSG_01099,1
FGSG_01100,1
FGSG_01101,3
FGSG_01102,1
FGSG_01103,1
FGSG_01104,4
FGSG_11900,2
FGSG_01105,2
FGSG_01106,1
FGSG_01107,1
FGSG_01108,1
FGSG_01109,2
FGSG_11901,0
FGSG_11902,1
FGSG_01111,1
FGSG_01112,3
FGSG_11903,1
FGSG_11904,1
FGSG_11905,1
FGSG_01114,10
FGSG_01115,2
FGSG_01116,2
FGSG_01117,1
FGSG_01118,0
FGSG_01119,1
FGSG_01120,3
FGSG_01121,4
FGSG_01122,2
FGSG_01123,2
FGSG_01124,1
FGSG_01125,3
FGSG_01126,9
FGSG_01127,5
FGSG_01128,3
FGSG_01129,2
FGSG_01130,1
FGSG_01131,2
FGSG_01132,0
FGSG_01133,3
FGSG_01134,4
FGSG_01135,1
FGSG_01136,1
FGSG_01137,2
FGSG_01138,0
FGSG_01139,1
FGSG_01140,4
FGSG_01141,1
FGSG_01142,1
FGSG_11906,0
FGSG_01143,14
FGSG_01144,1
FGSG_01145,7
FGSG_01146,1
FGSG_01147,1
FGSG_01148,1
FGSG_01149,1
FGSG_01150,1
FGSG_01151,1
FGSG_01152,1
FGSG_01153,1
FGSG_01154,2
FGSG_01155,1
FGSG_01156,3
FGSG_01157,1
FGSG_01158,1
FGSG_01159,1
FGSG_01160,2
FGSG_01161,1
FGSG_01162,1
FGSG_11907,5
FGSG_01163,1
FGSG_01164,4
FGSG_01165,2
FGSG_01166,1
FGSG_01167,3
FGSG_01168,2
FGSG_01169,4
FGSG_01170,1
FGSG_11908,1
FGSG_11909,2
FGSG_01171,2
FGSG_01172,2
FGSG_01173,3
FGSG_01174,4
FGSG_01175,3
FGSG_01176,2
FGSG_11910,1
FGSG_01177,1
FGSG_01178,2
FGSG_01179,3
FGSG_01180,1
FGSG_01181,2
FGSG_01182,1
FGSG_01183,1
FGSG_01184,12
FGSG_01185,1
FGSG_01186,1
FGSG_01187,1
FGSG_01188,2
FGSG_01189,1
FGSG_01190,2
FGSG_01191,3
FGSG_11911,9
FGSG_01192,8
FGSG_01193,1
FGSG_01194,1
FGSG_01195,1
FGSG_01197,1
FGSG_01198,2
FGSG_01199,4
FGSG_01200,1
FGSG_01201,1
FGSG_01202,2
FGSG_01203,1
FGSG_01204,2
FGSG_11912,1
FGSG_01205,1
FGSG_01206,1
FGSG_01207,4
FGSG_01208,2
FGSG_01209,2
FGSG_01210,1
FGSG_01211,2
FGSG_01212,2
FGSG_01213,2
FGSG_01214,1
FGSG_01215,2
FGSG_01216,0
FGSG_01217,4
FGSG_01218,10
FGSG_01219,4
FGSG_01220,2
FGSG_01221,2
FGSG_01222,1
FGSG_01223,1
FGSG_01224,1
FGSG_01225,0
FGSG_11913,2
FGSG_01226,4
FGSG_01227,4
FGSG_01228,2
FGSG_01229,1
FGSG_01230,1
FGSG_01231,1
FGSG_01232,2
FGSG_01233,2
FGSG_01234,1
FGSG_01235,2
FGSG_01236,2
FGSG_01237,2
FGSG_01238,2
FGSG_01239,4
FGSG_01240,1
FGSG_01241,1
FGSG_01242,1
FGSG_01243,3
FGSG_01244,1
FGSG_01245,4
FGSG_11914,2
FGSG_11915,1
FGSG_01247,4
