candidate,n_goi_partners,max_TOM,sum_TOM,goi_partners,module,product,GO
FGSG_00639,4,0.4320143285103385,1.7066279149931072,FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,tubulin alpha chain,GO:0003924;GO:0005200;GO:0005525;GO:0005737;GO:0005874;GO:0007017
FGSG_08776,4,0.4516677908459777,1.704703840739396,FGSG_00743;FGSG_03894;FGSG_05610;FGSG_10922,1,uncharacterized protein,
FGSG_05921,4,0.4435705842231285,1.7044992092155669,FGSG_00743;FGSG_03894;FGSG_10922;FGSG_12180,1,uncharacterized protein,GO:0016614;GO:0050660;GO:0055114
FGSG_03265,4,0.44834026180305964,1.7019522959019695,FGSG_00743;FGSG_03894;FGSG_08774;FGSG_10922,1,uncharacterized protein,GO:0016021
FGSG_02096,4,0.44794540822813017,1.6978924583829254,FGSG_00743;FGSG_03894;FGSG_10922;FGSG_12180,1,uncharacterized protein,GO:0005634;GO:0005829;GO:0016021;GO:0016872
FGSG_02920,4,0.4302465857874468,1.695776697990279,FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,uncharacterized protein,GO:0004553;GO:0005975;GO:0030246
FGSG_00147,4,0.4253985524519066,1.6942363867161958,FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,uncharacterized protein,GO:0000981;GO:0003677;GO:0005634;GO:0006351;GO:0006357;GO:0008270;GO:0016021
FGSG_13465,4,0.43074521345772954,1.6937451564746617,FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,uncharacterized protein,
FGSG_03296,4,0.42667881348922254,1.6931128544415583,FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,uncharacterized protein,GO:0016021
FGSG_01372,4,0.44043423270038823,1.6910398199944514,FGSG_00743;FGSG_03894;FGSG_10922;FGSG_12180,1,uncharacterized protein,GO:0005643;GO:0005829;GO:0006897;GO:0008092;GO:0030041;GO:0030479;GO:0030674;GO:0032153;GO:0042802;GO:0043130;GO:0051286
FGSG_11219,4,0.4266438329404224,1.689327091463409,FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,uncharacterized protein,GO:0016021;GO:0055085
FGSG_12281,4,0.4460758811962594,1.6892945906566603,FGSG_00743;FGSG_03061;FGSG_03894;FGSG_05610,1,uncharacterized protein,GO:0008270;GO:0016874
FGSG_10752,4,0.4321828748530989,1.6890882657692718,FGSG_02324;FGSG_02327;FGSG_03842;FGSG_13952,2,uncharacterized protein,GO:0016021
FGSG_02678,4,0.43578066476033017,1.6887811464627789,FGSG_00007;FGSG_03539;FGSG_08083;FGSG_13952,2,uncharacterized protein,
FGSG_01210,4,0.45135325297105344,1.6883577685046016,FGSG_00743;FGSG_03894;FGSG_08774;FGSG_10922,1,uncharacterized protein,GO:0000388;GO:0003676;GO:0004004;GO:0005524;GO:0005681;GO:0005682;GO:0005829;GO:0046540
FGSG_09399,4,0.42759799366637286,1.688306776963684,FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,uncharacterized protein,GO:0006487;GO:0008250;GO:0016021;GO:0016740
FGSG_01027,4,0.43654058319579925,1.6883059590271208,FGSG_00743;FGSG_03894;FGSG_04589;FGSG_10922,1,uncharacterized protein,GO:0010181;GO:0016491;GO:0020037;GO:0046872;GO:0055114
FGSG_13894,4,0.4535775904649391,1.6856926319872148,FGSG_00743;FGSG_03894;FGSG_05610;FGSG_08774,1,uncharacterized protein,
FGSG_06251,4,0.4457675671538782,1.6853311251885297,FGSG_00743;FGSG_03894;FGSG_08774;FGSG_10922,1,uncharacterized protein,
FGSG_12460,4,0.4464909626663076,1.6847872928980994,FGSG_02461;FGSG_03894;FGSG_05610;FGSG_08774,1,uncharacterized protein,
FGSG_03694,4,0.4250275205241599,1.6828821830480856,FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,argininosuccinate lyase,GO:0004056;GO:0005829;GO:0042450;GO:0051262
FGSG_09244,4,0.45191599460163606,1.6825890499858864,FGSG_02461;FGSG_03894;FGSG_05610;FGSG_08774,1,uncharacterized protein,GO:0000131;GO:0000145;GO:0001927;GO:0005546;GO:0005934;GO:0005935;GO:0006893;GO:0017049;GO:0043332;GO:0048309;GO:0051601;GO:0090522
FGSG_08487,4,0.4412308681223908,1.6815935620510012,FGSG_00743;FGSG_03894;FGSG_08774;FGSG_10922,1,uncharacterized protein,GO:0005643;GO:0006810
FGSG_10098,4,0.4343337633191396,1.6812666875623135,FGSG_02324;FGSG_02327;FGSG_03842;FGSG_13952,2,uncharacterized protein,GO:0008152;GO:0016021;GO:0019120;GO:0055085
FGSG_05705,4,0.4324814972661762,1.6800189962937675,FGSG_00743;FGSG_03894;FGSG_04589;FGSG_08601,1,uncharacterized protein,GO:0016021;GO:0055085
FGSG_11307,4,0.42727865614179045,1.6790325655579892,FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,uncharacterized protein,GO:0016021
FGSG_03798,4,0.42375251940162045,1.6784272251265226,FGSG_02324;FGSG_02327;FGSG_03842;FGSG_13952,2,uncharacterized protein,GO:0005779;GO:0016559
FGSG_12306,4,0.44259822130110016,1.6776201742044763,FGSG_00765;FGSG_03894;FGSG_05610;FGSG_08774,1,uncharacterized protein,
FGSG_10971,4,0.4248522317732193,1.6774285895843364,FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329,2,uncharacterized protein,
FGSG_04894,4,0.4374176024684732,1.6762448478165823,FGSG_00743;FGSG_03894;FGSG_10922;FGSG_12180,1,uncharacterized protein,
