goi,candidate,TOM
FGSG_09184,FGSG_09467,0.8134855499699695
FGSG_09184,FGSG_20591,0.8134855499699695
FGSG_09184,FGSG_02338,0.8134855499699695
FGSG_09184,FGSG_04770,0.8134855499699695
FGSG_09184,FGSG_04702,0.8134855499699695
FGSG_09184,FGSG_04796,0.8134855499699694
FGSG_09184,FGSG_12504,0.8134855499699694
FGSG_09184,FGSG_12834,0.8134855499699694
FGSG_09184,FGSG_07990,0.8134855499699694
FGSG_09184,FGSG_08197,0.8134855499699694
FGSG_09184,FGSG_20744,0.8134855499699694
FGSG_09184,FGSG_04861,0.8134855499699694
FGSG_09184,FGSG_12197,0.8134855499699694
FGSG_09184,FGSG_07533,0.8134855499699694
FGSG_09184,FGSG_11728,0.8134855499699694
FGSG_09184,FGSG_12501,0.8134855499699694
FGSG_09184,FGSG_08165,0.8134855499699694
FGSG_09184,FGSG_03728,0.8134855499699692
FGSG_09184,FGSG_07760,0.8134855499699692
FGSG_09184,FGSG_12391,0.8134855499699692
FGSG_09184,FGSG_03092,0.8134855499699691
FGSG_09184,FGSG_13849,0.8134855499699691
FGSG_09184,FGSG_12688,0.8134855499699691
FGSG_09184,FGSG_11182,0.8134855499699691
FGSG_09184,FGSG_11040,0.8134855499699691
FGSG_09184,FGSG_20788,0.8134855499699691
FGSG_09184,FGSG_14004,0.8134855499699691
FGSG_09184,FGSG_06608,0.8134855499699691
FGSG_09184,FGSG_06622,0.8134855499699691
FGSG_09184,FGSG_13226,0.8134855499699691
FGSG_09184,FGSG_07809,0.8134855499699691
FGSG_09184,FGSG_12478,0.8134855499699691
FGSG_09184,FGSG_05825,0.8134855499699691
FGSG_09184,FGSG_13733,0.8134855499699691
FGSG_09184,FGSG_08246,0.8134855499699691
FGSG_09184,FGSG_11711,0.8134855499699691
FGSG_09184,FGSG_11641,0.8134855499699691
FGSG_09184,FGSG_03939,0.8134855499699691
FGSG_09184,FGSG_04462,0.8134855499699691
FGSG_09184,FGSG_08091,0.8134855499699691
FGSG_09184,FGSG_11579,0.8134855499699691
FGSG_09184,FGSG_10644,0.8134855499699691
FGSG_09184,FGSG_08837,0.8134855499699691
FGSG_09184,FGSG_08185,0.8134855499699691
FGSG_09184,FGSG_02032,0.8134855499699691
FGSG_09184,FGSG_13429,0.8134855499699691
FGSG_09184,FGSG_08245,0.8134855499699691
FGSG_09184,FGSG_12156,0.8134855499699691
FGSG_03122,FGSG_04700,0.8070374832038357
FGSG_03122,FGSG_02548,0.8070374832038356
FGSG_03122,FGSG_02711,0.8070374832038356
FGSG_03122,FGSG_06249,0.8070374832038356
FGSG_03122,FGSG_03758,0.8070374832038356
FGSG_03122,FGSG_11983,0.8070374832038356
FGSG_03122,FGSG_03615,0.8070374832038355
FGSG_03122,FGSG_03350,0.8070374832038355
FGSG_03122,FGSG_03612,0.8070374832038355
FGSG_03122,FGSG_12674,0.807037483203832
FGSG_03122,FGSG_05061,0.807037483203832
FGSG_03122,FGSG_04742,0.807037483203832
FGSG_03122,FGSG_10575,0.8070374832038318
FGSG_03122,FGSG_11973,0.8070374832038318
FGSG_03122,FGSG_12121,0.8070374832038318
FGSG_03122,FGSG_20544,0.8070374832038318
FGSG_03122,FGSG_00079,0.8070374832038318
FGSG_03122,FGSG_11726,0.8070374832038318
FGSG_03122,FGSG_11972,0.8070374832038318
FGSG_03122,FGSG_10633,0.8070374832038318
FGSG_03122,FGSG_07976,0.8070374832038318
FGSG_03122,FGSG_10651,0.8070374832038318
FGSG_03122,FGSG_10715,0.8070374832038318
FGSG_03122,FGSG_13271,0.8070374832038318
FGSG_03122,FGSG_08169,0.8070374832038318
FGSG_03122,FGSG_08161,0.8070374832038318
FGSG_03122,FGSG_08074,0.8070374832038318
FGSG_03122,FGSG_08050,0.8070374832038318
FGSG_03122,FGSG_20805,0.8070374832038318
FGSG_03122,FGSG_12236,0.8070374832038318
FGSG_03122,FGSG_20010,0.8070374832038318
FGSG_03122,FGSG_20571,0.8070374832038318
FGSG_03122,FGSG_20583,0.8070374832038318
FGSG_03122,FGSG_12393,0.8070374832038318
FGSG_03122,FGSG_03470,0.8070374832038318
FGSG_03122,FGSG_20522,0.8070374832038318
FGSG_03122,FGSG_11860,0.8070374832038318
FGSG_03122,FGSG_12843,0.8070374832038317
FGSG_03122,FGSG_05786,0.8070374832038317
FGSG_03122,FGSG_02954,0.8070374832038317
FGSG_03122,FGSG_20792,0.8070374832038317
FGSG_03122,FGSG_13139,0.8070374832038317
FGSG_03122,FGSG_05703,0.8070374832038317
FGSG_03122,FGSG_12514,0.8070374832038317
FGSG_03122,FGSG_11181,0.8070374832038317
FGSG_03122,FGSG_20760,0.8070374832038317
FGSG_03122,FGSG_11071,0.8070374832038317
FGSG_03122,FGSG_07714,0.8070374832038317
FGSG_03122,FGSG_07791,0.8070374832038317
FGSG_03122,FGSG_03253,0.8070374832038317
FGSG_03122,FGSG_07915,0.8070374832038317
FGSG_03122,FGSG_20722,0.8070374832038317
FGSG_04848,FGSG_06432,0.799435336318776
FGSG_04848,FGSG_12162,0.799435336318776
FGSG_04848,FGSG_11392,0.799435336318776
FGSG_04848,FGSG_02437,0.799435336318776
FGSG_04848,FGSG_07627,0.799435336318776
FGSG_04848,FGSG_13003,0.799435336318776
FGSG_04848,FGSG_20673,0.799435336318776
FGSG_04848,FGSG_07828,0.799435336318776
FGSG_04848,FGSG_04466,0.7994353363187758
FGSG_04848,FGSG_09208,0.7994353363187758
FGSG_04848,FGSG_09336,0.7994353363187758
FGSG_04848,FGSG_20702,0.7994353363187758
FGSG_04848,FGSG_08279,0.7994353363187758
FGSG_04848,FGSG_07996,0.7994353363187758
FGSG_04848,FGSG_04640,0.7994353363187758
FGSG_04848,FGSG_20816,0.7994353363187758
FGSG_04848,FGSG_13618,0.7994353363187758
FGSG_04848,FGSG_06505,0.7994353363187758
FGSG_04848,FGSG_12462,0.7994353363187758
FGSG_04848,FGSG_12924,0.7994353363187758
FGSG_04848,FGSG_20626,0.7994353363187758
FGSG_04848,FGSG_12585,0.7994353363187758
FGSG_04848,FGSG_12804,0.7994353363187758
FGSG_04848,FGSG_12810,0.7994353363187758
FGSG_04848,FGSG_12823,0.7994353363187758
FGSG_04848,FGSG_11503,0.7994353363187758
FGSG_04848,FGSG_20786,0.7994353363187758
FGSG_04848,FGSG_12058,0.7994353363187758
FGSG_04848,FGSG_12503,0.7994353363187758
FGSG_04848,FGSG_01723,0.7994353363187758
FGSG_04848,FGSG_09200,0.7994353363187758
FGSG_04848,FGSG_01714,0.7994353363187758
FGSG_04848,FGSG_11801,0.7994353363187758
FGSG_04848,FGSG_02123,0.7994353363187756
FGSG_04848,FGSG_02841,0.7994353363187754
FGSG_04848,FGSG_11911,0.7994353363187753
FGSG_04848,FGSG_11248,0.7994353363187753
FGSG_04848,FGSG_11304,0.7994353363187753
FGSG_04848,FGSG_08247,0.7994353363187753
FGSG_14010,FGSG_20753,0.7756761452660282
FGSG_14010,FGSG_10692,0.7756761452660282
FGSG_14010,FGSG_05883,0.7756761452660282
FGSG_14010,FGSG_06132,0.7756761452660282
FGSG_14010,FGSG_12208,0.775676145266028
FGSG_14010,FGSG_12201,0.775676145266028
FGSG_14010,FGSG_08098,0.775676145266028
FGSG_14010,FGSG_06461,0.775676145266028
FGSG_14010,FGSG_06470,0.775676145266028
FGSG_14010,FGSG_20527,0.7756761452660279
FGSG_14010,FGSG_11302,0.7756761452660279
FGSG_14010,FGSG_06431,0.7756761452660279
FGSG_14010,FGSG_11874,0.7756761452660279
FGSG_14010,FGSG_12486,0.7756761452660279
FGSG_14010,FGSG_01775,0.7756761452660279
FGSG_14010,FGSG_11340,0.7756761452660279
FGSG_14010,FGSG_01815,0.7756761452660279
FGSG_14010,FGSG_07797,0.7756761452660279
FGSG_14010,FGSG_07692,0.7756761452660279
FGSG_14010,FGSG_11450,0.7756761452660279
FGSG_14010,FGSG_03421,0.7756761452660279
FGSG_14010,FGSG_20729,0.7756761452660279
FGSG_14010,FGSG_13721,0.7756761452660279
FGSG_14010,FGSG_10330,0.7756761452660279
FGSG_14010,FGSG_04942,0.7756761452660279
FGSG_14010,FGSG_04870,0.7756761452660279
FGSG_14010,FGSG_10710,0.7756761452660279
FGSG_14010,FGSG_13354,0.7756761452660279
FGSG_14010,FGSG_11333,0.7756761452660279
FGSG_14010,FGSG_11351,0.7756761452660279
FGSG_14010,FGSG_13597,0.7756761452660279
FGSG_14010,FGSG_10774,0.7756761452660277
FGSG_14010,FGSG_13915,0.7756761452660277
FGSG_14010,FGSG_02241,0.7756761452660277
FGSG_14010,FGSG_02303,0.7756761452660277
FGSG_14010,FGSG_11000,0.7756761452660277
FGSG_14010,FGSG_12050,0.7756761452660277
FGSG_14010,FGSG_02382,0.7756761452660277
FGSG_14010,FGSG_02436,0.7756761452660277
FGSG_14010,FGSG_12526,0.7756761452660277
FGSG_14010,FGSG_03131,0.7756761452660277
FGSG_14010,FGSG_20538,0.7756761452660277
FGSG_14010,FGSG_01302,0.7756761452660277
FGSG_14010,FGSG_10930,0.7756761452660277
FGSG_02447,FGSG_11514,0.7450841076429459
FGSG_02447,FGSG_04787,0.7450841076429459
FGSG_02447,FGSG_12074,0.7450841076429457
FGSG_02447,FGSG_11727,0.7450841076429457
FGSG_02447,FGSG_00344,0.7450841076429457
FGSG_02447,FGSG_01074,0.7450841076429457
FGSG_02447,FGSG_13814,0.7450841076429457
FGSG_02447,FGSG_02370,0.7450841076429457
FGSG_02447,FGSG_10641,0.7450841076429457
FGSG_02447,FGSG_08100,0.7450841076429457
FGSG_02447,FGSG_08073,0.7450841076429457
FGSG_02447,FGSG_08033,0.7450841076429457
FGSG_02447,FGSG_12287,0.7450841076429457
FGSG_02447,FGSG_12293,0.7450841076429457
FGSG_02447,FGSG_03047,0.7450841076429457
FGSG_02447,FGSG_11538,0.7450841076429457
FGSG_02447,FGSG_02988,0.7450841076429457
FGSG_02447,FGSG_02853,0.7450841076429457
FGSG_02447,FGSG_05115,0.7450841076429457
FGSG_02447,FGSG_00208,0.7450841076429457
FGSG_02447,FGSG_13065,0.7450841076429457
FGSG_02447,FGSG_13096,0.7450841076429457
FGSG_02447,FGSG_07717,0.7450841076429457
FGSG_02447,FGSG_06559,0.7450841076429457
FGSG_02447,FGSG_20054,0.7450841076429457
FGSG_02447,FGSG_11037,0.7450841076429457
FGSG_02447,FGSG_12876,0.7450841076429457
FGSG_02447,FGSG_05866,0.7450841076429457
FGSG_02447,FGSG_20038,0.7450841076429457
FGSG_02447,FGSG_00216,0.7450841076429457
FGSG_02447,FGSG_09133,0.7450841076429457
FGSG_02447,FGSG_11584,0.7450841076429456
FGSG_02447,FGSG_11668,0.7450841076429456
FGSG_02447,FGSG_02568,0.7450841076429454
FGSG_02447,FGSG_09143,0.7450841076429447
FGSG_02447,FGSG_06488,0.7450841076429446
FGSG_02447,FGSG_12011,0.7450841076429445
FGSG_02447,FGSG_08183,0.7450841076429445
FGSG_02447,FGSG_12408,0.7450841076429445
FGSG_02447,FGSG_12763,0.7450841076429445
FGSG_09127,FGSG_04789,0.735538904035648
FGSG_09127,FGSG_02948,0.7355389040356479
FGSG_09127,FGSG_12847,0.7355389040356479
FGSG_09127,FGSG_10729,0.7355389040356479
FGSG_09127,FGSG_07682,0.7355389040356479
FGSG_09127,FGSG_09191,0.7355389040356479
FGSG_09127,FGSG_20575,0.7355389040356479
FGSG_09127,FGSG_09194,0.7355389040356479
FGSG_09127,FGSG_11975,0.7355389040356479
FGSG_09127,FGSG_01740,0.7355389040356479
FGSG_09127,FGSG_12412,0.7355389040356471
FGSG_09127,FGSG_13684,0.7355389040356458
FGSG_09127,FGSG_02674,0.7355389040356458
FGSG_09127,FGSG_02394,0.7355389040356458
FGSG_09127,FGSG_13325,0.7355389040356458
FGSG_09127,FGSG_13406,0.7355389040356458
FGSG_09127,FGSG_04331,0.7355389040356458
FGSG_09127,FGSG_01400,0.7355389040356458
FGSG_09127,FGSG_20519,0.7355389040356458
FGSG_09127,FGSG_00937,0.7355389040356458
FGSG_09127,FGSG_03909,0.7355389040356458
FGSG_09127,FGSG_03887,0.7355389040356458
FGSG_09127,FGSG_20579,0.7355389040356458
FGSG_09127,FGSG_20028,0.7355389040356458
FGSG_09127,FGSG_04753,0.7355389040356458
FGSG_09127,FGSG_20643,0.7355389040356458
FGSG_09127,FGSG_07818,0.7355389040356458
FGSG_09127,FGSG_20662,0.7355389040356457
FGSG_09127,FGSG_20796,0.7355389040356457
FGSG_09127,FGSG_20789,0.7355389040356457
FGSG_09127,FGSG_12959,0.7355389040356457
FGSG_09127,FGSG_06457,0.7355389040356457
FGSG_09127,FGSG_20625,0.7355389040356456
FGSG_09127,FGSG_20782,0.7355389040356456
FGSG_09127,FGSG_11028,0.7355389040356456
FGSG_09127,FGSG_11031,0.7355389040356456
FGSG_09127,FGSG_05340,0.7355389040356456
FGSG_09127,FGSG_12535,0.7355389040356456
FGSG_09127,FGSG_03429,0.7355389040356456
FGSG_09127,FGSG_12015,0.7355389040356456
FGSG_09127,FGSG_11817,0.7355389040356456
FGSG_09127,FGSG_11751,0.7355389040356456
FGSG_09127,FGSG_11714,0.7355389040356456
FGSG_10462,FGSG_07668,0.6950599928599299
FGSG_10462,FGSG_08353,0.6950599928599299
FGSG_10462,FGSG_20507,0.6950599928599299
FGSG_10462,FGSG_00944,0.6950599928599291
FGSG_10462,FGSG_11885,0.6950599928599291
FGSG_10462,FGSG_04614,0.6950599928599289
FGSG_10462,FGSG_20817,0.6950599928599289
FGSG_10462,FGSG_01789,0.6950599928599289
FGSG_10462,FGSG_12835,0.6950599928599289
FGSG_10462,FGSG_05118,0.6950599928599289
FGSG_10462,FGSG_11530,0.6950599928599289
FGSG_10462,FGSG_08483,0.6950599928599289
FGSG_10462,FGSG_08294,0.6950599928599289
FGSG_10462,FGSG_08278,0.6950599928599289
FGSG_10462,FGSG_08027,0.6950599928599289
FGSG_10462,FGSG_07981,0.6950599928599289
FGSG_10462,FGSG_11303,0.6950599928599288
FGSG_10462,FGSG_12902,0.6950599928599288
FGSG_10462,FGSG_20060,0.6950599928599288
FGSG_10462,FGSG_20020,0.6950599928599287
FGSG_10462,FGSG_04541,0.6950599928599287
FGSG_10462,FGSG_20023,0.6950599928599287
FGSG_10462,FGSG_12498,0.6950599928599287
FGSG_10462,FGSG_02916,0.6950599928599287
FGSG_04848,FGSG_04776,0.6247921689486009
FGSG_03122,FGSG_20651,0.5944607915122804
FGSG_09127,FGSG_13082,0.5622283292381541
FGSG_03122,FGSG_11426,0.5612767297599556
FGSG_14010,FGSG_12237,0.554800763997039
FGSG_10347,FGSG_08638,0.5095394502385343
FGSG_04458,FGSG_08638,0.5091782389824728
FGSG_03061,FGSG_09178,0.5085298581547711
FGSG_08712,FGSG_08266,0.5080748394685509
FGSG_03061,FGSG_06124,0.5079947770729131
FGSG_00743,FGSG_08266,0.5077778595954694
FGSG_03061,FGSG_11757,0.5072631565634188
FGSG_05610,FGSG_06124,0.5071773543144762
FGSG_02272,FGSG_11757,0.5070410427368406
FGSG_02272,FGSG_09178,0.5067776591836101
FGSG_00743,FGSG_05730,0.5065874580863649
FGSG_00330,FGSG_08638,0.5063959065117648
FGSG_05610,FGSG_09178,0.5063538077507971
FGSG_10347,FGSG_07913,0.5061728569303587
FGSG_01422,FGSG_08266,0.5060304617487706
FGSG_08712,FGSG_08638,0.5059605963584118
FGSG_03894,FGSG_00561,0.5059073584868032
FGSG_02272,FGSG_06124,0.5058403513001956
FGSG_03894,FGSG_05730,0.5058300481674844
FGSG_05610,FGSG_12009,0.5057864023006504
FGSG_01422,FGSG_08638,0.5056356460211264
FGSG_01422,FGSG_09178,0.5054741512083001
FGSG_03894,FGSG_06124,0.5054311954680843
FGSG_03061,FGSG_12009,0.5054090594878355
FGSG_04458,FGSG_03494,0.5053725776999882
FGSG_03894,FGSG_08266,0.5052578711330571
FGSG_10347,FGSG_03494,0.5052544601162122
FGSG_03894,FGSG_08695,0.5052055681242327
FGSG_03894,FGSG_05842,0.5050383834771327
FGSG_03894,FGSG_03913,0.5050120767244248
FGSG_03061,FGSG_08266,0.5049279357776514
FGSG_04458,FGSG_07913,0.504739962208247
FGSG_09127,FGSG_05756,0.5047324642299053
FGSG_03548,FGSG_08638,0.5047265180438345
FGSG_00330,FGSG_03494,0.5047241820546029
FGSG_02272,FGSG_12009,0.5046489595475411
FGSG_03894,FGSG_00838,0.5045388108650453
FGSG_08712,FGSG_09178,0.5044654112133434
FGSG_04590,FGSG_08638,0.5044560319664221
FGSG_09834,FGSG_08638,0.5043722563657661
FGSG_08601,FGSG_08638,0.5043578155377962
FGSG_05610,FGSG_11757,0.5042159365972302
FGSG_04593,FGSG_08266,0.5042031538511856
FGSG_03894,FGSG_07085,0.5041778137440777
FGSG_00743,FGSG_06124,0.5041688873482304
FGSG_03548,FGSG_03494,0.5041616394536127
FGSG_03894,FGSG_06987,0.5041379876276639
FGSG_08712,FGSG_06124,0.5037041128021195
FGSG_03894,FGSG_08425,0.503645445227916
FGSG_01422,FGSG_01695,0.5034920183632031
FGSG_03894,FGSG_12009,0.5034212600455069
FGSG_02030,FGSG_09178,0.5033711501337895
FGSG_03894,FGSG_13299,0.5033050127325581
FGSG_03894,FGSG_06508,0.5031895309374719
FGSG_03546,FGSG_03494,0.5031110059652015
FGSG_03894,FGSG_09178,0.5030753600553832
FGSG_08601,FGSG_03494,0.5030585766239134
FGSG_05610,FGSG_08266,0.5030067723401725
FGSG_03894,FGSG_13321,0.50299103253951
FGSG_03894,FGSG_03025,0.5029405902366193
FGSG_03546,FGSG_08638,0.5029111426598568
FGSG_04590,FGSG_07660,0.5028936903533245
FGSG_04590,FGSG_09178,0.5027608743119645
FGSG_01422,FGSG_11757,0.5027520437146372
FGSG_03061,FGSG_01695,0.5027477157360426
FGSG_08712,FGSG_01695,0.5027008532483642
FGSG_04589,FGSG_08266,0.5025328225692288
FGSG_03894,FGSG_06154,0.5025269992444406
FGSG_01422,FGSG_07913,0.5025013080822607
FGSG_03894,FGSG_00644,0.5023705112203163
FGSG_03894,FGSG_12977,0.502321484395592
FGSG_03894,FGSG_01695,0.5022643057772107
FGSG_04458,FGSG_09535,0.5022633709179902
FGSG_03894,FGSG_09402,0.5022581035478713
FGSG_02272,FGSG_08266,0.5022464856881744
FGSG_03548,FGSG_07913,0.5022402576160447
FGSG_03894,FGSG_01317,0.5022386829806823
FGSG_03894,FGSG_06631,0.5021958396018027
FGSG_08601,FGSG_07913,0.5021360502869947
FGSG_03894,FGSG_02522,0.5021178354844014
FGSG_09456,FGSG_03970,0.5020912668499565
FGSG_03894,FGSG_09378,0.5020813020494181
