gene_id,DEG_black,l2fc_black,DEG_dark,l2fc_dark,DEG_low,l2fc_low
FGSG_00007,1,-1.09655948653194,0,0.853062291365628,0,0.732769302652156
FGSG_00038,0,-0.235604687376044,0,-0.923049536364775,0,-0.639832457891465
FGSG_00039,0,-0.432609741156341,0,-0.228656421798173,0,-0.150248329530853
FGSG_00040,0,0.0166606570377671,0,0.0045644310825496,0,0.0444704817276214
FGSG_00043,0,-0.38324240417596,1,-1.63619918089732,1,-1.31873461524387
FGSG_00044,0,-0.502588726844301,1,-1.88307301661394,1,-1.41267249233498
FGSG_00045,0,-0.358316273118363,0,-0.492459596287311,0,-0.295680208398166
FGSG_00046,0,-0.563942966863943,0,-0.82560672256268,0,-0.182212587616052
FGSG_00047,0,-0.54932385388656,1,-1.58621148059655,1,-1.17773375555163
FGSG_00048,0,-0.499534699927043,1,-1.89103703630392,1,-1.33231083690575
FGSG_00049,0,-0.438693101043626,1,-1.42790694750258,0,-0.711078882431958
FGSG_00056,0,,0,,0,
FGSG_00060,0,0.0059604838051819,1,3.23189734494769,0,0.33949227575821
FGSG_00061,0,0.0024382322710309,0,0.261293379381147,0,-0.0065643348091527
FGSG_00062,0,0.350709864749872,1,1.62960445449701,0,-0.276080583778307
FGSG_00129,0,-0.0546978487260805,0,-0.101811304155257,0,-0.285252365769769
FGSG_00175,0,-0.421720347942271,0,-0.707628263954152,1,-1.2832687347937
FGSG_00330,0,0.004999796921198,1,-1.3937356234742,1,-1.57357845327853
FGSG_00500,0,-0.212565459126116,0,-0.379354781683893,0,-0.616883798617314
FGSG_00710,0,0.243362480010233,0,0.23582115783393,0,-0.340226201858226
FGSG_00743,0,0.398124998900869,0,-0.685661368160975,0,-0.93174562508633
FGSG_00765,0,0.536357692661924,0,-0.27336773403752,0,-0.64875967673147
FGSG_00797,0,0.633483269262379,1,1.18184253181629,0,0.455796548350336
FGSG_01346,0,-0.213177157787317,1,-1.11382012382367,0,-0.979467343185289
FGSG_01422,0,0.0866934956147416,0,-0.424783670145805,0,-0.583429692807225
FGSG_01621,0,0.572979019547039,0,-0.170263481839423,0,-0.734133538014257
FGSG_01638,0,0.564263764655318,0,0.105657082542901,0,-0.406647180018409
FGSG_01738,0,-0.0228491776782899,0,-0.0412007288357798,0,-0.0539226993110441
