gene_id,product,black,dark,low,black_dir,dark_dir,low_dir,n_treatments,region
FGSG_13515,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_13521,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_13524,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13526,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13528,uncharacterized protein,0,0,1,,,down,1,L
FGSG_13536,uncharacterized protein,1,0,0,up,,,1,B
FGSG_13556,U5 small nuclear ribonucleoprotein component,0,0,1,,,up,1,L
FGSG_13561,uncharacterized protein,1,1,1,up,up,down,3,BDL
FGSG_13562,uncharacterized protein,1,0,1,up,,down,2,BL
FGSG_13569,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13586,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13598,uncharacterized protein,1,1,1,up,up,up,3,BDL
FGSG_13615,uncharacterized protein,0,0,1,,,down,1,L
FGSG_13617,D-amino-acid oxidase,0,0,1,,,down,1,L
FGSG_13647,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13650,uncharacterized protein,0,1,0,,up,,1,D
FGSG_13652,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13667,uncharacterized protein,0,0,1,,,down,1,L
FGSG_13676,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_13689,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_13691,uncharacterized protein,1,0,0,down,,,1,B
FGSG_13702,uncharacterized protein,0,1,0,,down,,1,D
FGSG_13704,uncharacterized protein,0,0,1,,,down,1,L
FGSG_13708,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_13710,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13726,uncharacterized protein,0,0,1,,,down,1,L
FGSG_13730,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13737,uncharacterized protein,1,0,0,down,,,1,B
FGSG_13741,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_13742,uncharacterized protein,0,1,0,,up,,1,D
FGSG_13744,uncharacterized protein,0,0,1,,,down,1,L
FGSG_13750,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13761,uncharacterized protein,1,1,0,up,up,,2,BD
FGSG_13782,uncharacterized protein,0,1,0,,down,,1,D
FGSG_13787,uncharacterized protein,0,1,1,,up,down,2,DL
FGSG_13788,uncharacterized protein,1,1,0,down,down,,2,BD
FGSG_13802,L-amino-acid oxidase precursor,0,0,1,,,up,1,L
FGSG_13807,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_13818,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13832,uncharacterized protein,1,0,1,down,,up,2,BL
FGSG_13840,uncharacterized protein,1,1,1,down,up,up,3,BDL
FGSG_13847,uncharacterized protein,1,0,1,down,,down,2,BL
FGSG_13860,uncharacterized protein,1,0,1,down,,up,2,BL
FGSG_13861,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_13862,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13865,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_13868,uncharacterized protein,0,0,1,,,down,1,L
FGSG_13869,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13875,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_13897,amino-acid permease inda1,0,1,1,,down,down,2,DL
FGSG_13903,uncharacterized protein,1,0,0,up,,,1,B
FGSG_13904,uncharacterized protein,1,0,0,up,,,1,B
FGSG_13917,uncharacterized protein,0,0,1,,,down,1,L
FGSG_13935,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13938,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13939,uncharacterized protein,1,0,1,down,,up,2,BL
FGSG_13942,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13946,uncharacterized protein,1,0,0,down,,,1,B
FGSG_13948,uncharacterized protein,1,0,1,up,,down,2,BL
FGSG_13950,uncharacterized protein,0,1,0,,up,,1,D
FGSG_13952,uncharacterized protein,1,1,1,down,up,up,3,BDL
FGSG_13953,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13962,uncharacterized protein,1,0,0,up,,,1,B
FGSG_13963,uncharacterized protein,1,0,0,up,,,1,B
FGSG_13964,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_13966,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13967,uncharacterized protein,1,0,0,down,,,1,B
FGSG_13968,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13975,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_13976,uncharacterized protein,1,0,1,down,,down,2,BL
FGSG_13978,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13979,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_13980,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13984,uncharacterized protein,0,0,1,,,down,1,L
FGSG_13992,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_13993,uncharacterized protein,1,0,1,down,,up,2,BL
FGSG_13994,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_13996,uncharacterized protein,0,0,1,,,up,1,L
FGSG_13998,uncharacterized protein,0,0,1,,,up,1,L
FGSG_14002,uncharacterized protein,0,1,0,,down,,1,D
FGSG_14015,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_14016,uncharacterized protein,1,1,1,down,up,up,3,BDL
FGSG_14021,uncharacterized protein,0,0,1,,,down,1,L
FGSG_14038,uncharacterized protein,0,0,1,,,up,1,L
FGSG_20022,5S ribosomal RNA,0,1,1,,down,down,2,DL
FGSG_20500,tRNA-Gly,0,0,1,,,down,1,L
FGSG_20502,tRNA-Lys,0,0,1,,,down,1,L
FGSG_20650,tRNA-Ala,0,1,1,,down,down,2,DL
FGSG_20667,tRNA-Ile,1,0,0,up,,,1,B
FGSG_20672,tRNA-Arg,1,0,0,up,,,1,B
