gene_id,product,black,dark,low,black_dir,dark_dir,low_dir,n_treatments,region
FGSG_01808,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01810,uncharacterized protein,1,0,0,down,,,1,B
FGSG_01814,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_01818,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01819,uncharacterized protein,0,1,0,,down,,1,D
FGSG_01823,uncharacterized protein,1,1,1,down,up,up,3,BDL
FGSG_01824,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01825,uncharacterized protein,1,0,0,down,,,1,B
FGSG_01826,methylmalonate-semialdehyde dehydrogenase,1,0,0,down,,,1,B
FGSG_01829,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_01833,uncharacterized protein,0,1,0,,down,,1,D
FGSG_01836,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_01844,uncharacterized protein,0,1,0,,up,,1,D
FGSG_01848,uncharacterized protein,0,1,0,,up,,1,D
FGSG_01858,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01861,uncharacterized protein,0,0,1,,,up,1,L
FGSG_01868,uncharacterized protein,1,0,1,down,,up,2,BL
FGSG_01872,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_01883,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_01915,uncharacterized protein,0,0,1,,,up,1,L
