"gene_id","FGSG_id","product","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction"
"FGSG_08456","FGSG_08456","uncharacterized protein",5728.42062277828,-3.28507412012381,0.0850767768493724,0,0,TRUE,"up_in_dark_light"
"FGSG_03065","FGSG_03065","phytoene dehydrogenase",1970.1339874334,-8.54285980582283,0.220204937398158,0,0,TRUE,"up_in_dark_light"
"FGSG_04745","FGSG_04745","uncharacterized protein",1430.28714593785,2.44190371242141,0.0713019265782336,4.75828957192914e-258,1.74312007985004e-254,TRUE,"up_in_low_light"
"FGSG_10608","FGSG_10608","uncharacterized protein",699.922834082222,3.11157988343469,0.095130141774744,8.99958012709882e-236,2.4726346399204e-232,TRUE,"up_in_low_light"
"FGSG_02271","FGSG_02271","uncharacterized protein",6171.79573460202,-1.84503032937652,0.0582077172844039,1.56926968826477e-221,3.44925477480597e-218,TRUE,"up_in_dark_light"
"FGSG_00578","FGSG_00578","general stress protein 39",733.749422580234,-4.30776914288838,0.141013168659168,4.82875341420502e-206,8.84466667035219e-203,TRUE,"up_in_dark_light"
"FGSG_03066","FGSG_03066","uncharacterized protein",528.93129871198,-5.4405172170903,0.181694178949228,4.02808628671381e-199,6.32409547014068e-196,TRUE,"up_in_dark_light"
"FGSG_02125","FGSG_02125","uncharacterized protein",1229.7637089085,-3.25439307573326,0.114596968743345,7.71800004487392e-179,1.06026025616455e-175,TRUE,"up_in_dark_light"
"FGSG_00140","FGSG_00140","uncharacterized protein",433.911599225591,2.81308060813345,0.104463302590729,6.63690380880905e-161,8.10439698431238e-158,TRUE,"up_in_low_light"
"FGSG_09595","FGSG_09595","uncharacterized protein",632.457654089797,-2.84184555782562,0.109967444997192,3.21620717742052e-148,3.53461168798515e-145,TRUE,"up_in_dark_light"
"FGSG_11232","FGSG_11232","uncharacterized protein",1375.16462443887,-3.46694939974728,0.135493658858714,4.59292023857201e-146,4.58874485653694e-143,TRUE,"up_in_dark_light"
"FGSG_00979","FGSG_00979","aldehyde dehydrogenase",10268.2200321602,-1.39124635319297,0.0549210331248101,1.25383816328037e-142,1.14830678453761e-139,TRUE,"up_in_dark_light"
