gene_id,FGSG_id,product,baseMean,log2FoldChange,lfcSE,pvalue,padj,significant,direction,contrast
FGSG_06234,FGSG_06234,uncharacterized protein,258.465333575531,1.07004441281849,0.107736929222898,3.71465505212913e-24,1.68694458772311e-22,True,up_in_low_light,low_light_vs_dark_light
FGSG_06068,FGSG_06068,uncharacterized protein,425.214782738139,-1.05328677379837,0.106154724592882,4.12696026763614e-24,1.8664729770091002e-22,True,up_in_dark_light,low_light_vs_dark_light
FGSG_01799,FGSG_01799,uncharacterized protein,76.3743182148884,2.68194889116703,0.271348137745692,4.37997860889734e-24,1.97278544720417e-22,True,up_in_low_light,low_light_vs_dark_light
FGSG_08504,FGSG_08504,uncharacterized protein,124.192287681024,-1.78667374519131,0.181690058180567,5.79748540632045e-24,2.59001482176674e-22,True,up_in_dark_light,low_light_vs_dark_light
FGSG_00602,FGSG_00602,uncharacterized protein,229.48336404519,-1.08799969620494,0.11070762099888,1.0277316281812501e-23,4.55434298133545e-22,True,up_in_dark_light,low_light_vs_dark_light
FGSG_03256,FGSG_03256,uncharacterized protein,96.3034533472178,-2.17668239009155,0.222768752282059,1.2546717659781999e-23,5.53768783457847e-22,True,up_in_dark_light,low_light_vs_dark_light
FGSG_13169,FGSG_13169,uncharacterized protein,87.2187980881898,1.84806813578472,0.190088565638737,1.85634004112735e-23,8.09570517936093e-22,True,up_in_low_light,low_light_vs_dark_light
FGSG_02208,FGSG_02208,uncharacterized protein,268.641135741692,-1.17256727838512,0.120670579567604,3.17816791148811e-23,1.38055594257922e-21,True,up_in_dark_light,low_light_vs_dark_light
FGSG_07670,FGSG_07670,uncharacterized protein,145.444199423594,1.3870056805379,0.144537773967375,7.3628794085142e-23,3.14856205056697e-21,True,up_in_low_light,low_light_vs_dark_light
FGSG_06297,FGSG_06297,uncharacterized protein,557.493393079573,-1.06304524176989,0.110779989440406,9.935089578591431e-23,4.2157001725374404e-21,True,up_in_dark_light,low_light_vs_dark_light
FGSG_03062,FGSG_03062,uncharacterized protein,45.1428923124516,2.48814146531084,0.260749369981724,1.1528350972237198e-22,4.8542749879267e-21,True,up_in_low_light,low_light_vs_dark_light
FGSG_08682,FGSG_08682,uncharacterized protein,92.696225654851,-2.06457809428241,0.216209245590514,1.22247775531066e-22,5.12787424842145e-21,True,up_in_dark_light,low_light_vs_dark_light
FGSG_09718,FGSG_09718,uncharacterized protein,321.132572015117,1.2153482384653,0.127308321488217,1.29956869219625e-22,5.4099469421351405e-21,True,up_in_low_light,low_light_vs_dark_light
FGSG_08980,FGSG_08980,uncharacterized protein,112.35090548057,-2.0555505943199,0.216590672917883,1.29597279253283e-22,5.4099469421351405e-21,True,up_in_dark_light,low_light_vs_dark_light
FGSG_09694,FGSG_09694,uncharacterized protein,412.436901875349,-1.09503161580616,0.114536608684618,1.3670961176967e-22,5.66957974848557e-21,True,up_in_dark_light,low_light_vs_dark_light
FGSG_08457,FGSG_08457,uncharacterized protein,631.27235485078,-1.03123594823614,0.108423816341198,2.27272858832925e-22,9.319883278260631e-21,True,up_in_dark_light,low_light_vs_dark_light
FGSG_03633,FGSG_03633,uncharacterized protein,396.331356950012,1.11905958602537,0.117799967080261,2.36430428622574e-22,9.659369555992881e-21,True,up_in_low_light,low_light_vs_dark_light
